,AMESALUNR_Q
1980-01-01,153.0
1980-04-01,141.0
1980-07-01,199.0
1980-10-01,190.0
1981-01-01,113.0
1981-04-01,173.0
1981-07-01,145.0
1981-10-01,122.0
1982-01-01,104.0
1982-04-01,122.0
1982-07-01,128.0
1982-10-01,142.0
1983-01-01,117.0
1983-04-01,173.0
1983-07-01,166.0
1983-10-01,147.0
1984-01-01,138.0
1984-04-01,143.0
1984-07-01,133.0
1984-10-01,102.0
1985-01-01,157.0
1985-04-01,193.0
1985-07-01,212.0
1985-10-01,181.0
1986-01-01,183.0
1986-04-01,191.0
1986-07-01,185.0
1986-10-01,153.0
1987-01-01,142.0
1987-04-01,183.0
1987-07-01,167.0
1987-10-01,155.0
1988-01-01,159.0
1988-04-01,197.0
1988-07-01,165.0
1988-10-01,152.0
1989-01-01,145.0
1989-04-01,227.0
1989-07-01,196.0
1989-10-01,173.0
1990-01-01,256.0
1990-04-01,242.0
1990-07-01,218.0
1990-10-01,179.0
1991-01-01,189.0
1991-04-01,209.0
1991-07-01,236.0
1991-10-01,191.0
1992-01-01,213.0
1992-04-01,217.0
1992-07-01,242.0
1992-10-01,177.0
1993-01-01,202.0
1993-04-01,240.0
1993-07-01,267.0
1993-10-01,175.0
1994-01-01,218.0
1994-04-01,246.0
1994-07-01,266.0
1994-10-01,231.0
1995-01-01,255.0
1995-04-01,284.0
1995-07-01,322.0
1995-10-01,231.0
1996-01-01,258.0
1996-04-01,312.0
1996-07-01,307.0
1996-10-01,310.0
1997-01-01,285.0
1997-04-01,371.0
1997-07-01,357.0
1997-10-01,241.0
1998-01-01,282.0
1998-04-01,398.0
1998-07-01,330.0
1998-10-01,266.0
1999-01-01,246.0
1999-04-01,389.0
1999-07-01,342.0
1999-10-01,260.0
2000-01-01,294.0
2000-04-01,366.0
2000-07-01,351.0
2000-10-01,297.0
2001-01-01,295.0
2001-04-01,432.0
2001-07-01,412.0
2001-10-01,321.0
2002-01-01,335.0
2002-04-01,406.0
2002-07-01,347.0
2002-10-01,300.0
2003-01-01,312.0
2003-04-01,469.0
2003-07-01,412.0
2003-10-01,306.0
2004-01-01,342.0
2004-04-01,496.0
2004-07-01,386.0
2004-10-01,298.0
2005-01-01,380.0
2005-04-01,557.0
2005-07-01,494.0
2005-10-01,371.0
2006-01-01,431.0
2006-04-01,608.0
2006-07-01,487.0
2006-10-01,350.0
2007-01-01,447.0
2007-04-01,637.0
2007-07-01,495.0
2007-10-01,336.0
2008-01-01,360.0
2008-04-01,524.0
2008-07-01,419.0
2008-10-01,207.0
2009-01-01,239.0
2009-04-01,381.0
2009-07-01,361.0
2009-10-01,285.0
2010-01-01,317.0
2010-04-01,327.0
2010-07-01,314.0
2010-10-01,247.0
2011-01-01,248.0
2011-04-01,347.0
2011-07-01,351.0
2011-10-01,265.0
2012-01-01,296.0
2012-04-01,465.0
2012-07-01,362.0
2012-10-01,270.0
2013-01-01,265.0
2013-04-01,444.0
2013-07-01,365.0
2013-10-01,224.0
2014-01-01,298.0
2014-04-01,530.0
2014-07-01,465.0
2014-10-01,300.0
2015-01-01,282.0
2015-04-01,392.0
2015-07-01,386.0
2015-10-01,275.0
2016-01-01,247.0
2016-04-01,413.0
2016-07-01,347.0
2016-10-01,247.0
2017-01-01,268.0
2017-04-01,431.0
2017-07-01,367.0
2017-10-01,273.0
2018-01-01,230.0
2018-04-01,407.0
2018-07-01,329.0
2018-10-01,268.0
2019-01-01,227.0
2019-04-01,357.0
2019-07-01,385.0
2019-10-01,256.0
2020-01-01,205.0
2020-04-01,291.0
2020-07-01,422.0
2020-10-01,312.0
2021-01-01,353.0
2021-04-01,566.0
2021-07-01,386.0
2021-10-01,344.0
2022-01-01,361.0
2022-04-01,478.0
2022-07-01,366.0
2022-10-01,
