,ANENLIUNR_Q
1980-01-01,
1980-04-01,
1980-07-01,67.0
1980-10-01,54.0
1981-01-01,153.0
1981-04-01,207.0
1981-07-01,204.0
1981-10-01,143.0
1982-01-01,199.0
1982-04-01,222.0
1982-07-01,206.0
1982-10-01,110.0
1983-01-01,153.0
1983-04-01,175.0
1983-07-01,215.0
1983-10-01,149.0
1984-01-01,252.0
1984-04-01,293.0
1984-07-01,259.0
1984-10-01,160.0
1985-01-01,251.0
1985-04-01,349.0
1985-07-01,277.0
1985-10-01,161.0
1986-01-01,254.0
1986-04-01,264.0
1986-07-01,233.0
1986-10-01,224.0
1987-01-01,297.0
1987-04-01,322.0
1987-07-01,251.0
1987-10-01,203.0
1988-01-01,340.0
1988-04-01,345.0
1988-07-01,338.0
1988-10-01,182.0
1989-01-01,349.0
1989-04-01,322.0
1989-07-01,252.0
1989-10-01,188.0
1990-01-01,252.0
1990-04-01,300.0
1990-07-01,206.0
1990-10-01,164.0
1991-01-01,245.0
1991-04-01,295.0
1991-07-01,229.0
1991-10-01,138.0
1992-01-01,336.0
1992-04-01,318.0
1992-07-01,236.0
1992-10-01,153.0
1993-01-01,290.0
1993-04-01,267.0
1993-07-01,179.0
1993-10-01,143.0
1994-01-01,234.0
1994-04-01,334.0
1994-07-01,240.0
1994-10-01,154.0
1995-01-01,217.0
1995-04-01,315.0
1995-07-01,215.0
1995-10-01,124.0
1996-01-01,264.0
1996-04-01,322.0
1996-07-01,205.0
1996-10-01,124.0
1997-01-01,228.0
1997-04-01,287.0
1997-07-01,186.0
1997-10-01,109.0
1998-01-01,149.0
1998-04-01,242.0
1998-07-01,193.0
1998-10-01,120.0
1999-01-01,237.0
1999-04-01,310.0
1999-07-01,214.0
1999-10-01,124.0
2000-01-01,250.0
2000-04-01,245.0
2000-07-01,167.0
2000-10-01,108.0
2001-01-01,195.0
2001-04-01,245.0
2001-07-01,151.0
2001-10-01,67.0
2002-01-01,130.0
2002-04-01,261.0
2002-07-01,163.0
2002-10-01,104.0
2003-01-01,184.0
2003-04-01,267.0
2003-07-01,207.0
2003-10-01,120.0
2004-01-01,222.0
2004-04-01,319.0
2004-07-01,212.0
2004-10-01,147.0
2005-01-01,240.0
2005-04-01,412.0
2005-07-01,243.0
2005-10-01,133.0
2006-01-01,245.0
2006-04-01,279.0
2006-07-01,204.0
2006-10-01,136.0
2007-01-01,326.0
2007-04-01,475.0
2007-07-01,296.0
2007-10-01,173.0
2008-01-01,385.0
2008-04-01,521.0
2008-07-01,329.0
2008-10-01,200.0
2009-01-01,344.0
2009-04-01,427.0
2009-07-01,320.0
2009-10-01,174.0
2010-01-01,351.0
2010-04-01,473.0
2010-07-01,302.0
2010-10-01,178.0
2011-01-01,313.0
2011-04-01,464.0
2011-07-01,336.0
2011-10-01,135.0
2012-01-01,344.0
2012-04-01,528.0
2012-07-01,275.0
2012-10-01,201.0
2013-01-01,323.0
2013-04-01,597.0
2013-07-01,394.0
2013-10-01,233.0
2014-01-01,356.0
2014-04-01,642.0
2014-07-01,556.0
2014-10-01,334.0
2015-01-01,520.0
2015-04-01,596.0
2015-07-01,464.0
2015-10-01,245.0
2016-01-01,442.0
2016-04-01,641.0
2016-07-01,427.0
2016-10-01,255.0
2017-01-01,488.0
2017-04-01,671.0
2017-07-01,516.0
2017-10-01,276.0
2018-01-01,486.0
2018-04-01,703.0
2018-07-01,452.0
2018-10-01,289.0
2019-01-01,381.0
2019-04-01,672.0
2019-07-01,445.0
2019-10-01,263.0
2020-01-01,394.0
2020-04-01,473.0
2020-07-01,430.0
2020-10-01,241.0
2021-01-01,480.0
2021-04-01,617.0
2021-07-01,470.0
2021-10-01,263.0
2022-01-01,397.0
2022-04-01,676.0
2022-07-01,462.0
2022-10-01,
