,ANEPRICNR_Q
1980-01-01,
1980-04-01,
1980-07-01,62721.0
1980-10-01,83000.0
1981-01-01,56759.0
1981-04-01,65965.0
1981-07-01,58556.0
1981-10-01,56958.0
1982-01-01,67607.0
1982-04-01,70788.0
1982-07-01,68679.0
1982-10-01,62805.0
1983-01-01,63600.0
1983-04-01,67594.0
1983-07-01,71194.0
1983-10-01,74375.0
1984-01-01,69702.0
1984-04-01,73171.0
1984-07-01,75776.0
1984-10-01,73607.0
1985-01-01,71965.0
1985-04-01,81399.0
1985-07-01,78544.0
1985-10-01,73379.0
1986-01-01,76980.0
1986-04-01,78046.0
1986-07-01,80745.0
1986-10-01,81083.0
1987-01-01,74933.0
1987-04-01,80557.0
1987-07-01,81449.0
1987-10-01,81850.0
1988-01-01,80138.0
1988-04-01,86373.0
1988-07-01,83092.0
1988-10-01,80681.0
1989-01-01,89191.0
1989-04-01,77149.0
1989-07-01,79547.0
1989-10-01,78496.0
1990-01-01,78645.0
1990-04-01,79814.0
1990-07-01,81090.0
1990-10-01,74460.0
1991-01-01,78135.0
1991-04-01,82802.0
1991-07-01,117248.0
1991-10-01,75250.0
1992-01-01,79264.0
1992-04-01,81683.0
1992-07-01,79289.0
1992-10-01,82064.0
1993-01-01,85454.0
1993-04-01,91240.0
1993-07-01,76523.0
1993-10-01,73398.0
1994-01-01,85186.0
1994-04-01,82309.0
1994-07-01,83235.0
1994-10-01,75937.0
1995-01-01,77813.0
1995-04-01,87838.0
1995-07-01,80060.0
1995-10-01,87092.0
1996-01-01,85821.0
1996-04-01,85686.0
1996-07-01,81368.0
1996-10-01,81247.0
1997-01-01,87889.0
1997-04-01,102175.0
1997-07-01,97626.0
1997-10-01,98080.0
1998-01-01,107047.0
1998-04-01,93044.0
1998-07-01,91950.0
1998-10-01,92983.0
1999-01-01,93191.0
1999-04-01,92696.0
1999-07-01,91102.0
1999-10-01,97876.0
2000-01-01,93780.0
2000-04-01,100079.0
2000-07-01,105627.0
2000-10-01,87351.0
2001-01-01,104310.0
2001-04-01,115097.0
2001-07-01,111598.0
2001-10-01,99523.0
2002-01-01,114063.0
2002-04-01,131943.0
2002-07-01,123077.0
2002-10-01,116086.0
2003-01-01,123288.0
2003-04-01,140254.0
2003-07-01,135778.0
2003-10-01,111180.0
2004-01-01,151853.0
2004-04-01,154774.0
2004-07-01,147877.0
2004-10-01,137753.0
2005-01-01,153728.0
2005-04-01,174861.0
2005-07-01,169976.0
2005-10-01,163367.0
2006-01-01,179389.0
2006-04-01,212228.0
2006-07-01,200634.0
2006-10-01,196900.0
2007-01-01,255078.0
2007-04-01,271035.0
2007-07-01,246765.0
2007-10-01,245757.0
2008-01-01,248713.0
2008-04-01,269644.0
2008-07-01,251428.0
2008-10-01,256272.0
2009-01-01,267297.0
2009-04-01,252816.0
2009-07-01,274324.0
2009-10-01,261252.0
2010-01-01,277502.0
2010-04-01,275313.0
2010-07-01,257964.0
2010-10-01,294059.0
2011-01-01,254332.0
2011-04-01,281982.0
2011-07-01,286966.0
2011-10-01,277072.0
2012-01-01,298805.0
2012-04-01,317172.0
2012-07-01,317710.0
2012-10-01,297607.0
2013-01-01,303664.0
2013-04-01,316750.0
2013-07-01,281549.0
2013-10-01,311441.0
2014-01-01,319921.0
2014-04-01,340130.0
2014-07-01,330849.0
2014-10-01,303476.0
2015-01-01,316965.0
2015-04-01,308892.0
2015-07-01,291733.0
2015-10-01,298158.0
2016-01-01,262518.0
2016-04-01,298612.0
2016-07-01,272739.0
2016-10-01,249295.0
2017-01-01,281325.0
2017-04-01,286595.0
2017-07-01,257473.0
2017-10-01,261526.0
2018-01-01,239059.0
2018-04-01,262237.0
2018-07-01,257115.0
2018-10-01,225847.0
2019-01-01,232147.0
2019-04-01,267132.0
2019-07-01,238633.0
2019-10-01,239913.0
2020-01-01,224932.0
2020-04-01,221399.0
2020-07-01,239732.0
2020-10-01,248461.0
2021-01-01,242770.0
2021-04-01,278988.0
2021-07-01,257268.0
2021-10-01,276059.0
2022-01-01,268974.0
2022-04-01,303926.0
2022-07-01,264803.0
2022-10-01,268771.0
