,ANESALUNR_Q
1980-01-01,
1980-04-01,
1980-07-01,14.0
1980-10-01,10.0
1981-01-01,31.0
1981-04-01,63.0
1981-07-01,36.0
1981-10-01,18.0
1982-01-01,28.0
1982-04-01,26.0
1982-07-01,53.0
1982-10-01,41.0
1983-01-01,25.0
1983-04-01,32.0
1983-07-01,67.0
1983-10-01,44.0
1984-01-01,51.0
1984-04-01,71.0
1984-07-01,92.0
1984-10-01,60.0
1985-01-01,55.0
1985-04-01,129.0
1985-07-01,106.0
1985-10-01,54.0
1986-01-01,43.0
1986-04-01,61.0
1986-07-01,87.0
1986-10-01,49.0
1987-01-01,58.0
1987-04-01,86.0
1987-07-01,129.0
1987-10-01,64.0
1988-01-01,55.0
1988-04-01,123.0
1988-07-01,138.0
1988-10-01,57.0
1989-01-01,33.0
1989-04-01,124.0
1989-07-01,130.0
1989-10-01,80.0
1990-01-01,59.0
1990-04-01,112.0
1990-07-01,86.0
1990-10-01,80.0
1991-01-01,55.0
1991-04-01,173.0
1991-07-01,76.0
1991-10-01,60.0
1992-01-01,93.0
1992-04-01,194.0
1992-07-01,121.0
1992-10-01,68.0
1993-01-01,111.0
1993-04-01,210.0
1993-07-01,128.0
1993-10-01,80.0
1994-01-01,85.0
1994-04-01,144.0
1994-07-01,139.0
1994-10-01,66.0
1995-01-01,38.0
1995-04-01,128.0
1995-07-01,107.0
1995-10-01,67.0
1996-01-01,67.0
1996-04-01,213.0
1996-07-01,201.0
1996-10-01,94.0
1997-01-01,113.0
1997-04-01,234.0
1997-07-01,150.0
1997-10-01,70.0
1998-01-01,80.0
1998-04-01,111.0
1998-07-01,116.0
1998-10-01,51.0
1999-01-01,53.0
1999-04-01,167.0
1999-07-01,97.0
1999-10-01,60.0
2000-01-01,100.0
2000-04-01,173.0
2000-07-01,119.0
2000-10-01,72.0
2001-01-01,84.0
2001-04-01,238.0
2001-07-01,133.0
2001-10-01,66.0
2002-01-01,90.0
2002-04-01,191.0
2002-07-01,110.0
2002-10-01,73.0
2003-01-01,76.0
2003-04-01,178.0
2003-07-01,157.0
2003-10-01,91.0
2004-01-01,128.0
2004-04-01,248.0
2004-07-01,158.0
2004-10-01,98.0
2005-01-01,121.0
2005-04-01,287.0
2005-07-01,188.0
2005-10-01,157.0
2006-01-01,156.0
2006-04-01,296.0
2006-07-01,174.0
2006-10-01,115.0
2007-01-01,179.0
2007-04-01,295.0
2007-07-01,172.0
2007-10-01,105.0
2008-01-01,126.0
2008-04-01,288.0
2008-07-01,212.0
2008-10-01,76.0
2009-01-01,107.0
2009-04-01,261.0
2009-07-01,195.0
2009-10-01,127.0
2010-01-01,113.0
2010-04-01,193.0
2010-07-01,192.0
2010-10-01,93.0
2011-01-01,105.0
2011-04-01,249.0
2011-07-01,198.0
2011-10-01,101.0
2012-01-01,164.0
2012-04-01,365.0
2012-07-01,248.0
2012-10-01,164.0
2013-01-01,215.0
2013-04-01,356.0
2013-07-01,294.0
2013-10-01,175.0
2014-01-01,174.0
2014-04-01,302.0
2014-07-01,292.0
2014-10-01,158.0
2015-01-01,116.0
2015-04-01,202.0
2015-07-01,184.0
2015-10-01,123.0
2016-01-01,93.0
2016-04-01,202.0
2016-07-01,202.0
2016-10-01,117.0
2017-01-01,144.0
2017-04-01,208.0
2017-07-01,195.0
2017-10-01,124.0
2018-01-01,127.0
2018-04-01,235.0
2018-07-01,203.0
2018-10-01,117.0
2019-01-01,128.0
2019-04-01,237.0
2019-07-01,179.0
2019-10-01,113.0
2020-01-01,126.0
2020-04-01,200.0
2020-07-01,278.0
2020-10-01,180.0
2021-01-01,207.0
2021-04-01,420.0
2021-07-01,282.0
2021-10-01,208.0
2022-01-01,199.0
2022-04-01,393.0
2022-07-01,221.0
2022-10-01,
