,ANEVOLCNR_Q
1980-01-01,
1980-04-01,
1980-07-01,878.0
1980-10-01,830.0
1981-01-01,1760.0
1981-04-01,4156.0
1981-07-01,2108.0
1981-10-01,1025.0
1982-01-01,1893.0
1982-04-01,1841.0
1982-07-01,3640.0
1982-10-01,2575.0
1983-01-01,1590.0
1983-04-01,2163.0
1983-07-01,4770.0
1983-10-01,3273.0
1984-01-01,3555.0
1984-04-01,5195.0
1984-07-01,6971.0
1984-10-01,4416.0
1985-01-01,3958.0
1985-04-01,10501.0
1985-07-01,8326.0
1985-10-01,3962.0
1986-01-01,3310.0
1986-04-01,4761.0
1986-07-01,7025.0
1986-10-01,3973.0
1987-01-01,4346.0
1987-04-01,6928.0
1987-07-01,10507.0
1987-10-01,5238.0
1988-01-01,4408.0
1988-04-01,10624.0
1988-07-01,11467.0
1988-10-01,4599.0
1989-01-01,2943.0
1989-04-01,9567.0
1989-07-01,10341.0
1989-10-01,6280.0
1990-01-01,4640.0
1990-04-01,8939.0
1990-07-01,6974.0
1990-10-01,5957.0
1991-01-01,4297.0
1991-04-01,14325.0
1991-07-01,8911.0
1991-10-01,4515.0
1992-01-01,7372.0
1992-04-01,15846.0
1992-07-01,9594.0
1992-10-01,5580.0
1993-01-01,9485.0
1993-04-01,19160.0
1993-07-01,9795.0
1993-10-01,5872.0
1994-01-01,7241.0
1994-04-01,11853.0
1994-07-01,11570.0
1994-10-01,5012.0
1995-01-01,2957.0
1995-04-01,11243.0
1995-07-01,8566.0
1995-10-01,5835.0
1996-01-01,5750.0
1996-04-01,18251.0
1996-07-01,16355.0
1996-10-01,7637.0
1997-01-01,9931.0
1997-04-01,23909.0
1997-07-01,14644.0
1997-10-01,6866.0
1998-01-01,8564.0
1998-04-01,10328.0
1998-07-01,10666.0
1998-10-01,4742.0
1999-01-01,4939.0
1999-04-01,15480.0
1999-07-01,8837.0
1999-10-01,5873.0
2000-01-01,9378.0
2000-04-01,17314.0
2000-07-01,12570.0
2000-10-01,6289.0
2001-01-01,8762.0
2001-04-01,27393.0
2001-07-01,14842.0
2001-10-01,6569.0
2002-01-01,10266.0
2002-04-01,25201.0
2002-07-01,13538.0
2002-10-01,8474.0
2003-01-01,9370.0
2003-04-01,24965.0
2003-07-01,21317.0
2003-10-01,10117.0
2004-01-01,19437.0
2004-04-01,38384.0
2004-07-01,23365.0
2004-10-01,13500.0
2005-01-01,18601.0
2005-04-01,50185.0
2005-07-01,31955.0
2005-10-01,25649.0
2006-01-01,27985.0
2006-04-01,62819.0
2006-07-01,34910.0
2006-10-01,22644.0
2007-01-01,45659.0
2007-04-01,79955.0
2007-07-01,42444.0
2007-10-01,25805.0
2008-01-01,31338.0
2008-04-01,77657.0
2008-07-01,53303.0
2008-10-01,19477.0
2009-01-01,28601.0
2009-04-01,65985.0
2009-07-01,53493.0
2009-10-01,33179.0
2010-01-01,31358.0
2010-04-01,53136.0
2010-07-01,49529.0
2010-10-01,27347.0
2011-01-01,26705.0
2011-04-01,70213.0
2011-07-01,56819.0
2011-10-01,27984.0
2012-01-01,49004.0
2012-04-01,115768.0
2012-07-01,78792.0
2012-10-01,48808.0
2013-01-01,72237.0
2013-04-01,124430.0
2013-07-01,91534.0
2013-10-01,58091.0
2014-01-01,61280.0
2014-04-01,112511.0
2014-07-01,107394.0
2014-10-01,53540.0
2015-01-01,38813.0
2015-04-01,67907.0
2015-07-01,58677.0
2015-10-01,38891.0
2016-01-01,25674.0
2016-04-01,64930.0
2016-07-01,60191.0
2016-10-01,30735.0
2017-01-01,44883.0
2017-04-01,65087.0
2017-07-01,56958.0
2017-10-01,35080.0
2018-01-01,32342.0
2018-04-01,67928.0
2018-07-01,57808.0
2018-10-01,28383.0
2019-01-01,32461.0
2019-04-01,68747.0
2019-07-01,47244.0
2019-10-01,29673.0
2020-01-01,30739.0
2020-04-01,50573.0
2020-07-01,75489.0
2020-10-01,49789.0
2021-01-01,54497.0
2021-04-01,133885.0
2021-07-01,79987.0
2021-10-01,63191.0
2022-01-01,56960.0
2022-04-01,127286.0
