_date_	acapricnr_a	aedpricnr_a	krepricnr_a	kskpricnr_a	mwipricnr_a
1980-01-01	93977	84623	48628	60496	50491
1981-01-01	107739	91393	54915	64756	52656
1982-01-01	106311	91722	55495	63038	51294
1983-01-01	101726	85793	59053	65021	55336
1984-01-01	90302	79215	58889	67083	58755
1985-01-01	82716	74309	61403	68454	62478
1986-01-01	88021	74627	63942	70752	71001
1987-01-01	94278	77373	65079	72977	78287
1988-01-01	100927	82123	69389	74925	81931
1989-01-01	112631	89052	72078	75695	84234
1990-01-01	128326	101040	71054	76008	81740
1991-01-01	128082	107085	68476	75049	81892
1992-01-01	129812	109602	73319	74946	81990
1993-01-01	134318	111823	74525	77597	83058
1994-01-01	135332	112927	75030	80583	84812
1995-01-01	135725	110329	77247	81851	82994
1996-01-01	137434	109042	77549	87407	86142
1997-01-01	146839	111587	83076	96550	86040
1998-01-01	161036	114527	85977	100582	86838
1999-01-01	170050	118871	90600	102954	86614
2000-01-01	180079	124203	94335	111380	88553
2001-01-01	185972	133441	97031	114921	94214
2002-01-01	204172	150165	100922	116643	98054
2003-01-01	217050	165541	105062	122630	108812
2004-01-01	229150	179610	112302	130590	121925
2005-01-01	259014	199724	124813	143540	137062
2006-01-01	357042	259191	133659	158904	154607
2007-01-01	424221	350245	174151	227936	174202
2008-01-01	416369	342716	238187	273486	196940
2009-01-01	396679	329804	248484	263180	207342
2010-01-01	410707	337215	264603	279134	228706
2011-01-01	414796	333608	284670	292930	241409
2012-01-01	424346	344458	310000	311416	255058
2013-01-01	448806	354511	317242	322504	268382
2014-01-01	472515	372787	321477	334499	273363
2015-01-01	465526	378761	318167	336346	278270
2016-01-01	473997	377517	320783	333184	284610
2017-01-01	477435	379284	318690	323208	295885
2018-01-01	474442	373778	307386	316836	301518
2019-01-01	455274	363802	300960	316535	303008
2020-01-01	458612	370758	306899	328804	317931
2021-01-01	500339	394109	327884	350598	349753
2022-01-01	530456	403930	322408	356277	380700
2023-01-01	550375	389033	312207	359626	368325
2024-01-01	622535	424541	332400	384558	390730
