,ARENLIUNR_Q
1980-01-01,447.0
1980-04-01,576.0
1980-07-01,677.0
1980-10-01,427.0
1981-01-01,510.0
1981-04-01,603.0
1981-07-01,634.0
1981-10-01,524.0
1982-01-01,683.0
1982-04-01,769.0
1982-07-01,734.0
1982-10-01,586.0
1983-01-01,664.0
1983-04-01,765.0
1983-07-01,759.0
1983-10-01,575.0
1984-01-01,796.0
1984-04-01,759.0
1984-07-01,736.0
1984-10-01,644.0
1985-01-01,729.0
1985-04-01,836.0
1985-07-01,733.0
1985-10-01,604.0
1986-01-01,527.0
1986-04-01,774.0
1986-07-01,775.0
1986-10-01,565.0
1987-01-01,689.0
1987-04-01,804.0
1987-07-01,819.0
1987-10-01,594.0
1988-01-01,764.0
1988-04-01,852.0
1988-07-01,777.0
1988-10-01,578.0
1989-01-01,674.0
1989-04-01,894.0
1989-07-01,783.0
1989-10-01,630.0
1990-01-01,807.0
1990-04-01,935.0
1990-07-01,872.0
1990-10-01,684.0
1991-01-01,774.0
1991-04-01,1004.0
1991-07-01,963.0
1991-10-01,647.0
1992-01-01,942.0
1992-04-01,955.0
1992-07-01,840.0
1992-10-01,595.0
1993-01-01,878.0
1993-04-01,1019.0
1993-07-01,863.0
1993-10-01,633.0
1994-01-01,880.0
1994-04-01,1180.0
1994-07-01,1081.0
1994-10-01,800.0
1995-01-01,1029.0
1995-04-01,1186.0
1995-07-01,1049.0
1995-10-01,738.0
1996-01-01,989.0
1996-04-01,1131.0
1996-07-01,1178.0
1996-10-01,846.0
1997-01-01,1003.0
1997-04-01,1264.0
1997-07-01,1103.0
1997-10-01,681.0
1998-01-01,923.0
1998-04-01,1286.0
1998-07-01,1128.0
1998-10-01,789.0
1999-01-01,1216.0
1999-04-01,1334.0
1999-07-01,1168.0
1999-10-01,877.0
2000-01-01,1202.0
2000-04-01,1436.0
2000-07-01,1343.0
2000-10-01,838.0
2001-01-01,1238.0
2001-04-01,1431.0
2001-07-01,1163.0
2001-10-01,755.0
2002-01-01,949.0
2002-04-01,1292.0
2002-07-01,1199.0
2002-10-01,915.0
2003-01-01,1082.0
2003-04-01,1543.0
2003-07-01,1503.0
2003-10-01,990.0
2004-01-01,1346.0
2004-04-01,1542.0
2004-07-01,1392.0
2004-10-01,891.0
2005-01-01,1208.0
2005-04-01,1703.0
2005-07-01,1282.0
2005-10-01,977.0
2006-01-01,1174.0
2006-04-01,1838.0
2006-07-01,1691.0
2006-10-01,1223.0
2007-01-01,1692.0
2007-04-01,2629.0
2007-07-01,2477.0
2007-10-01,1796.0
2008-01-01,2595.0
2008-04-01,3147.0
2008-07-01,2627.0
2008-10-01,1585.0
2009-01-01,2244.0
2009-04-01,2716.0
2009-07-01,2286.0
2009-10-01,1533.0
2010-01-01,2350.0
2010-04-01,3034.0
2010-07-01,2332.0
2010-10-01,1512.0
2011-01-01,2103.0
2011-04-01,3100.0
2011-07-01,2338.0
2011-10-01,1497.0
2012-01-01,2156.0
2012-04-01,3002.0
2012-07-01,2156.0
2012-10-01,1227.0
2013-01-01,2024.0
2013-04-01,2975.0
2013-07-01,2242.0
2013-10-01,1232.0
2014-01-01,1951.0
2014-04-01,3158.0
2014-07-01,2366.0
2014-10-01,1304.0
2015-01-01,2204.0
2015-04-01,2819.0
2015-07-01,2404.0
2015-10-01,1463.0
2016-01-01,2163.0
2016-04-01,2788.0
2016-07-01,2472.0
2016-10-01,1419.0
2017-01-01,2155.0
2017-04-01,2905.0
2017-07-01,2342.0
2017-10-01,1510.0
2018-01-01,2301.0
2018-04-01,3146.0
2018-07-01,2255.0
2018-10-01,1358.0
2019-01-01,2071.0
2019-04-01,2746.0
2019-07-01,2058.0
2019-10-01,1325.0
2020-01-01,1917.0
2020-04-01,1899.0
2020-07-01,2109.0
2020-10-01,1287.0
2021-01-01,2282.0
2021-04-01,2903.0
2021-07-01,2150.0
2021-10-01,1349.0
2022-01-01,2063.0
2022-04-01,2870.0
