,AREPRICNR_Q
1980-01-01,67823.0
1980-04-01,66666.0
1980-07-01,69429.0
1980-10-01,70555.0
1981-01-01,74302.0
1981-04-01,74656.0
1981-07-01,74934.0
1981-10-01,73551.0
1982-01-01,79505.0
1982-04-01,72405.0
1982-07-01,71479.0
1982-10-01,70645.0
1983-01-01,73352.0
1983-04-01,70714.0
1983-07-01,73611.0
1983-10-01,72682.0
1984-01-01,67636.0
1984-04-01,70794.0
1984-07-01,68251.0
1984-10-01,69056.0
1985-01-01,67145.0
1985-04-01,66786.0
1985-07-01,69068.0
1985-10-01,67680.0
1986-01-01,66127.0
1986-04-01,69385.0
1986-07-01,71859.0
1986-10-01,57371.0
1987-01-01,69349.0
1987-04-01,69960.0
1987-07-01,70349.0
1987-10-01,69538.0
1988-01-01,72176.0
1988-04-01,74927.0
1988-07-01,75582.0
1988-10-01,77554.0
1989-01-01,76022.0
1989-04-01,73889.0
1989-07-01,73395.0
1989-10-01,77315.0
1990-01-01,76125.0
1990-04-01,73273.0
1990-07-01,79355.0
1990-10-01,77962.0
1991-01-01,81056.0
1991-04-01,80859.0
1991-07-01,78664.0
1991-10-01,82095.0
1992-01-01,82102.0
1992-04-01,80228.0
1992-07-01,83434.0
1992-10-01,84818.0
1993-01-01,86912.0
1993-04-01,88795.0
1993-07-01,88947.0
1993-10-01,85866.0
1994-01-01,92199.0
1994-04-01,94370.0
1994-07-01,90151.0
1994-10-01,92880.0
1995-01-01,90268.0
1995-04-01,93506.0
1995-07-01,94967.0
1995-10-01,91592.0
1996-01-01,97680.0
1996-04-01,94884.0
1996-07-01,95776.0
1996-10-01,96587.0
1997-01-01,98555.0
1997-04-01,101880.0
1997-07-01,101452.0
1997-10-01,100160.0
1998-01-01,100049.0
1998-04-01,106599.0
1998-07-01,106596.0
1998-10-01,109833.0
1999-01-01,110416.0
1999-04-01,111776.0
1999-07-01,116568.0
1999-10-01,119121.0
2000-01-01,113639.0
2000-04-01,120661.0
2000-07-01,123983.0
2000-10-01,118833.0
2001-01-01,120373.0
2001-04-01,126918.0
2001-07-01,126061.0
2001-10-01,126868.0
2002-01-01,125247.0
2002-04-01,128886.0
2002-07-01,133293.0
2002-10-01,132976.0
2003-01-01,137868.0
2003-04-01,139093.0
2003-07-01,139585.0
2003-10-01,136759.0
2004-01-01,150824.0
2004-04-01,150046.0
2004-07-01,148827.0
2004-10-01,152947.0
2005-01-01,154802.0
2005-04-01,162718.0
2005-07-01,160437.0
2005-10-01,165848.0
2006-01-01,178092.0
2006-04-01,190180.0
2006-07-01,217415.0
2006-10-01,243176.0
2007-01-01,249720.0
2007-04-01,280728.0
2007-07-01,280864.0
2007-10-01,265850.0
2008-01-01,298345.0
2008-04-01,297195.0
2008-07-01,289571.0
2008-10-01,285572.0
2009-01-01,270430.0
2009-04-01,281665.0
2009-07-01,279201.0
2009-10-01,282521.0
2010-01-01,279734.0
2010-04-01,297049.0
2010-07-01,291871.0
2010-10-01,276236.0
2011-01-01,269236.0
2011-04-01,279547.0
2011-07-01,280985.0
2011-10-01,281044.0
2012-01-01,283872.0
2012-04-01,297825.0
2012-07-01,294906.0
2012-10-01,282763.0
2013-01-01,292408.0
2013-04-01,307799.0
2013-07-01,309332.0
2013-10-01,298717.0
2014-01-01,313523.0
2014-04-01,317888.0
2014-07-01,320577.0
2014-10-01,322132.0
2015-01-01,316351.0
2015-04-01,329877.0
2015-07-01,318920.0
2015-10-01,305127.0
2016-01-01,301047.0
2016-04-01,316040.0
2016-07-01,311838.0
2016-10-01,302170.0
2017-01-01,313511.0
2017-04-01,326332.0
2017-07-01,312373.0
2017-10-01,306121.0
2018-01-01,291611.0
2018-04-01,305392.0
2018-07-01,299252.0
2018-10-01,291131.0
2019-01-01,287534.0
2019-04-01,301752.0
2019-07-01,299613.0
2019-10-01,284689.0
2020-01-01,295871.0
2020-04-01,289329.0
2020-07-01,310428.0
2020-10-01,323106.0
2021-01-01,337823.0
2021-04-01,350689.0
2021-07-01,346015.0
2021-10-01,344858.0
2022-01-01,352384.0
2022-04-01,359978.0
2022-07-01,344128.0
2022-10-01,323839.0
