,ACAPRICNR_Q
1980-01-01,88573.0
1980-04-01,94050.0
1980-07-01,96884.0
1980-10-01,96039.0
1981-01-01,104432.0
1981-04-01,109237.0
1981-07-01,111158.0
1981-10-01,106242.0
1982-01-01,107564.0
1982-04-01,109423.0
1982-07-01,106495.0
1982-10-01,101874.0
1983-01-01,103625.0
1983-04-01,101020.0
1983-07-01,97332.0
1983-10-01,91715.0
1984-01-01,89421.0
1984-04-01,90088.0
1984-07-01,88172.0
1984-10-01,78667.0
1985-01-01,78728.0
1985-04-01,81152.0
1985-07-01,81252.0
1985-10-01,80398.0
1986-01-01,84411.0
1986-04-01,89243.0
1986-07-01,85954.0
1986-10-01,86201.0
1987-01-01,87752.0
1987-04-01,94584.0
1987-07-01,96135.0
1987-10-01,93806.0
1988-01-01,94856.0
1988-04-01,101090.0
1988-07-01,102450.0
1988-10-01,103696.0
1989-01-01,107011.0
1989-04-01,112377.0
1989-07-01,110666.0
1989-10-01,120210.0
1990-01-01,133531.0
1990-04-01,133163.0
1990-07-01,122415.0
1990-10-01,122575.0
1991-01-01,124647.0
1991-04-01,130480.0
1991-07-01,129631.0
1991-10-01,128026.0
1992-01-01,129090.0
1992-04-01,131575.0
1992-07-01,128261.0
1992-10-01,128988.0
1993-01-01,132984.0
1993-04-01,135453.0
1993-07-01,135240.0
1993-10-01,131318.0
1994-01-01,134308.0
1994-04-01,136737.0
1994-07-01,130997.0
1994-10-01,130461.0
1995-01-01,134834.0
1995-04-01,132932.0
1995-07-01,131276.0
1995-10-01,129318.0
1996-01-01,134559.0
1996-04-01,138139.0
1996-07-01,134520.0
1996-10-01,131154.0
1997-01-01,138874.0
1997-04-01,145697.0
1997-07-01,142235.0
1997-10-01,146285.0
1998-01-01,154854.0
1998-04-01,157481.0
1998-07-01,158020.0
1998-10-01,159005.0
1999-01-01,163032.0
1999-04-01,165884.0
1999-07-01,165810.0
1999-10-01,170237.0
2000-01-01,174910.0
2000-04-01,178591.0
2000-07-01,175509.0
2000-10-01,175739.0
2001-01-01,179779.0
2001-04-01,183102.0
2001-07-01,182787.0
2001-10-01,182241.0
2002-01-01,190719.0
2002-04-01,200867.0
2002-07-01,198785.0
2002-10-01,204257.0
2003-01-01,206245.0
2003-04-01,210962.0
2003-07-01,212404.0
2003-10-01,215249.0
2004-01-01,220449.0
2004-04-01,222109.0
2004-07-01,221092.0
2004-10-01,228678.0
2005-01-01,245049.0
2005-04-01,248234.0
2005-07-01,247739.0
2005-10-01,263458.0
2006-01-01,308576.0
2006-04-01,355733.0
2006-07-01,364182.0
2006-10-01,365352.0
2007-01-01,397365.0
2007-04-01,425703.0
2007-07-01,426261.0
2007-10-01,407338.0
2008-01-01,426763.0
2008-04-01,431486.0
2008-07-01,408551.0
2008-10-01,392843.0
2009-01-01,379252.0
2009-04-01,394706.0
2009-07-01,402633.0
2009-10-01,411448.0
2010-01-01,407762.0
2010-04-01,424517.0
2010-07-01,411762.0
2010-10-01,404002.0
2011-01-01,409420.0
2011-04-01,427671.0
2011-07-01,414566.0
2011-10-01,409577.0
2012-01-01,415505.0
2012-04-01,435672.0
2012-07-01,419690.0
2012-10-01,430005.0
2013-01-01,446575.0
2013-04-01,450301.0
2013-07-01,449462.0
2013-10-01,457616.0
2014-01-01,470551.0
2014-04-01,478427.0
2014-07-01,474282.0
2014-10-01,472591.0
2015-01-01,461849.0
2015-04-01,476895.0
2015-07-01,464942.0
2015-10-01,460218.0
2016-01-01,461081.0
2016-04-01,481094.0
2016-07-01,479845.0
2016-10-01,477692.0
2017-01-01,478043.0
2017-04-01,495080.0
2017-07-01,473924.0
2017-10-01,462303.0
2018-01-01,479397.0
2018-04-01,485342.0
2018-07-01,476068.0
2018-10-01,458857.0
2019-01-01,458369.0
2019-04-01,463244.0
2019-07-01,455091.0
2019-10-01,448153.0
2020-01-01,449322.0
2020-04-01,446250.0
2020-07-01,471905.0
2020-10-01,464627.0
2021-01-01,501025.0
2021-04-01,513658.0
2021-07-01,491117.0
2021-10-01,495425.0
2022-01-01,550680.0
