,avg_price_sa
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,93148.0
1988-04-01,99654.0
1988-07-01,104561.0
1988-10-01,103705.0
1989-01-01,103889.0
1989-04-01,109658.0
1989-07-01,112461.0
1989-10-01,121501.0
1990-01-01,132799.0
1990-04-01,131230.0
1990-07-01,125085.0
1990-10-01,123906.0
1991-01-01,124158.0
1991-04-01,128157.0
1991-07-01,130814.0
1991-10-01,130179.0
1992-01-01,128908.0
1992-04-01,129094.0
1992-07-01,129431.0
1992-10-01,130609.0
1993-01-01,132880.0
1993-04-01,132765.0
1993-07-01,135759.0
1993-10-01,134361.0
1994-01-01,133581.0
1994-04-01,134347.0
1994-07-01,131899.0
1994-10-01,134297.0
1995-01-01,133646.0
1995-04-01,130148.0
1995-07-01,131677.0
1995-10-01,133271.0
1996-01-01,133131.0
1996-04-01,135099.0
1996-07-01,133805.0
1996-10-01,136097.0
1997-01-01,139000.0
1997-04-01,143357.0
1997-07-01,142793.0
1997-10-01,147933.0
1998-01-01,154406.0
1998-04-01,155460.0
1998-07-01,159706.0
1998-10-01,159932.0
1999-01-01,162029.0
1999-04-01,164608.0
1999-07-01,166437.0
1999-10-01,171351.0
2000-01-01,174433.0
2000-04-01,175377.0
2000-07-01,176555.0
2000-10-01,178247.0
2001-01-01,178841.0
2001-04-01,179579.0
2001-07-01,183908.0
2001-10-01,184976.0
2002-01-01,189833.0
2002-04-01,197121.0
2002-07-01,199984.0
2002-10-01,208269.0
2003-01-01,205384.0
2003-04-01,206615.0
2003-07-01,213869.0
2003-10-01,219176.0
2004-01-01,218960.0
2004-04-01,217116.0
2004-07-01,222399.0
2004-10-01,233875.0
2005-01-01,243142.0
2005-04-01,241943.0
2005-07-01,249357.0
2005-10-01,270337.0
2006-01-01,305279.0
2006-04-01,346224.0
2006-07-01,366084.0
2006-10-01,373312.0
2007-01-01,395378.0
2007-04-01,414448.0
2007-07-01,427539.0
2007-10-01,415299.0
2008-01-01,428938.0
2008-04-01,419815.0
2008-07-01,409292.0
2008-10-01,397805.0
2009-01-01,380683.0
2009-04-01,383244.0
2009-07-01,403950.0
2009-10-01,416751.0
2010-01-01,409249.0
2010-04-01,414248.0
2010-07-01,413153.0
2010-10-01,408013.0
2011-01-01,412277.0
2011-04-01,417413.0
2011-07-01,416504.0
2011-10-01,414076.0
2012-01-01,415633.0
2012-04-01,426023.0
2012-07-01,421466.0
2012-10-01,433968.0
2013-01-01,448093.0
2013-04-01,440999.0
2013-07-01,451359.0
2013-10-01,461674.0
2014-01-01,472120.0
2014-04-01,468808.0
2014-07-01,475776.0
2014-10-01,475221.0
2015-01-01,464414.0
2015-04-01,467402.0
2015-07-01,464640.0
2015-10-01,464501.0
2016-01-01,463681.0
2016-04-01,471717.0
2016-07-01,479292.0
2016-10-01,484982.0
2017-01-01,480119.0
2017-04-01,485815.0
2017-07-01,473187.0
2017-10-01,466739.0
2018-01-01,480927.0
2018-04-01,476104.0
2018-07-01,474299.0
2018-10-01,463812.0
2019-01-01,458071.0
2019-04-01,455374.0
2019-07-01,454028.0
2019-10-01,454072.0
2020-01-01,451751.0
2020-04-01,437227.0
2020-07-01,470946.0
2020-10-01,469688.0
2021-01-01,496690.0
2021-04-01,506877.0
2021-07-01,490103.0
2021-10-01,502881.0
