,AWENLIUNR_Q
1980-01-01,92.0
1980-04-01,143.0
1980-07-01,143.0
1980-10-01,97.0
1981-01-01,152.0
1981-04-01,144.0
1981-07-01,191.0
1981-10-01,160.0
1982-01-01,189.0
1982-04-01,196.0
1982-07-01,207.0
1982-10-01,206.0
1983-01-01,211.0
1983-04-01,239.0
1983-07-01,247.0
1983-10-01,118.0
1984-01-01,128.0
1984-04-01,121.0
1984-07-01,110.0
1984-10-01,134.0
1985-01-01,207.0
1985-04-01,192.0
1985-07-01,165.0
1985-10-01,136.0
1986-01-01,145.0
1986-04-01,189.0
1986-07-01,138.0
1986-10-01,137.0
1987-01-01,269.0
1987-04-01,162.0
1987-07-01,154.0
1987-10-01,217.0
1988-01-01,200.0
1988-04-01,213.0
1988-07-01,205.0
1988-10-01,131.0
1989-01-01,171.0
1989-04-01,197.0
1989-07-01,199.0
1989-10-01,149.0
1990-01-01,224.0
1990-04-01,198.0
1990-07-01,196.0
1990-10-01,171.0
1991-01-01,197.0
1991-04-01,226.0
1991-07-01,216.0
1991-10-01,135.0
1992-01-01,182.0
1992-04-01,232.0
1992-07-01,226.0
1992-10-01,124.0
1993-01-01,225.0
1993-04-01,236.0
1993-07-01,214.0
1993-10-01,158.0
1994-01-01,216.0
1994-04-01,247.0
1994-07-01,211.0
1994-10-01,133.0
1995-01-01,184.0
1995-04-01,231.0
1995-07-01,181.0
1995-10-01,143.0
1996-01-01,193.0
1996-04-01,251.0
1996-07-01,243.0
1996-10-01,141.0
1997-01-01,212.0
1997-04-01,232.0
1997-07-01,248.0
1997-10-01,167.0
1998-01-01,231.0
1998-04-01,266.0
1998-07-01,302.0
1998-10-01,121.0
1999-01-01,216.0
1999-04-01,276.0
1999-07-01,207.0
1999-10-01,132.0
2000-01-01,200.0
2000-04-01,243.0
2000-07-01,235.0
2000-10-01,230.0
2001-01-01,189.0
2001-04-01,217.0
2001-07-01,228.0
2001-10-01,119.0
2002-01-01,173.0
2002-04-01,253.0
2002-07-01,219.0
2002-10-01,134.0
2003-01-01,164.0
2003-04-01,219.0
2003-07-01,202.0
2003-10-01,178.0
2004-01-01,211.0
2004-04-01,318.0
2004-07-01,259.0
2004-10-01,180.0
2005-01-01,236.0
2005-04-01,317.0
2005-07-01,367.0
2005-10-01,329.0
2006-01-01,407.0
2006-04-01,638.0
2006-07-01,546.0
2006-10-01,349.0
2007-01-01,590.0
2007-04-01,789.0
2007-07-01,730.0
2007-10-01,431.0
2008-01-01,535.0
2008-04-01,750.0
2008-07-01,621.0
2008-10-01,352.0
2009-01-01,475.0
2009-04-01,593.0
2009-07-01,577.0
2009-10-01,360.0
2010-01-01,535.0
2010-04-01,753.0
2010-07-01,596.0
2010-10-01,482.0
2011-01-01,595.0
2011-04-01,786.0
2011-07-01,641.0
2011-10-01,432.0
2012-01-01,598.0
2012-04-01,787.0
2012-07-01,584.0
2012-10-01,358.0
2013-01-01,521.0
2013-04-01,838.0
2013-07-01,617.0
2013-10-01,375.0
2014-01-01,527.0
2014-04-01,812.0
2014-07-01,642.0
2014-10-01,386.0
2015-01-01,570.0
2015-04-01,797.0
2015-07-01,617.0
2015-10-01,385.0
2016-01-01,646.0
2016-04-01,744.0
2016-07-01,622.0
2016-10-01,401.0
2017-01-01,629.0
2017-04-01,755.0
2017-07-01,598.0
2017-10-01,404.0
2018-01-01,536.0
2018-04-01,832.0
2018-07-01,598.0
2018-10-01,434.0
2019-01-01,506.0
2019-04-01,769.0
2019-07-01,629.0
2019-10-01,389.0
2020-01-01,519.0
2020-04-01,516.0
2020-07-01,648.0
2020-10-01,373.0
2021-01-01,524.0
2021-04-01,716.0
2021-07-01,511.0
2021-10-01,312.0
2022-01-01,461.0
2022-04-01,717.0
2022-07-01,463.0
2022-10-01,273.0
