,AWEPRICNR_Q
1980-01-01,69523.0
1980-04-01,64784.0
1980-07-01,70248.0
1980-10-01,86518.0
1981-01-01,79057.0
1981-04-01,87634.0
1981-07-01,75150.0
1981-10-01,59602.0
1982-01-01,91900.0
1982-04-01,75923.0
1982-07-01,85625.0
1982-10-01,78275.0
1983-01-01,80429.0
1983-04-01,85988.0
1983-07-01,82260.0
1983-10-01,90013.0
1984-01-01,81869.0
1984-04-01,75026.0
1984-07-01,73757.0
1984-10-01,74831.0
1985-01-01,81746.0
1985-04-01,64291.0
1985-07-01,73453.0
1985-10-01,71544.0
1986-01-01,66777.0
1986-04-01,65479.0
1986-07-01,67591.0
1986-10-01,62778.0
1987-01-01,63733.0
1987-04-01,63360.0
1987-07-01,68325.0
1987-10-01,62968.0
1988-01-01,54736.0
1988-04-01,60781.0
1988-07-01,60180.0
1988-10-01,59422.0
1989-01-01,64061.0
1989-04-01,63753.0
1989-07-01,66737.0
1989-10-01,65627.0
1990-01-01,56718.0
1990-04-01,58855.0
1990-07-01,62468.0
1990-10-01,70780.0
1991-01-01,75355.0
1991-04-01,65459.0
1991-07-01,70743.0
1991-10-01,79433.0
1992-01-01,64934.0
1992-04-01,73571.0
1992-07-01,79493.0
1992-10-01,68741.0
1993-01-01,77512.0
1993-04-01,82750.0
1993-07-01,80829.0
1993-10-01,67279.0
1994-01-01,72551.0
1994-04-01,84998.0
1994-07-01,83101.0
1994-10-01,91050.0
1995-01-01,82704.0
1995-04-01,90588.0
1995-07-01,83935.0
1995-10-01,98375.0
1996-01-01,92318.0
1996-04-01,97110.0
1996-07-01,98293.0
1996-10-01,105083.0
1997-01-01,99561.0
1997-04-01,95621.0
1997-07-01,101451.0
1997-10-01,109852.0
1998-01-01,90079.0
1998-04-01,103053.0
1998-07-01,100268.0
1998-10-01,96376.0
1999-01-01,103823.0
1999-04-01,99003.0
1999-07-01,105272.0
1999-10-01,105726.0
2000-01-01,84859.0
2000-04-01,103786.0
2000-07-01,95451.0
2000-10-01,84773.0
2001-01-01,90805.0
2001-04-01,102693.0
2001-07-01,102160.0
2001-10-01,92861.0
2002-01-01,106260.0
2002-04-01,107228.0
2002-07-01,117129.0
2002-10-01,125390.0
2003-01-01,144330.0
2003-04-01,125138.0
2003-07-01,122684.0
2003-10-01,123341.0
2004-01-01,124085.0
2004-04-01,126390.0
2004-07-01,138967.0
2004-10-01,135191.0
2005-01-01,146735.0
2005-04-01,159585.0
2005-07-01,156070.0
2005-10-01,170742.0
2006-01-01,174799.0
2006-04-01,208967.0
2006-07-01,220480.0
2006-10-01,214986.0
2007-01-01,230644.0
2007-04-01,249799.0
2007-07-01,257551.0
2007-10-01,242941.0
2008-01-01,279391.0
2008-04-01,302931.0
2008-07-01,296993.0
2008-10-01,314333.0
2009-01-01,274206.0
2009-04-01,285842.0
2009-07-01,296871.0
2009-10-01,294824.0
2010-01-01,273649.0
2010-04-01,326012.0
2010-07-01,288410.0
2010-10-01,312525.0
2011-01-01,306836.0
2011-04-01,324579.0
2011-07-01,317414.0
2011-10-01,318539.0
2012-01-01,332266.0
2012-04-01,331312.0
2012-07-01,366740.0
2012-10-01,333372.0
2013-01-01,364234.0
2013-04-01,355721.0
2013-07-01,361772.0
2013-10-01,363233.0
2014-01-01,378904.0
2014-04-01,383007.0
2014-07-01,369784.0
2014-10-01,377239.0
2015-01-01,383952.0
2015-04-01,378906.0
2015-07-01,373522.0
2015-10-01,360817.0
2016-01-01,365698.0
2016-04-01,376796.0
2016-07-01,376414.0
2016-10-01,376822.0
2017-01-01,375211.0
2017-04-01,381584.0
2017-07-01,363251.0
2017-10-01,401216.0
2018-01-01,354638.0
2018-04-01,384355.0
2018-07-01,375837.0
2018-10-01,412011.0
2019-01-01,377789.0
2019-04-01,420766.0
2019-07-01,393067.0
2019-10-01,397623.0
2020-01-01,385662.0
2020-04-01,362824.0
2020-07-01,436371.0
2020-10-01,482522.0
2021-01-01,451108.0
2021-04-01,442788.0
2021-07-01,423679.0
2021-10-01,412209.0
2022-01-01,464434.0
2022-04-01,416103.0
2022-07-01,435238.0
2022-10-01,
