,AZZPRICNR_Q
1980-01-01,82983.0
1980-04-01,86517.0
1980-07-01,87957.0
1980-10-01,88314.0
1981-01-01,95597.0
1981-04-01,98175.0
1981-07-01,97168.0
1981-10-01,95459.0
1982-01-01,98270.0
1982-04-01,96011.0
1982-07-01,93476.0
1982-10-01,89313.0
1983-01-01,91893.0
1983-04-01,89421.0
1983-07-01,87363.0
1983-10-01,83603.0
1984-01-01,83579.0
1984-04-01,82083.0
1984-07-01,81198.0
1984-10-01,75539.0
1985-01-01,75212.0
1985-04-01,76837.0
1985-07-01,76457.0
1985-10-01,74605.0
1986-01-01,76262.0
1986-04-01,80851.0
1986-07-01,79519.0
1986-10-01,77024.0
1987-01-01,80436.0
1987-04-01,85725.0
1987-07-01,85291.0
1987-10-01,83444.0
1988-01-01,85073.0
1988-04-01,90841.0
1988-07-01,90464.0
1988-10-01,90821.0
1989-01-01,95691.0
1989-04-01,97243.0
1989-07-01,96370.0
1989-10-01,104414.0
1990-01-01,114616.0
1990-04-01,108174.0
1990-07-01,105813.0
1990-10-01,104217.0
1991-01-01,110244.0
1991-04-01,113743.0
1991-07-01,111412.0
1991-10-01,109688.0
1992-01-01,114039.0
1992-04-01,113724.0
1992-07-01,112974.0
1992-10-01,113483.0
1993-01-01,115614.0
1993-04-01,119233.0
1993-07-01,117251.0
1993-10-01,115182.0
1994-01-01,120313.0
1994-04-01,119808.0
1994-07-01,113692.0
1994-10-01,114277.0
1995-01-01,115512.0
1995-04-01,115042.0
1995-07-01,115014.0
1995-10-01,113318.0
1996-01-01,118602.0
1996-04-01,119244.0
1996-07-01,116189.0
1996-10-01,116618.0
1997-01-01,121998.0
1997-04-01,125894.0
1997-07-01,124532.0
1997-10-01,126842.0
1998-01-01,131087.0
1998-04-01,134017.0
1998-07-01,132052.0
1998-10-01,134238.0
1999-01-01,138543.0
1999-04-01,138911.0
1999-07-01,139278.0
1999-10-01,142281.0
2000-01-01,145353.0
2000-04-01,147770.0
2000-07-01,145991.0
2000-10-01,146620.0
2001-01-01,150753.0
2001-04-01,154230.0
2001-07-01,154116.0
2001-10-01,156197.0
2002-01-01,166364.0
2002-04-01,170476.0
2002-07-01,171228.0
2002-10-01,174887.0
2003-01-01,178933.0
2003-04-01,182893.0
2003-07-01,183738.0
2003-10-01,186505.0
2004-01-01,191772.0
2004-04-01,194002.0
2004-07-01,194819.0
2004-10-01,200706.0
2005-01-01,212589.0
2005-04-01,217948.0
2005-07-01,216806.0
2005-10-01,228131.0
2006-01-01,257924.0
2006-04-01,285112.0
2006-07-01,296174.0
2006-10-01,309132.0
2007-01-01,344528.0
2007-04-01,365891.0
2007-07-01,368325.0
2007-10-01,356759.0
2008-01-01,372919.0
2008-04-01,369222.0
2008-07-01,354087.0
2008-10-01,343601.0
2009-01-01,335511.0
2009-04-01,349213.0
2009-07-01,353460.0
2009-10-01,358857.0
2010-01-01,361533.0
2010-04-01,368842.0
2010-07-01,354596.0
2010-10-01,351549.0
2011-01-01,362393.0
2011-04-01,366424.0
2011-07-01,358121.0
2011-10-01,356141.0
2012-01-01,367112.0
2012-04-01,379899.0
2012-07-01,367749.0
2012-10-01,373091.0
2013-01-01,385642.0
2013-04-01,391814.0
2013-07-01,388380.0
2013-10-01,391404.0
2014-01-01,409139.0
2014-04-01,412851.0
2014-07-01,405947.0
2014-10-01,407642.0
2015-01-01,399703.0
2015-04-01,410748.0
2015-07-01,396540.0
2015-10-01,394074.0
2016-01-01,392484.0
2016-04-01,405191.0
2016-07-01,404358.0
2016-10-01,401246.0
2017-01-01,401846.0
2017-04-01,417469.0
2017-07-01,398075.0
2017-10-01,393782.0
2018-01-01,397562.0
2018-04-01,402562.0
2018-07-01,393031.0
2018-10-01,385838.0
2019-01-01,381833.0
2019-04-01,391345.0
2019-07-01,383444.0
2019-10-01,379369.0
2020-01-01,380058.0
2020-04-01,373281.0
2020-07-01,396538.0
2020-10-01,400461.0
2021-01-01,421599.0
2021-04-01,434983.0
2021-07-01,416749.0
2021-10-01,422521.0
2022-01-01,465906.0
2022-04-01,454328.0
2022-07-01,427207.0
2022-10-01,427303.0
