,AZZSALUNR_Q
1980-01-01,5430.0
1980-04-01,5176.0
1980-07-01,6942.0
1980-10-01,5673.0
1981-01-01,5802.0
1981-04-01,7139.0
1981-07-01,5334.0
1981-10-01,4438.0
1982-01-01,4100.0
1982-04-01,3174.0
1982-07-01,3379.0
1982-10-01,4027.0
1983-01-01,3661.0
1983-04-01,4455.0
1983-07-01,4504.0
1983-10-01,3504.0
1984-01-01,4743.0
1984-04-01,5002.0
1984-07-01,4657.0
1984-10-01,4626.0
1985-01-01,6136.0
1985-04-01,7958.0
1985-07-01,7653.0
1985-10-01,6415.0
1986-01-01,5798.0
1986-04-01,6414.0
1986-07-01,6647.0
1986-10-01,4846.0
1987-01-01,6575.0
1987-04-01,8261.0
1987-07-01,7408.0
1987-10-01,5388.0
1988-01-01,6207.0
1988-04-01,9409.0
1988-07-01,8403.0
1988-10-01,6349.0
1989-01-01,7812.0
1989-04-01,9172.0
1989-07-01,9816.0
1989-10-01,9449.0
1990-01-01,10194.0
1990-04-01,7121.0
1990-07-01,8330.0
1990-10-01,7440.0
1991-01-01,8213.0
1991-04-01,10284.0
1991-07-01,8923.0
1991-10-01,6940.0
1992-01-01,9947.0
1992-04-01,10367.0
1992-07-01,10126.0
1992-10-01,8105.0
1993-01-01,7618.0
1993-04-01,11308.0
1993-07-01,10316.0
1993-10-01,7782.0
1994-01-01,8198.0
1994-04-01,9874.0
1994-07-01,7928.0
1994-10-01,6512.0
1995-01-01,6059.0
1995-04-01,8532.0
1995-07-01,8441.0
1995-10-01,6066.0
1996-01-01,7648.0
1996-04-01,10856.0
1996-07-01,9638.0
1996-10-01,9343.0
1997-01-01,9623.0
1997-04-01,12460.0
1997-07-01,12095.0
1997-10-01,9515.0
1998-01-01,9240.0
1998-04-01,13749.0
1998-07-01,11752.0
1998-10-01,8642.0
1999-01-01,9033.0
1999-04-01,13309.0
1999-07-01,11631.0
1999-10-01,8711.0
2000-01-01,9998.0
2000-04-01,12807.0
2000-07-01,11383.0
2000-10-01,8896.0
2001-01-01,10352.0
2001-04-01,14516.0
2001-07-01,13150.0
2001-10-01,10777.0
2002-01-01,12335.0
2002-04-01,15169.0
2002-07-01,13298.0
2002-10-01,9995.0
2003-01-01,11055.0
2003-04-01,15166.0
2003-07-01,14294.0
2003-10-01,10682.0
2004-01-01,12837.0
2004-04-01,17530.0
2004-07-01,15123.0
2004-10-01,11726.0
2005-01-01,13506.0
2005-04-01,20175.0
2005-07-01,17790.0
2005-10-01,14060.0
2006-01-01,17701.0
2006-04-01,23166.0
2006-07-01,18302.0
2006-10-01,14801.0
2007-01-01,20451.0
2007-04-01,24160.0
2007-07-01,16134.0
2007-10-01,12084.0
2008-01-01,14166.0
2008-04-01,18444.0
2008-07-01,16444.0
2008-10-01,8634.0
2009-01-01,9688.0
2009-04-01,19367.0
2009-07-01,17896.0
2009-10-01,12439.0
2010-01-01,12705.0
2010-04-01,15972.0
2010-07-01,12417.0
2010-10-01,10205.0
2011-01-01,12288.0
2011-04-01,17146.0
2011-07-01,14947.0
2011-10-01,11355.0
2012-01-01,13802.0
2012-04-01,20456.0
2012-07-01,16335.0
2012-10-01,12200.0
2013-01-01,13819.0
2013-04-01,21186.0
2013-07-01,19560.0
2013-10-01,13767.0
2014-01-01,15372.0
2014-04-01,24729.0
2014-07-01,21290.0
2014-10-01,14697.0
2015-01-01,11835.0
2015-04-01,19827.0
2015-07-01,17204.0
2015-10-01,11226.0
2016-01-01,10417.0
2016-04-01,18035.0
2016-07-01,15801.0
2016-10-01,11351.0
2017-01-01,12148.0
2017-04-01,18210.0
2017-07-01,15573.0
2017-10-01,11848.0
2018-01-01,10966.0
2018-04-01,16962.0
2018-07-01,15223.0
2018-10-01,10361.0
2019-01-01,9936.0
2019-04-01,17181.0
2019-07-01,15575.0
2019-10-01,10789.0
2020-01-01,10087.0
2020-04-01,12495.0
2020-07-01,18885.0
2020-10-01,14288.0
2021-01-01,18434.0
2021-04-01,28541.0
2021-07-01,21075.0
2021-10-01,17583.0
2022-01-01,24345.0
2022-04-01,27963.0
2022-07-01,18755.0
2022-10-01,12987.0
