,AZZSAUURR
1980-01-01,700.0
1980-02-01,552.0
1980-03-01,244.0
1980-04-01,549.0
1980-05-01,474.0
1980-06-01,608.0
1980-07-01,635.0
1980-08-01,679.0
1980-09-01,946.0
1980-10-01,498.0
1980-11-01,713.0
1980-12-01,743.0
1981-01-01,792.0
1981-02-01,361.0
1981-03-01,232.0
1981-04-01,718.0
1981-05-01,1406.0
1981-06-01,1345.0
1981-07-01,792.0
1981-08-01,1101.0
1981-09-01,1386.0
1981-10-01,1248.0
1981-11-01,1101.0
1981-12-01,2312.0
1982-01-01,1445.0
1982-02-01,710.0
1982-03-01,463.0
1982-04-01,1059.0
1982-05-01,752.0
1982-06-01,2326.0
1982-07-01,1958.0
1982-08-01,104.0
1982-09-01,772.0
1982-10-01,564.0
1982-11-01,940.0
1982-12-01,125.0
1983-01-01,442.0
1983-02-01,626.0
1983-03-01,317.0
1983-04-01,139.0
1983-05-01,612.0
1983-06-01,732.0
1983-07-01,94.0
1983-08-01,357.0
1983-09-01,39.0
1983-10-01,3.0
1983-11-01,70.0
1983-12-01,187.0
1984-01-01,0.0
1984-02-01,4.0
1984-03-01,0.0
1984-04-01,0.0
1984-05-01,0.0
1984-06-01,17.0
1984-07-01,52.0
1984-08-01,0.0
1984-09-01,9.0
1984-10-01,32.0
1984-11-01,0.0
1984-12-01,95.0
1985-01-01,29.0
1985-02-01,28.0
1985-03-01,0.0
1985-04-01,0.0
1985-05-01,5.0
1985-06-01,35.0
1985-07-01,60.0
1985-08-01,0.0
1985-09-01,51.0
1985-10-01,7.0
1985-11-01,12.0
1985-12-01,0.0
1986-01-01,0.0
1986-02-01,0.0
1986-03-01,26.0
1986-04-01,0.0
1986-05-01,6.0
1986-06-01,19.0
1986-07-01,8.0
1986-08-01,50.0
1986-09-01,0.0
1986-10-01,8.0
1986-11-01,104.0
1986-12-01,160.0
1987-01-01,0.0
1987-02-01,0.0
1987-03-01,50.0
1987-04-01,15.0
1987-05-01,0.0
1987-06-01,68.0
1987-07-01,74.0
1987-08-01,19.0
1987-09-01,0.0
1987-10-01,0.0
1987-11-01,24.0
1987-12-01,12.0
1988-01-01,0.0
1988-02-01,3.0
1988-03-01,0.0
1988-04-01,26.0
1988-05-01,4.0
1988-06-01,11.0
1988-07-01,0.0
1988-08-01,0.0
1988-09-01,174.0
1988-10-01,33.0
1988-11-01,102.0
1988-12-01,51.0
1989-01-01,56.0
1989-02-01,3.0
1989-03-01,51.0
1989-04-01,12.0
1989-05-01,36.0
1989-06-01,0.0
1989-07-01,138.0
1989-08-01,27.0
1989-09-01,0.0
1989-10-01,279.0
1989-11-01,123.0
1989-12-01,8.0
1990-01-01,3.0
1990-02-01,18.0
1990-03-01,177.0
1990-04-01,119.0
1990-05-01,357.0
1990-06-01,114.0
1990-07-01,139.0
1990-08-01,158.0
1990-09-01,103.0
1990-10-01,38.0
1990-11-01,0.0
1990-12-01,34.0
1991-01-01,0.0
1991-02-01,0.0
1991-03-01,34.0
1991-04-01,100.0
1991-05-01,70.0
1991-06-01,6.0
1991-07-01,118.0
1991-08-01,83.0
1991-09-01,37.0
1991-10-01,71.0
1991-11-01,142.0
1991-12-01,4.0
1992-01-01,99.0
1992-02-01,18.0
1992-03-01,0.0
1992-04-01,67.0
1992-05-01,129.0
1992-06-01,50.0
1992-07-01,160.0
1992-08-01,245.0
1992-09-01,89.0
1992-10-01,179.0
1992-11-01,136.0
1992-12-01,107.0
1993-01-01,38.0
1993-02-01,162.0
1993-03-01,8.0
1993-04-01,233.0
1993-05-01,45.0
1993-06-01,303.0
1993-07-01,189.0
1993-08-01,299.0
1993-09-01,174.0
1993-10-01,52.0
1993-11-01,51.0
1993-12-01,9.0
