,AZZSRUURR
1980-01-01,195.0
1980-02-01,170.0
1980-03-01,273.0
1980-04-01,292.0
1980-05-01,373.0
1980-06-01,242.0
1980-07-01,520.0
1980-08-01,308.0
1980-09-01,497.0
1980-10-01,391.0
1980-11-01,287.0
1980-12-01,462.0
1981-01-01,122.0
1981-02-01,97.0
1981-03-01,368.0
1981-04-01,450.0
1981-05-01,410.0
1981-06-01,256.0
1981-07-01,427.0
1981-08-01,444.0
1981-09-01,474.0
1981-10-01,131.0
1981-11-01,721.0
1981-12-01,738.0
1982-01-01,151.0
1982-02-01,209.0
1982-03-01,228.0
1982-04-01,628.0
1982-05-01,316.0
1982-06-01,847.0
1982-07-01,161.0
1982-08-01,413.0
1982-09-01,141.0
1982-10-01,100.0
1982-11-01,154.0
1982-12-01,73.0
1983-01-01,175.0
1983-02-01,105.0
1983-03-01,92.0
1983-04-01,136.0
1983-05-01,288.0
1983-06-01,38.0
1983-07-01,44.0
1983-08-01,63.0
1983-09-01,110.0
1983-10-01,190.0
1983-11-01,0.0
1983-12-01,6.0
1984-01-01,49.0
1984-02-01,0.0
1984-03-01,71.0
1984-04-01,40.0
1984-05-01,45.0
1984-06-01,10.0
1984-07-01,0.0
1984-08-01,4.0
1984-09-01,0.0
1984-10-01,0.0
1984-11-01,0.0
1984-12-01,0.0
1985-01-01,0.0
1985-02-01,5.0
1985-03-01,0.0
1985-04-01,6.0
1985-05-01,10.0
1985-06-01,21.0
1985-07-01,0.0
1985-08-01,0.0
1985-09-01,6.0
1985-10-01,9.0
1985-11-01,9.0
1985-12-01,0.0
1986-01-01,54.0
1986-02-01,4.0
1986-03-01,10.0
1986-04-01,25.0
1986-05-01,43.0
1986-06-01,48.0
1986-07-01,44.0
1986-08-01,16.0
1986-09-01,0.0
1986-10-01,17.0
1986-11-01,33.0
1986-12-01,146.0
1987-01-01,13.0
1987-02-01,14.0
1987-03-01,7.0
1987-04-01,17.0
1987-05-01,66.0
1987-06-01,25.0
1987-07-01,48.0
1987-08-01,60.0
1987-09-01,9.0
1987-10-01,34.0
1987-11-01,161.0
1987-12-01,36.0
1988-01-01,29.0
1988-02-01,11.0
1988-03-01,10.0
1988-04-01,7.0
1988-05-01,33.0
1988-06-01,70.0
1988-07-01,71.0
1988-08-01,21.0
1988-09-01,28.0
1988-10-01,83.0
1988-11-01,118.0
1988-12-01,44.0
1989-01-01,0.0
1989-02-01,148.0
1989-03-01,48.0
1989-04-01,24.0
1989-05-01,27.0
1989-06-01,51.0
1989-07-01,250.0
1989-08-01,102.0
1989-09-01,92.0
1989-10-01,20.0
1989-11-01,43.0
1989-12-01,88.0
1990-01-01,100.0
1990-02-01,35.0
1990-03-01,57.0
1990-04-01,76.0
1990-05-01,351.0
1990-06-01,31.0
1990-07-01,102.0
1990-08-01,49.0
1990-09-01,25.0
1990-10-01,74.0
1990-11-01,147.0
1990-12-01,136.0
1991-01-01,73.0
1991-02-01,20.0
1991-03-01,4.0
1991-04-01,19.0
1991-05-01,68.0
1991-06-01,70.0
1991-07-01,37.0
1991-08-01,83.0
1991-09-01,97.0
1991-10-01,171.0
1991-11-01,88.0
1991-12-01,128.0
1992-01-01,60.0
1992-02-01,56.0
1992-03-01,76.0
1992-04-01,56.0
1992-05-01,215.0
1992-06-01,179.0
1992-07-01,152.0
1992-08-01,182.0
1992-09-01,95.0
1992-10-01,165.0
1992-11-01,158.0
1992-12-01,173.0
1993-01-01,100.0
1993-02-01,176.0
1993-03-01,170.0
1993-04-01,223.0
1993-05-01,114.0
1993-06-01,204.0
1993-07-01,267.0
1993-08-01,48.0
1993-09-01,145.0
1993-10-01,282.0
1993-11-01,96.0
1993-12-01,106.0
1994-01-01,39.0
1994-02-01,46.0
1994-03-01,53.0
1994-04-01,111.0
1994-05-01,110.0
1994-06-01,204.0
1994-07-01,132.0
1994-08-01,164.0
1994-09-01,138.0
1994-10-01,87.0
1994-11-01,84.0
1994-12-01,81.0
1995-01-01,53.0
1995-02-01,55.0
1995-03-01,33.0
1995-04-01,138.0
1995-05-01,60.0
1995-06-01,73.0
1995-07-01,123.0
1995-08-01,69.0
1995-09-01,74.0
1995-10-01,103.0
1995-11-01,92.0
1995-12-01,19.0
1996-01-01,28.0
1996-02-01,46.0
1996-03-01,36.0
1996-04-01,49.0
1996-05-01,75.0
1996-06-01,74.0
1996-07-01,40.0
1996-08-01,65.0
1996-09-01,46.0
1996-10-01,110.0
1996-11-01,68.0
1996-12-01,79.0
1997-01-01,42.0
1997-02-01,98.0
1997-03-01,53.0
1997-04-01,82.0
1997-05-01,109.0
1997-06-01,70.0
1997-07-01,125.0
1997-08-01,97.0
1997-09-01,88.0
1997-10-01,176.0
1997-11-01,216.0
1997-12-01,142.0
1998-01-01,73.0
1998-02-01,96.0
1998-03-01,106.0
1998-04-01,61.0
1998-05-01,138.0
1998-06-01,126.0
1998-07-01,86.0
1998-08-01,86.0
1998-09-01,104.0
1998-10-01,134.0
1998-11-01,75.0
1998-12-01,96.0
1999-01-01,68.0
1999-02-01,166.0
1999-03-01,84.0
1999-04-01,65.0
1999-05-01,90.0
1999-06-01,110.0
1999-07-01,84.0
1999-08-01,56.0
1999-09-01,128.0
1999-10-01,105.0
1999-11-01,56.0
1999-12-01,84.0
2000-01-01,25.0
2000-02-01,29.0
2000-03-01,36.0
2000-04-01,93.0
2000-05-01,81.0
2000-06-01,52.0
2000-07-01,135.0
2000-08-01,136.0
2000-09-01,179.0
2000-10-01,130.0
2000-11-01,380.0
2000-12-01,86.0
2001-01-01,86.0
2001-02-01,65.0
2001-03-01,65.0
2001-04-01,147.0
2001-05-01,150.0
2001-06-01,205.0
2001-07-01,110.0
2001-08-01,154.0
2001-09-01,170.0
2001-10-01,68.0
2001-11-01,146.0
2001-12-01,135.0
2002-01-01,129.0
2002-02-01,95.0
2002-03-01,177.0
2002-04-01,52.0
2002-05-01,172.0
2002-06-01,233.0
2002-07-01,182.0
2002-08-01,341.0
2002-09-01,248.0
2002-10-01,186.0
2002-11-01,208.0
2002-12-01,91.0
2003-01-01,192.0
2003-02-01,216.0
2003-03-01,147.0
2003-04-01,151.0
2003-05-01,179.0
2003-06-01,302.0
2003-07-01,172.0
2003-08-01,184.0
2003-09-01,370.0
2003-10-01,179.0
2003-11-01,183.0
2003-12-01,192.0
2004-01-01,118.0
2004-02-01,186.0
2004-03-01,95.0
2004-04-01,148.0
2004-05-01,199.0
2004-06-01,158.0
2004-07-01,101.0
2004-08-01,149.0
2004-09-01,301.0
2004-10-01,127.0
2004-11-01,198.0
2004-12-01,189.0
2005-01-01,151.0
2005-02-01,250.0
2005-03-01,192.0
2005-04-01,182.0
2005-05-01,217.0
2005-06-01,105.0
2005-07-01,163.0
2005-08-01,414.0
2005-09-01,210.0
2005-10-01,251.0
2005-11-01,268.0
2005-12-01,177.0
2006-01-01,68.0
2006-02-01,168.0
2006-03-01,234.0
2006-04-01,227.0
2006-05-01,138.0
2006-06-01,269.0
2006-07-01,293.0
2006-08-01,317.0
2006-09-01,163.0
2006-10-01,208.0
2006-11-01,217.0
2006-12-01,104.0
2007-01-01,592.0
2007-02-01,166.0
2007-03-01,408.0
2007-04-01,424.0
2007-05-01,252.0
2007-06-01,276.0
2007-07-01,150.0
2007-08-01,352.0
2007-09-01,336.0
2007-10-01,316.0
2007-11-01,109.0
2007-12-01,296.0
2008-01-01,220.0
2008-02-01,85.0
2008-03-01,238.0
2008-04-01,133.0
2008-05-01,215.0
2008-06-01,126.0
2008-07-01,107.0
2008-08-01,101.0
2008-09-01,108.0
2008-10-01,150.0
2008-11-01,109.0
2008-12-01,76.0
2009-01-01,20.0
2009-02-01,33.0
2009-03-01,18.0
2009-04-01,128.0
2009-05-01,50.0
2009-06-01,247.0
2009-07-01,190.0
2009-08-01,59.0
2009-09-01,199.0
2009-10-01,240.0
2009-11-01,244.0
2009-12-01,86.0
2010-01-01,141.0
2010-02-01,169.0
2010-03-01,126.0
2010-04-01,209.0
2010-05-01,209.0
2010-06-01,200.0
2010-07-01,253.0
2010-08-01,125.0
2010-09-01,169.0
2010-10-01,358.0
2010-11-01,188.0
2010-12-01,127.0
2011-01-01,184.0
2011-02-01,94.0
2011-03-01,186.0
2011-04-01,146.0
2011-05-01,208.0
2011-06-01,183.0
2011-07-01,136.0
2011-08-01,284.0
2011-09-01,138.0
2011-10-01,176.0
2011-11-01,353.0
2011-12-01,195.0
2012-01-01,193.0
2012-02-01,264.0
2012-03-01,186.0
2012-04-01,274.0
2012-05-01,302.0
2012-06-01,395.0
2012-07-01,337.0
2012-08-01,339.0
2012-09-01,285.0
2012-10-01,235.0
2012-11-01,152.0
2012-12-01,275.0
2013-01-01,226.0
2013-02-01,336.0
2013-03-01,234.0
2013-04-01,451.0
2013-05-01,379.0
2013-06-01,240.0
2013-07-01,393.0
2013-08-01,264.0
2013-09-01,258.0
2013-10-01,372.0
2013-11-01,426.0
2013-12-01,252.0
2014-01-01,271.0
2014-02-01,239.0
2014-03-01,207.0
2014-04-01,442.0
2014-05-01,370.0
2014-06-01,506.0
2014-07-01,394.0
2014-08-01,380.0
2014-09-01,413.0
2014-10-01,410.0
2014-11-01,381.0
2014-12-01,328.0
2015-01-01,225.0
2015-02-01,613.0
2015-03-01,390.0
2015-04-01,275.0
2015-05-01,392.0
2015-06-01,408.0
2015-07-01,379.0
2015-08-01,537.0
2015-09-01,321.0
