,AZZSSUURR
1980-01-01,563.0
1980-02-01,578.0
1980-03-01,717.0
1980-04-01,893.0
1980-05-01,891.0
1980-06-01,888.0
1980-07-01,1331.0
1980-08-01,1138.0
1980-09-01,1269.0
1980-10-01,1310.0
1980-11-01,1594.0
1980-12-01,864.0
1981-01-01,993.0
1981-02-01,894.0
1981-03-01,1061.0
1981-04-01,1661.0
1981-05-01,1903.0
1981-06-01,1488.0
1981-07-01,1509.0
1981-08-01,1034.0
1981-09-01,1409.0
1981-10-01,827.0
1981-11-01,800.0
1981-12-01,412.0
1982-01-01,449.0
1982-02-01,369.0
1982-03-01,441.0
1982-04-01,655.0
1982-05-01,766.0
1982-06-01,697.0
1982-07-01,382.0
1982-08-01,518.0
1982-09-01,308.0
1982-10-01,669.0
1982-11-01,441.0
1982-12-01,638.0
1983-01-01,658.0
1983-02-01,583.0
1983-03-01,489.0
1983-04-01,916.0
1983-05-01,1377.0
1983-06-01,991.0
1983-07-01,595.0
1983-08-01,506.0
1983-09-01,474.0
1983-10-01,641.0
1983-11-01,544.0
1983-12-01,271.0
1984-01-01,360.0
1984-02-01,305.0
1984-03-01,276.0
1984-04-01,386.0
1984-05-01,642.0
1984-06-01,539.0
1984-07-01,546.0
1984-08-01,483.0
1984-09-01,350.0
1984-10-01,328.0
1984-11-01,262.0
1984-12-01,237.0
1985-01-01,251.0
1985-02-01,189.0
1985-03-01,187.0
1985-04-01,337.0
1985-05-01,478.0
1985-06-01,482.0
1985-07-01,612.0
1985-08-01,615.0
1985-09-01,668.0
1985-10-01,679.0
1985-11-01,726.0
1985-12-01,477.0
1986-01-01,460.0
1986-02-01,411.0
1986-03-01,513.0
1986-04-01,496.0
1986-05-01,614.0
1986-06-01,417.0
1986-07-01,416.0
1986-08-01,413.0
1986-09-01,419.0
1986-10-01,474.0
1986-11-01,412.0
1986-12-01,316.0
1987-01-01,249.0
1987-02-01,272.0
1987-03-01,420.0
1987-04-01,601.0
1987-05-01,882.0
1987-06-01,784.0
1987-07-01,772.0
1987-08-01,862.0
1987-09-01,672.0
1987-10-01,662.0
1987-11-01,733.0
1987-12-01,523.0
1988-01-01,508.0
1988-02-01,413.0
1988-03-01,390.0
1988-04-01,754.0
1988-05-01,610.0
1988-06-01,835.0
1988-07-01,753.0
1988-08-01,694.0
1988-09-01,826.0
1988-10-01,633.0
1988-11-01,740.0
1988-12-01,547.0
1989-01-01,478.0
1989-02-01,340.0
1989-03-01,606.0
1989-04-01,780.0
1989-05-01,1143.0
1989-06-01,1055.0
1989-07-01,1080.0
1989-08-01,856.0
1989-09-01,999.0
1989-10-01,974.0
1989-11-01,1110.0
1989-12-01,832.0
1990-01-01,979.0
1990-02-01,954.0
1990-03-01,1294.0
1990-04-01,1869.0
1990-05-01,1283.0
1990-06-01,1093.0
1990-07-01,800.0
1990-08-01,688.0
1990-09-01,758.0
1990-10-01,652.0
1990-11-01,656.0
1990-12-01,387.0
1991-01-01,297.0
1991-02-01,382.0
1991-03-01,450.0
1991-04-01,588.0
1991-05-01,879.0
1991-06-01,931.0
1991-07-01,743.0
1991-08-01,855.0
1991-09-01,769.0
1991-10-01,794.0
1991-11-01,719.0
1991-12-01,577.0
1992-01-01,530.0
1992-02-01,600.0
1992-03-01,856.0
1992-04-01,1188.0
1992-05-01,1294.0
1992-06-01,1289.0
1992-07-01,1020.0
1992-08-01,986.0
1992-09-01,894.0
1992-10-01,1129.0
1992-11-01,1066.0
1992-12-01,927.0
1993-01-01,532.0
1993-02-01,615.0
1993-03-01,738.0
1993-04-01,1110.0
1993-05-01,1040.0
1993-06-01,1048.0
1993-07-01,922.0
1993-08-01,881.0
1993-09-01,912.0
1993-10-01,1082.0
1993-11-01,902.0
1993-12-01,847.0
1994-01-01,691.0
1994-02-01,607.0
1994-03-01,614.0
1994-04-01,1178.0
1994-05-01,1163.0
1994-06-01,1076.0
1994-07-01,1003.0
1994-08-01,740.0
1994-09-01,716.0
1994-10-01,696.0
1994-11-01,671.0
1994-12-01,546.0
1995-01-01,515.0
1995-02-01,429.0
1995-03-01,400.0
1995-04-01,691.0
1995-05-01,619.0
1995-06-01,755.0
1995-07-01,665.0
1995-08-01,690.0
1995-09-01,718.0
1995-10-01,719.0
1995-11-01,626.0
1995-12-01,598.0
1996-01-01,428.0
1996-02-01,390.0
1996-03-01,555.0
1996-04-01,770.0
1996-05-01,1093.0
1996-06-01,1216.0
1996-07-01,1092.0
1996-08-01,1058.0
1996-09-01,933.0
1996-10-01,793.0
1996-11-01,898.0
1996-12-01,759.0
1997-01-01,788.0
1997-02-01,1009.0
1997-03-01,1044.0
1997-04-01,1261.0
1997-05-01,1386.0
1997-06-01,1369.0
1997-07-01,1380.0
1997-08-01,1310.0
1997-09-01,1191.0
1997-10-01,1148.0
1997-11-01,1335.0
1997-12-01,1166.0
1998-01-01,979.0
1998-02-01,1128.0
1998-03-01,1136.0
1998-04-01,1515.0
1998-05-01,1667.0
1998-06-01,1545.0
1998-07-01,1437.0
1998-08-01,1484.0
1998-09-01,1308.0
1998-10-01,1184.0
1998-11-01,1254.0
1998-12-01,989.0
1999-01-01,746.0
1999-02-01,704.0
1999-03-01,732.0
1999-04-01,1096.0
1999-05-01,1161.0
1999-06-01,1324.0
1999-07-01,1302.0
1999-08-01,1346.0
1999-09-01,1143.0
1999-10-01,1109.0
1999-11-01,1033.0
1999-12-01,1069.0
2000-01-01,865.0
2000-02-01,764.0
2000-03-01,936.0
2000-04-01,1221.0
2000-05-01,1255.0
2000-06-01,1404.0
2000-07-01,1325.0
2000-08-01,1164.0
2000-09-01,1148.0
2000-10-01,1083.0
2000-11-01,1063.0
2000-12-01,994.0
2001-01-01,849.0
2001-02-01,894.0
2001-03-01,896.0
2001-04-01,1212.0
2001-05-01,1472.0
