,AZZSTUURR
1980-01-01,1536.0
1980-02-01,1436.0
1980-03-01,1410.0
1980-04-01,1912.0
1980-05-01,1904.0
1980-06-01,1970.0
1980-07-01,2788.0
1980-08-01,2399.0
1980-09-01,2953.0
1980-10-01,2359.0
1980-11-01,2812.0
1980-12-01,2251.0
1981-01-01,2193.0
1981-02-01,1454.0
1981-03-01,1767.0
1981-04-01,3017.0
1981-05-01,3873.0
1981-06-01,3311.0
1981-07-01,2876.0
1981-08-01,2672.0
1981-09-01,3373.0
1981-10-01,2290.0
1981-11-01,2736.0
1981-12-01,3610.0
1982-01-01,2203.0
1982-02-01,1406.0
1982-03-01,1236.0
1982-04-01,2430.0
1982-05-01,1960.0
1982-06-01,3928.0
1982-07-01,2531.0
1982-08-01,1055.0
1982-09-01,1245.0
1982-10-01,1347.0
1982-11-01,1567.0
1982-12-01,860.0
1983-01-01,1325.0
1983-02-01,1346.0
1983-03-01,908.0
1983-04-01,1205.0
1983-05-01,2351.0
1983-06-01,1815.0
1983-07-01,755.0
1983-08-01,934.0
1983-09-01,661.0
1983-10-01,850.0
1983-11-01,636.0
1983-12-01,470.0
1984-01-01,425.0
1984-02-01,311.0
1984-03-01,349.0
1984-04-01,432.0
1984-05-01,691.0
1984-06-01,574.0
1984-07-01,602.0
1984-08-01,499.0
1984-09-01,361.0
1984-10-01,364.0
1984-11-01,270.0
1984-12-01,332.0
1985-01-01,282.0
1985-02-01,222.0
1985-03-01,187.0
1985-04-01,347.0
1985-05-01,493.0
1985-06-01,558.0
1985-07-01,674.0
1985-08-01,623.0
1985-09-01,727.0
1985-10-01,699.0
1985-11-01,751.0
1985-12-01,481.0
1986-01-01,538.0
1986-02-01,421.0
1986-03-01,553.0
1986-04-01,532.0
1986-05-01,671.0
1986-06-01,496.0
1986-07-01,534.0
1986-08-01,489.0
1986-09-01,437.0
1986-10-01,511.0
1986-11-01,567.0
1986-12-01,634.0
1987-01-01,268.0
1987-02-01,286.0
1987-03-01,485.0
1987-04-01,639.0
1987-05-01,964.0
1987-06-01,903.0
1987-07-01,908.0
1987-08-01,957.0
1987-09-01,723.0
1987-10-01,720.0
1987-11-01,936.0
1987-12-01,643.0
1988-01-01,547.0
1988-02-01,447.0
1988-03-01,416.0
1988-04-01,799.0
1988-05-01,675.0
1988-06-01,940.0
1988-07-01,838.0
1988-08-01,847.0
1988-09-01,1060.0
1988-10-01,871.0
1988-11-01,1050.0
1988-12-01,722.0
1989-01-01,600.0
1989-02-01,513.0
1989-03-01,755.0
1989-04-01,834.0
1989-05-01,1242.0
1989-06-01,1174.0
1989-07-01,1498.0
1989-08-01,1011.0
1989-09-01,1117.0
1989-10-01,1299.0
1989-11-01,1316.0
1989-12-01,986.0
1990-01-01,1198.0
1990-02-01,1057.0
1990-03-01,1564.0
1990-04-01,2110.0
1990-05-01,2055.0
1990-06-01,1294.0
1990-07-01,1063.0
1990-08-01,953.0
1990-09-01,932.0
1990-10-01,804.0
1990-11-01,833.0
1990-12-01,569.0
1991-01-01,400.0
1991-02-01,420.0
1991-03-01,512.0
1991-04-01,739.0
1991-05-01,1047.0
1991-06-01,1075.0
1991-07-01,940.0
1991-08-01,1075.0
1991-09-01,933.0
1991-10-01,1124.0
1991-11-01,1051.0
1991-12-01,791.0
1992-01-01,729.0
1992-02-01,756.0
1992-03-01,968.0
1992-04-01,1399.0
1992-05-01,1672.0
1992-06-01,1590.0
1992-07-01,1416.0
1992-08-01,1497.0
1992-09-01,1154.0
1992-10-01,1563.0
1992-11-01,1470.0
1992-12-01,1311.0
1993-01-01,700.0
1993-02-01,1039.0
1993-03-01,958.0
1993-04-01,1664.0
1993-05-01,1279.0
1993-06-01,1609.0
1993-07-01,1518.0
1993-08-01,1304.0
1993-09-01,1399.0
1993-10-01,1484.0
1993-11-01,1143.0
1993-12-01,1026.0
1994-01-01,979.0
1994-02-01,927.0
1994-03-01,769.0
1994-04-01,1407.0
1994-05-01,1346.0
1994-06-01,1590.0
1994-07-01,1421.0
1994-08-01,1183.0
1994-09-01,1132.0
1994-10-01,1230.0
1994-11-01,992.0
1994-12-01,929.0
1995-01-01,691.0
1995-02-01,858.0
1995-03-01,500.0
1995-04-01,947.0
1995-05-01,739.0
1995-06-01,906.0
1995-07-01,1188.0
1995-08-01,1049.0
1995-09-01,848.0
1995-10-01,1211.0
1995-11-01,809.0
1995-12-01,795.0
1996-01-01,492.0
1996-02-01,514.0
1996-03-01,777.0
1996-04-01,865.0
1996-05-01,1306.0
1996-06-01,1428.0
1996-07-01,1204.0
1996-08-01,1410.0
1996-09-01,1184.0
1996-10-01,1044.0
1996-11-01,1235.0
1996-12-01,1016.0
1997-01-01,957.0
1997-02-01,1315.0
1997-03-01,1372.0
1997-04-01,1596.0
1997-05-01,1773.0
1997-06-01,1787.0
1997-07-01,1758.0
1997-08-01,1642.0
1997-09-01,1516.0
1997-10-01,1757.0
1997-11-01,1901.0
1997-12-01,1564.0
1998-01-01,1411.0
1998-02-01,1698.0
1998-03-01,1339.0
1998-04-01,1948.0
1998-05-01,2328.0
1998-06-01,1920.0
1998-07-01,2083.0
1998-08-01,1816.0
1998-09-01,1725.0
1998-10-01,1863.0
1998-11-01,1657.0
1998-12-01,1937.0
1999-01-01,1281.0
1999-02-01,1524.0
1999-03-01,1117.0
1999-04-01,1518.0
1999-05-01,1428.0
1999-06-01,2210.0
1999-07-01,1969.0
1999-08-01,2438.0
1999-09-01,1561.0
1999-10-01,1871.0
1999-11-01,1732.0
1999-12-01,1567.0
2000-01-01,1252.0
2000-02-01,1220.0
2000-03-01,1323.0
2000-04-01,1846.0
2000-05-01,2438.0
2000-06-01,2031.0
2000-07-01,1932.0
2000-08-01,1914.0
2000-09-01,2027.0
2000-10-01,1784.0
2000-11-01,2004.0
2000-12-01,1735.0
2001-01-01,1581.0
2001-02-01,1193.0
2001-03-01,1318.0
2001-04-01,2104.0
2001-05-01,2257.0
2001-06-01,2405.0
2001-07-01,2176.0
2001-08-01,2205.0
2001-09-01,2231.0
2001-10-01,2469.0
2001-11-01,2345.0
2001-12-01,2173.0
2002-01-01,1974.0
2002-02-01,1911.0
2002-03-01,2585.0
2002-04-01,2669.0
2002-05-01,3149.0
2002-06-01,3373.0
2002-07-01,2307.0
2002-08-01,3211.0
2002-09-01,2770.0
