,AZZVOLCNR_Q
1980-01-01,450598.0
1980-04-01,447810.0
1980-07-01,610600.0
1980-10-01,501003.0
1981-01-01,554652.0
1981-04-01,700869.0
1981-07-01,518296.0
1981-10-01,423645.0
1982-01-01,402909.0
1982-04-01,304740.0
1982-07-01,315857.0
1982-10-01,359665.0
1983-01-01,336420.0
1983-04-01,398371.0
1983-07-01,393483.0
1983-10-01,292945.0
1984-01-01,396414.0
1984-04-01,410578.0
1984-07-01,378141.0
1984-10-01,349442.0
1985-01-01,461504.0
1985-04-01,611469.0
1985-07-01,585122.0
1985-10-01,478590.0
1986-01-01,442167.0
1986-04-01,518575.0
1986-07-01,528563.0
1986-10-01,373259.0
1987-01-01,528866.0
1987-04-01,708175.0
1987-07-01,631834.0
1987-10-01,449594.0
1988-01-01,528050.0
1988-04-01,854725.0
1988-07-01,760165.0
1988-10-01,576620.0
1989-01-01,747536.0
1989-04-01,891912.0
1989-07-01,945973.0
1989-10-01,986611.0
1990-01-01,1168399.0
1990-04-01,770311.0
1990-07-01,881424.0
1990-10-01,775378.0
1991-01-01,905432.0
1991-04-01,1169734.0
1991-07-01,994133.0
1991-10-01,761235.0
1992-01-01,1134348.0
1992-04-01,1178976.0
1992-07-01,1143974.0
1992-10-01,919778.0
1993-01-01,880749.0
1993-04-01,1348292.0
1993-07-01,1209563.0
1993-10-01,896343.0
1994-01-01,986327.0
1994-04-01,1182980.0
1994-07-01,901352.0
1994-10-01,744170.0
1995-01-01,699889.0
1995-04-01,981534.0
1995-07-01,970836.0
1995-10-01,687388.0
1996-01-01,907067.0
1996-04-01,1294512.0
1996-07-01,1119829.0
1996-10-01,1089564.0
1997-01-01,1173983.0
1997-04-01,1568645.0
1997-07-01,1506210.0
1997-10-01,1206904.0
1998-01-01,1211247.0
1998-04-01,1842604.0
1998-07-01,1551877.0
1998-10-01,1160086.0
1999-01-01,1251455.0
1999-04-01,1848763.0
1999-07-01,1619940.0
1999-10-01,1239411.0
2000-01-01,1453237.0
2000-04-01,1892494.0
2000-07-01,1661812.0
2000-10-01,1304331.0
2001-01-01,1560597.0
2001-04-01,2238798.0
2001-07-01,2026629.0
2001-10-01,1683340.0
2002-01-01,2052101.0
2002-04-01,2585949.0
2002-07-01,2276989.0
2002-10-01,1747992.0
2003-01-01,1978100.0
2003-04-01,2773760.0
2003-07-01,2626348.0
2003-10-01,1992245.0
2004-01-01,2461773.0
2004-04-01,3400864.0
2004-07-01,2946252.0
2004-10-01,2353475.0
2005-01-01,2871229.0
2005-04-01,4397108.0
2005-07-01,3856973.0
2005-10-01,3207529.0
2006-01-01,4565506.0
2006-04-01,6604898.0
2006-07-01,5420579.0
2006-10-01,4575464.0
2007-01-01,7045951.0
2007-04-01,8839916.0
2007-07-01,5942555.0
2007-10-01,4311082.0
2008-01-01,5282769.0
2008-04-01,6809933.0
2008-07-01,5822604.0
2008-10-01,2966647.0
2009-01-01,3250433.0
2009-04-01,6763205.0
2009-07-01,6325520.0
2009-10-01,4463820.0
2010-01-01,4593272.0
2010-04-01,5891142.0
2010-07-01,4403016.0
2010-10-01,3587554.0
2011-01-01,4453081.0
2011-04-01,6282700.0
2011-07-01,5352836.0
2011-10-01,4043984.0
2012-01-01,5066885.0
2012-04-01,7771214.0
2012-07-01,6007174.0
2012-10-01,4551710.0
2013-01-01,5329188.0
2013-04-01,8300971.0
2013-07-01,7596716.0
2013-10-01,5388455.0
2014-01-01,6289282.0
2014-04-01,10209384.0
2014-07-01,8642614.0
2014-10-01,5991121.0
2015-01-01,4730488.0
2015-04-01,8143910.0
2015-07-01,6822070.0
2015-10-01,4423875.0
2016-01-01,4088502.0
2016-04-01,7307611.0
2016-07-01,6389266.0
2016-10-01,4554545.0
2017-01-01,4881631.0
2017-04-01,7602118.0
2017-07-01,6199227.0
2017-10-01,4665527.0
2018-01-01,4359669.0
2018-04-01,6828258.0
2018-07-01,5983108.0
2018-10-01,3997664.0
2019-01-01,3793893.0
2019-04-01,6723699.0
2019-07-01,5972133.0
2019-10-01,4093013.0
2020-01-01,3833648.0
2020-04-01,4664147.0
2020-07-01,7488622.0
2020-10-01,5721792.0
2021-01-01,7771749.0
2021-04-01,12414850.0
2021-07-01,8782989.0
2021-10-01,7429189.0
2022-01-01,11342490.0
2022-04-01,12704382.0
2022-07-01,8012262.0
2022-10-01,5549388.0
