,BVINLIUNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,2146.0
1988-04-01,2041.0
1988-07-01,2479.0
1988-10-01,2341.0
1989-01-01,2336.0
1989-04-01,2540.0
1989-07-01,2478.0
1989-10-01,2622.0
1990-01-01,2943.0
1990-04-01,2594.0
1990-07-01,2798.0
1990-10-01,2878.0
1991-01-01,2391.0
1991-04-01,2930.0
1991-07-01,2824.0
1991-10-01,2792.0
1992-01-01,2937.0
1992-04-01,2862.0
1992-07-01,2834.0
1992-10-01,2853.0
1993-01-01,2923.0
1993-04-01,2967.0
1993-07-01,3113.0
1993-10-01,2963.0
1994-01-01,2959.0
1994-04-01,2921.0
1994-07-01,2988.0
1994-10-01,2955.0
1995-01-01,2899.0
1995-04-01,2551.0
1995-07-01,2536.0
1995-10-01,2504.0
1996-01-01,2545.0
1996-04-01,2579.0
1996-07-01,2594.0
1996-10-01,2603.0
1997-01-01,2467.0
1997-04-01,2556.0
1997-07-01,2482.0
1997-10-01,2661.0
1998-01-01,2503.0
1998-04-01,2336.0
1998-07-01,2331.0
1998-10-01,2255.0
1999-01-01,2231.0
1999-04-01,2163.0
1999-07-01,2254.0
1999-10-01,2172.0
2000-01-01,2201.0
2000-04-01,2326.0
2000-07-01,2182.0
2000-10-01,2149.0
2001-01-01,2160.0
2001-04-01,2088.0
2001-07-01,2123.0
2001-10-01,2296.0
2002-01-01,2323.0
2002-04-01,2303.0
2002-07-01,2161.0
2002-10-01,2190.0
2003-01-01,2227.0
2003-04-01,2223.0
2003-07-01,2325.0
2003-10-01,2288.0
2004-01-01,2214.0
2004-04-01,2563.0
2004-07-01,2555.0
2004-10-01,2996.0
2005-01-01,2254.0
2005-04-01,2469.0
2005-07-01,2679.0
2005-10-01,3004.0
2006-01-01,3025.0
2006-04-01,3168.0
2006-07-01,3144.0
2006-10-01,2943.0
2007-01-01,3075.0
2007-04-01,3226.0
2007-07-01,3099.0
2007-10-01,3439.0
2008-01-01,3504.0
2008-04-01,3568.0
2008-07-01,3595.0
2008-10-01,3261.0
2009-01-01,2798.0
2009-04-01,2793.0
2009-07-01,2959.0
2009-10-01,3195.0
2010-01-01,3666.0
2010-04-01,3542.0
2010-07-01,2899.0
2010-10-01,3142.0
2011-01-01,3323.0
2011-04-01,3175.0
2011-07-01,3407.0
2011-10-01,3520.0
2012-01-01,3171.0
2012-04-01,3351.0
2012-07-01,3223.0
2012-10-01,3021.0
2013-01-01,2896.0
2013-04-01,2772.0
2013-07-01,2854.0
2013-10-01,2894.0
2014-01-01,2956.0
2014-04-01,2965.0
2014-07-01,2836.0
2014-10-01,2811.0
2015-01-01,3138.0
2015-04-01,2946.0
2015-07-01,2766.0
2015-10-01,2962.0
2016-01-01,3149.0
2016-04-01,3021.0
2016-07-01,2965.0
2016-10-01,2850.0
2017-01-01,2554.0
2017-04-01,2803.0
2017-07-01,2841.0
2017-10-01,3144.0
2018-01-01,2515.0
2018-04-01,2823.0
2018-07-01,2822.0
2018-10-01,2884.0
2019-01-01,2790.0
2019-04-01,2938.0
2019-07-01,2922.0
2019-10-01,2778.0
2020-01-01,2738.0
2020-04-01,2156.0
2020-07-01,3486.0
2020-10-01,3267.0
2021-01-01,3164.0
2021-04-01,2873.0
2021-07-01,2569.0
2021-10-01,2673.0
2022-01-01,2724.0
2022-04-01,3051.0
2022-07-01,2886.0
2022-10-01,2753.0
2023-01-01,2570.0
2023-04-01,2501.0
2023-07-01,3060.0
2023-10-01,3026.0
2024-01-01,3205.0
2024-04-01,3395.0
2024-07-01,3254.0
