,BVINLIUNR_Q
1980-01-01,1142.0
1980-04-01,1758.0
1980-07-01,1495.0
1980-10-01,879.0
1981-01-01,879.0
1981-04-01,2236.0
1981-07-01,1971.0
1981-10-01,1613.0
1982-01-01,2376.0
1982-04-01,1953.0
1982-07-01,1850.0
1982-10-01,1876.0
1983-01-01,2259.0
1983-04-01,2415.0
1983-07-01,2368.0
1983-10-01,1625.0
1984-01-01,2407.0
1984-04-01,2640.0
1984-07-01,2064.0
1984-10-01,1752.0
1985-01-01,2415.0
1985-04-01,2411.0
1985-07-01,2272.0
1985-10-01,1456.0
1986-01-01,2534.0
1986-04-01,2790.0
1986-07-01,2464.0
1986-10-01,1597.0
1987-01-01,2626.0
1987-04-01,2721.0
1987-07-01,2259.0
1987-10-01,1780.0
1988-01-01,2370.0
1988-04-01,2576.0
1988-07-01,2377.0
1988-10-01,1684.0
1989-01-01,2421.0
1989-04-01,3237.0
1989-07-01,2367.0
1989-10-01,1951.0
1990-01-01,3218.0
1990-04-01,3117.0
1990-07-01,2673.0
1990-10-01,2205.0
1991-01-01,2572.0
1991-04-01,3478.0
1991-07-01,2721.0
1991-10-01,2166.0
1992-01-01,3189.0
1992-04-01,3305.0
1992-07-01,2815.0
1992-10-01,2177.0
1993-01-01,3201.0
1993-04-01,3355.0
1993-07-01,3090.0
1993-10-01,2320.0
1994-01-01,3199.0
1994-04-01,3292.0
1994-07-01,3050.0
1994-10-01,2282.0
1995-01-01,3196.0
1995-04-01,2912.0
1995-07-01,2575.0
1995-10-01,1807.0
1996-01-01,2834.0
1996-04-01,2924.0
1996-07-01,2609.0
1996-10-01,1954.0
1997-01-01,2709.0
1997-04-01,3100.0
1997-07-01,2486.0
1997-10-01,1872.0
1998-01-01,2729.0
1998-04-01,2813.0
1998-07-01,2321.0
1998-10-01,1563.0
1999-01-01,2469.0
1999-04-01,2616.0
1999-07-01,2254.0
1999-10-01,1481.0
2000-01-01,2491.0
2000-04-01,2761.0
2000-07-01,2155.0
2000-10-01,1450.0
2001-01-01,2480.0
2001-04-01,2526.0
2001-07-01,2144.0
2001-10-01,1517.0
2002-01-01,2574.0
2002-04-01,2774.0
2002-07-01,2157.0
2002-10-01,1471.0
2003-01-01,2428.0
2003-04-01,2682.0
2003-07-01,2371.0
2003-10-01,1582.0
2004-01-01,2483.0
2004-04-01,3184.0
2004-07-01,2651.0
2004-10-01,2011.0
2005-01-01,2457.0
2005-04-01,3092.0
2005-07-01,2820.0
2005-10-01,2038.0
2006-01-01,3184.0
2006-04-01,3866.0
2006-07-01,3232.0
2006-10-01,1998.0
2007-01-01,3222.0
2007-04-01,4042.0
2007-07-01,3293.0
2007-10-01,2283.0
2008-01-01,3599.0
2008-04-01,4445.0
2008-07-01,3749.0
2008-10-01,2135.0
2009-01-01,2934.0
2009-04-01,3586.0
2009-07-01,3160.0
2009-10-01,2065.0
2010-01-01,3875.0
2010-04-01,4476.0
2010-07-01,2952.0
2010-10-01,1947.0
2011-01-01,3556.0
2011-04-01,4150.0
2011-07-01,3538.0
2011-10-01,2183.0
2012-01-01,3385.0
2012-04-01,4299.0
2012-07-01,3157.0
2012-10-01,1925.0
2013-01-01,3015.0
2013-04-01,3659.0
2013-07-01,2903.0
2013-10-01,1840.0
2014-01-01,3058.0
2014-04-01,3879.0
2014-07-01,2835.0
2014-10-01,1796.0
2015-01-01,3244.0
2015-04-01,3879.0
2015-07-01,2804.0
2015-10-01,1887.0
2016-01-01,3197.0
2016-04-01,3973.0
2016-07-01,2989.0
2016-10-01,1827.0
2017-01-01,2569.0
2017-04-01,3791.0
2017-07-01,2942.0
2017-10-01,2041.0
2018-01-01,2447.0
2018-04-01,3800.0
2018-07-01,2887.0
2018-10-01,1910.0
2019-01-01,2625.0
2019-04-01,3905.0
2019-07-01,3052.0
2019-10-01,1845.0
2020-01-01,2703.0
2020-04-01,2906.0
2020-07-01,3798.0
2020-10-01,2240.0
2021-01-01,3101.0
2021-04-01,3789.0
2021-07-01,2639.0
2021-10-01,1749.0
2022-01-01,2595.0
2022-04-01,3938.0
2022-07-01,2970.0
2022-10-01,1911.0
2023-01-01,2448.0
2023-04-01,3362.0
2023-07-01,3234.0
2023-10-01,2113.0
2024-01-01,2961.0
2024-04-01,4503.0
2024-07-01,3462.0
