,BVINTMURR
1980-01-01,
1980-02-01,
1980-03-01,
1980-04-01,
1980-05-01,
1980-06-01,
1980-07-01,
1980-08-01,
1980-09-01,
1980-10-01,
1980-11-01,
1980-12-01,
1981-01-01,
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,
1981-06-01,
1981-07-01,
1981-08-01,
1981-09-01,
1981-10-01,
1981-11-01,
1981-12-01,
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,
1986-04-01,
1986-05-01,
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
1989-01-01,
1989-02-01,
1989-03-01,
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,
1992-01-01,389.0
1992-02-01,355.0
1992-03-01,290.0
1992-04-01,272.0
1992-05-01,345.0
1992-06-01,359.0
1992-07-01,361.0
1992-08-01,333.0
1992-09-01,296.0
1992-10-01,298.0
1992-11-01,295.0
1992-12-01,298.0
1993-01-01,317.0
1993-02-01,279.0
1993-03-01,259.0
1993-04-01,223.0
1993-05-01,230.0
1993-06-01,304.0
1993-07-01,283.0
1993-08-01,287.0
1993-09-01,254.0
1993-10-01,273.0
1993-11-01,360.0
1993-12-01,337.0
1994-01-01,354.0
1994-02-01,354.0
1994-03-01,392.0
1994-04-01,348.0
1994-05-01,311.0
1994-06-01,287.0
1994-07-01,335.0
1994-08-01,366.0
1994-09-01,468.0
1994-10-01,488.0
1994-11-01,499.0
1994-12-01,545.0
1995-01-01,626.0
1995-02-01,647.0
1995-03-01,676.0
1995-04-01,779.0
1995-05-01,738.0
1995-06-01,742.0
1995-07-01,726.0
1995-08-01,672.0
1995-09-01,654.0
1995-10-01,650.0
1995-11-01,652.0
1995-12-01,680.0
1996-01-01,646.0
1996-02-01,604.0
1996-03-01,522.0
1996-04-01,489.0
1996-05-01,443.0
1996-06-01,496.0
1996-07-01,504.0
1996-08-01,472.0
1996-09-01,416.0
1996-10-01,405.0
1996-11-01,361.0
1996-12-01,334.0
1997-01-01,330.0
1997-02-01,338.0
1997-03-01,309.0
1997-04-01,288.0
1997-05-01,305.0
1997-06-01,290.0
1997-07-01,294.0
1997-08-01,271.0
1997-09-01,310.0
1997-10-01,353.0
1997-11-01,365.0
1997-12-01,345.0
1998-01-01,335.0
1998-02-01,359.0
1998-03-01,364.0
1998-04-01,405.0
1998-05-01,417.0
1998-06-01,450.0
1998-07-01,426.0
1998-08-01,391.0
1998-09-01,419.0
1998-10-01,425.0
1998-11-01,414.0
1998-12-01,418.0
1999-01-01,410.0
1999-02-01,389.0
1999-03-01,396.0
1999-04-01,389.0
1999-05-01,358.0
1999-06-01,331.0
1999-07-01,310.0
1999-08-01,292.0
1999-09-01,315.0
1999-10-01,309.0
1999-11-01,283.0
1999-12-01,274.0
2000-01-01,263.0
2000-02-01,258.0
2000-03-01,245.0
2000-04-01,234.0
2000-05-01,255.0
2000-06-01,327.0
2000-07-01,289.0
2000-08-01,266.0
2000-09-01,272.0
2000-10-01,294.0
2000-11-01,284.0
2000-12-01,304.0
2001-01-01,305.0
2001-02-01,340.0
2001-03-01,336.0
2001-04-01,302.0
2001-05-01,279.0
2001-06-01,253.0
2001-07-01,224.0
2001-08-01,211.0
2001-09-01,194.0
2001-10-01,215.0
2001-11-01,200.0
2001-12-01,201.0
2002-01-01,191.0
2002-02-01,145.0
2002-03-01,108.0
2002-04-01,95.0
2002-05-01,114.0
2002-06-01,120.0
2002-07-01,136.0
2002-08-01,119.0
2002-09-01,97.0
2002-10-01,101.0
2002-11-01,82.0
2002-12-01,75.0
2003-01-01,93.0
2003-02-01,79.0
2003-03-01,94.0
2003-04-01,118.0
2003-05-01,127.0
2003-06-01,119.0
2003-07-01,115.0
2003-08-01,105.0
2003-09-01,76.0
2003-10-01,89.0
2003-11-01,95.0
2003-12-01,87.0
2004-01-01,109.0
