,BVIPA33RR
1992-01-01,2.3
1993-01-01,1.2
1994-01-01,1.9
1995-01-01,0.9
1996-01-01,-93.0
1997-01-01,2.0
1998-01-01,-93.0
1999-01-01,-93.0
2000-01-01,-1.3
2001-01-01,4.7
2002-01-01,3.9
2003-01-01,-99.0
2004-01-01,-93.0
2005-01-01,7.5
2006-01-01,1.6
2007-01-01,5.6
2008-01-01,12.6
2009-01-01,-93.0
2010-01-01,-99.0
2011-01-01,4.2
2012-01-01,-1.2
2013-01-01,1.7
2014-01-01,3.0
2015-01-01,3.3
2016-01-01,5.4
2017-01-01,3.7
2018-01-01,8.9
2019-01-01,5.1
2020-01-01,4.2
2021-01-01,-93.0
2022-01-01,-99.0
2023-01-01,-99.0
2024-01-01,
