,BVIPRICNR_Q
1980-01-01,71534.0
1980-04-01,77655.0
1980-07-01,85963.0
1980-10-01,106583.0
1981-01-01,121391.0
1981-04-01,120061.0
1981-07-01,129442.0
1981-10-01,116543.0
1982-01-01,108726.0
1982-04-01,100883.0
1982-07-01,96972.0
1982-10-01,89399.0
1983-01-01,103106.0
1983-04-01,96216.0
1983-07-01,96638.0
1983-10-01,93300.0
1984-01-01,92929.0
1984-04-01,91327.0
1984-07-01,91024.0
1984-10-01,88126.0
1985-01-01,86461.0
1985-04-01,89466.0
1985-07-01,89478.0
1985-10-01,88038.0
1986-01-01,92256.0
1986-04-01,97797.0
1986-07-01,96297.0
1986-10-01,95204.0
1987-01-01,97097.0
1987-04-01,102559.0
1987-07-01,105830.0
1987-10-01,103522.0
1988-01-01,109314.0
1988-04-01,124050.0
1988-07-01,120437.0
1988-10-01,119069.0
1989-01-01,132897.0
1989-04-01,141453.0
1989-07-01,142902.0
1989-10-01,149422.0
1990-01-01,164810.0
1990-04-01,161725.0
1990-07-01,155772.0
1990-10-01,160113.0
1991-01-01,157192.0
1991-04-01,170564.0
1991-07-01,174012.0
1991-10-01,175466.0
1992-01-01,187651.0
1992-04-01,195588.0
1992-07-01,197651.0
1992-10-01,198158.0
1993-01-01,204929.0
1993-04-01,213160.0
1993-07-01,214782.0
1993-10-01,208954.0
1994-01-01,216374.0
1994-04-01,220114.0
1994-07-01,224672.0
1994-10-01,219655.0
1995-01-01,212387.0
1995-04-01,214939.0
1995-07-01,208468.0
1995-10-01,208279.0
1996-01-01,212776.0
1996-04-01,218692.0
1996-07-01,209012.0
1996-10-01,206191.0
1997-01-01,214646.0
1997-04-01,220130.0
1997-07-01,223127.0
1997-10-01,214351.0
1998-01-01,221588.0
1998-04-01,220837.0
1998-07-01,216598.0
1998-10-01,211561.0
1999-01-01,213359.0
1999-04-01,222771.0
1999-07-01,224910.0
1999-10-01,222169.0
2000-01-01,227011.0
2000-04-01,227974.0
2000-07-01,228117.0
2000-10-01,218624.0
2001-01-01,218363.0
2001-04-01,230158.0
2001-07-01,227504.0
2001-10-01,223513.0
2002-01-01,232253.0
2002-04-01,241271.0
2002-07-01,244128.0
2002-10-01,255328.0
2003-01-01,262153.0
2003-04-01,278496.0
2003-07-01,281753.0
2003-10-01,301164.0
2004-01-01,308001.0
2004-04-01,321567.0
2004-07-01,324966.0
2004-10-01,350942.0
2005-01-01,352698.0
2005-04-01,381214.0
2005-07-01,392808.0
2005-10-01,401498.0
2006-01-01,414546.0
2006-04-01,428896.0
2006-07-01,426185.0
2006-10-01,441530.0
2007-01-01,440319.0
2007-04-01,477673.0
2007-07-01,465829.0
2007-10-01,481488.0
2008-01-01,498926.0
2008-04-01,495470.0
2008-07-01,473487.0
2008-10-01,448680.0
2009-01-01,439765.0
2009-04-01,472299.0
2009-07-01,485608.0
2009-10-01,494854.0
2010-01-01,505260.0
2010-04-01,515278.0
2010-07-01,485771.0
2010-10-01,505952.0
2011-01-01,491336.0
2011-04-01,514003.0
2011-07-01,499924.0
2011-10-01,482935.0
2012-01-01,481325.0
2012-04-01,495605.0
2012-07-01,474553.0
2012-10-01,480041.0
2013-01-01,457620.0
2013-04-01,501342.0
2013-07-01,483069.0
2013-10-01,468701.0
2014-01-01,489949.0
2014-04-01,500247.0
2014-07-01,500852.0
2014-10-01,491361.0
2015-01-01,494638.0
2015-04-01,528564.0
2015-07-01,524090.0
2015-10-01,532946.0
2016-01-01,555141.0
2016-04-01,593575.0
2016-07-01,582380.0
2016-10-01,615690.0
2017-01-01,629391.0
2017-04-01,660640.0
2017-07-01,655321.0
2017-10-01,664650.0
2018-01-01,687616.0
2018-04-01,705575.0
2018-07-01,708091.0
2018-10-01,698748.0
2019-01-01,668144.0
2019-04-01,694285.0
2019-07-01,675335.0
2019-10-01,715346.0
2020-01-01,726163.0
2020-04-01,746104.0
2020-07-01,812671.0
2020-10-01,789922.0
2021-01-01,881953.0
2021-04-01,893577.0
2021-07-01,882741.0
2021-10-01,995905.0
2022-01-01,1045993.0
2022-04-01,1062956.0
2022-07-01,954480.0
2022-10-01,930778.0
2023-01-01,932761.0
2023-04-01,994154.0
2023-07-01,1021879.0
2023-10-01,960696.0
2024-01-01,960917.0
2024-04-01,998571.0
2024-07-01,964059.0
