,BVIRA3TCR
1992-01-01,577.0
1993-01-01,596.0
1994-01-01,604.0
1995-01-01,605.0
1996-01-01,607.0
1997-01-01,609.0
1998-01-01,607.0
1999-01-01,613.0
2000-01-01,617.0
2001-01-01,632.0
2002-01-01,648.0
2003-01-01,664.0
2004-01-01,673.0
2005-01-01,704.0
2006-01-01,731.0
2007-01-01,765.0
2008-01-01,818.0
2009-01-01,847.0
2010-01-01,864.0
2011-01-01,879.0
2012-01-01,891.0
2013-01-01,898.0
2014-01-01,918.0
2015-01-01,942.0
2016-01-01,994.0
2017-01-01,1072.0
2018-01-01,1170.0
2019-01-01,1221.0
2020-01-01,1275.0
2021-01-01,1323.0
2022-01-01,1457.0
2023-01-01,1560.0
2024-01-01,
