,BVIRAT33CR
1992-01-01,789.0
1993-01-01,812.0
1994-01-01,821.0
1995-01-01,820.0
1996-01-01,827.0
1997-01-01,850.0
1998-01-01,822.0
1999-01-01,846.0
2000-01-01,835.0
2001-01-01,853.0
2002-01-01,872.0
2003-01-01,905.0
2004-01-01,918.0
2005-01-01,976.0
2006-01-01,1015.0
2007-01-01,1056.0
2008-01-01,1180.0
2009-01-01,1232.0
2010-01-01,1223.0
2011-01-01,1244.0
2012-01-01,1271.0
2013-01-01,1281.0
2014-01-01,1317.0
2015-01-01,1384.0
2016-01-01,1485.0
2017-01-01,1568.0
2018-01-01,1647.0
2019-01-01,1740.0
2020-01-01,1758.0
2021-01-01,1894.0
2022-01-01,2176.0
2023-01-01,2089.0
2024-01-01,
