,BVIRAT3BCR
1992-01-01,437.0
1993-01-01,451.0
1994-01-01,459.0
1995-01-01,466.0
1996-01-01,466.0
1997-01-01,467.0
1998-01-01,464.0
1999-01-01,468.0
2000-01-01,472.0
2001-01-01,482.0
2002-01-01,501.0
2003-01-01,515.0
2004-01-01,516.0
2005-01-01,540.0
2006-01-01,561.0
2007-01-01,589.0
2008-01-01,626.0
2009-01-01,647.0
2010-01-01,665.0
2011-01-01,676.0
2012-01-01,695.0
2013-01-01,706.0
2014-01-01,723.0
2015-01-01,742.0
2016-01-01,785.0
2017-01-01,850.0
2018-01-01,926.0
2019-01-01,965.0
2020-01-01,1015.0
2021-01-01,1032.0
2022-01-01,1138.0
2023-01-01,1222.0
2024-01-01,
