,BVISALUNR_Q
1980-01-01,607.0
1980-04-01,690.0
1980-07-01,1066.0
1980-10-01,575.0
1981-01-01,572.0
1981-04-01,725.0
1981-07-01,447.0
1981-10-01,428.0
1982-01-01,526.0
1982-04-01,427.0
1982-07-01,757.0
1982-10-01,897.0
1983-01-01,923.0
1983-04-01,1042.0
1983-07-01,974.0
1983-10-01,700.0
1984-01-01,924.0
1984-04-01,965.0
1984-07-01,929.0
1984-10-01,775.0
1985-01-01,1153.0
1985-04-01,1278.0
1985-07-01,1398.0
1985-10-01,1059.0
1986-01-01,1063.0
1986-04-01,1435.0
1986-07-01,1473.0
1986-10-01,1152.0
1987-01-01,1723.0
1987-04-01,1866.0
1987-07-01,1568.0
1987-10-01,1086.0
1988-01-01,1474.0
1988-04-01,1960.0
1988-07-01,1720.0
1988-10-01,1482.0
1989-01-01,1872.0
1989-04-01,1875.0
1989-07-01,2151.0
1989-10-01,2075.0
1990-01-01,1854.0
1990-04-01,1326.0
1990-07-01,1617.0
1990-10-01,1283.0
1991-01-01,1895.0
1991-04-01,2664.0
1991-07-01,2135.0
1991-10-01,1842.0
1992-01-01,2100.0
1992-04-01,2041.0
1992-07-01,2219.0
1992-10-01,1782.0
1993-01-01,1793.0
1993-04-01,2188.0
1993-07-01,1796.0
1993-10-01,1567.0
1994-01-01,1915.0
1994-04-01,1862.0
1994-07-01,1321.0
1994-10-01,1162.0
1995-01-01,926.0
1995-04-01,1226.0
1995-07-01,1696.0
1995-10-01,1294.0
1996-01-01,1350.0
1996-04-01,1623.0
1996-07-01,1607.0
1996-10-01,1651.0
1997-01-01,1341.0
1997-04-01,1821.0
1997-07-01,1451.0
1997-10-01,1232.0
1998-01-01,1131.0
1998-04-01,1442.0
1998-07-01,1348.0
1998-10-01,1060.0
1999-01-01,1119.0
1999-04-01,1566.0
1999-07-01,1326.0
1999-10-01,1052.0
2000-01-01,1064.0
2000-04-01,1402.0
2000-07-01,1320.0
2000-10-01,1077.0
2001-01-01,1190.0
2001-04-01,1976.0
2001-07-01,1801.0
2001-10-01,1443.0
2002-01-01,1764.0
2002-04-01,2115.0
2002-07-01,1806.0
2002-10-01,1384.0
2003-01-01,1652.0
2003-04-01,2178.0
2003-07-01,2158.0
2003-10-01,1593.0
2004-01-01,1873.0
2004-04-01,2239.0
2004-07-01,1925.0
2004-10-01,1648.0
2005-01-01,1945.0
2005-04-01,2524.0
2005-07-01,2080.0
2005-10-01,1421.0
2006-01-01,1854.0
2006-04-01,2330.0
2006-07-01,1848.0
2006-10-01,1468.0
2007-01-01,1865.0
2007-04-01,2653.0
2007-07-01,2239.0
2007-10-01,1646.0
2008-01-01,1676.0
2008-04-01,2145.0
2008-07-01,1569.0
2008-10-01,781.0
2009-01-01,1207.0
2009-04-01,2451.0
2009-07-01,2336.0
2009-10-01,1666.0
2010-01-01,1706.0
2010-04-01,1963.0
2010-07-01,1274.0
2010-10-01,1226.0
2011-01-01,1398.0
2011-04-01,1681.0
2011-07-01,1456.0
2011-10-01,1238.0
2012-01-01,1378.0
2012-04-01,1803.0
2012-07-01,1334.0
2012-10-01,945.0
2013-01-01,1128.0
2013-04-01,1848.0
2013-07-01,1542.0
2013-10-01,1173.0
2014-01-01,1268.0
2014-04-01,1988.0
2014-07-01,1759.0
2014-10-01,1356.0
2015-01-01,1548.0
2015-04-01,2538.0
2015-07-01,2114.0
2015-10-01,1668.0
2016-01-01,2295.0
2016-04-01,3549.0
2016-07-01,2487.0
2016-10-01,1697.0
2017-01-01,1957.0
2017-04-01,2765.0
2017-07-01,2050.0
2017-10-01,1692.0
2018-01-01,1584.0
2018-04-01,2145.0
2018-07-01,1684.0
2018-10-01,1357.0
2019-01-01,1321.0
2019-04-01,2172.0
2019-07-01,1890.0
2019-10-01,1509.0
2020-01-01,1488.0
2020-04-01,1492.0
2020-07-01,2818.0
2020-10-01,2262.0
2021-01-01,2509.0
2021-04-01,2954.0
2021-07-01,2327.0
2021-10-01,1724.0
2022-01-01,1912.0
2022-04-01,2105.0
2022-07-01,1355.0
2022-10-01,1127.0
2023-01-01,1264.0
2023-04-01,2045.0
2023-07-01,1559.0
2023-10-01,1066.0
2024-01-01,1333.0
2024-04-01,2023.0
2024-07-01,1689.0
