,BVISMMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,1.768
1990-04-01,2.852
1990-07-01,0.444
1990-10-01,0.336
1991-01-01,0.92
1991-04-01,0.308
1991-07-01,1.5
1991-10-01,1.148
1992-01-01,0.4
1992-04-01,1.672
1992-07-01,2.008
1992-10-01,1.276
1993-01-01,1.608
1993-04-01,1.6
1993-07-01,1.512
1993-10-01,2.568
1994-01-01,2.132
1994-04-01,1.412
1994-07-01,1.496
1994-10-01,1.332
1995-01-01,1.712
1995-04-01,0.584
1995-07-01,0.488
1995-10-01,0.616
1996-01-01,0.868
1996-04-01,0.372
1996-07-01,0.568
1996-10-01,0.416
1997-01-01,0.7
1997-04-01,0.616
1997-07-01,0.524
1997-10-01,0.856
1998-01-01,0.332
1998-04-01,0.452
1998-07-01,0.444
1998-10-01,0.548
1999-01-01,0.392
1999-04-01,1.032
1999-07-01,1.176
1999-10-01,0.636
2000-01-01,0.124
2000-04-01,0.388
2000-07-01,0.316
2000-10-01,0.536
2001-01-01,0.884
2001-04-01,0.32
2001-07-01,0.076
2001-10-01,1.252
2002-01-01,0.268
2002-04-01,0.176
2002-07-01,0.48
2002-10-01,0.936
2003-01-01,0.572
2003-04-01,1.004
2003-07-01,1.552
2003-10-01,1.028
2004-01-01,1.68
2004-04-01,0.608
2004-07-01,0.752
2004-10-01,2.26
2005-01-01,0.904
2005-04-01,1.28
2005-07-01,1.12
2005-10-01,1.032
2006-01-01,0.932
2006-04-01,1.512
2006-07-01,2.548
2006-10-01,2.252
2007-01-01,1.28
2007-04-01,2.144
2007-07-01,1.752
2007-10-01,1.96
2008-01-01,0.988
2008-04-01,2.556
2008-07-01,1.04
2008-10-01,0.344
2009-01-01,0.188
2009-04-01,0.232
2009-07-01,0.42
2009-10-01,0.708
2010-01-01,1.596
2010-04-01,1.02
2010-07-01,1.436
2010-10-01,1.112
2011-01-01,0.76
2011-04-01,1.056
2011-07-01,1.396
2011-10-01,0.92
2012-01-01,0.676
2012-04-01,0.98
2012-07-01,1.808
2012-10-01,1.128
2013-01-01,0.76
2013-04-01,0.624
2013-07-01,1.84
2013-10-01,1.46
2014-01-01,0.304
2014-04-01,1.04
2014-07-01,0.852
2014-10-01,0.86
2015-01-01,1.328
2015-04-01,1.396
2015-07-01,1.324
2015-10-01,1.236
2016-01-01,1.5
2016-04-01,3.048
2016-07-01,1.888
2016-10-01,1.656
2017-01-01,1.268
2017-04-01,1.716
2017-07-01,7.04
2017-10-01,3.804
2018-01-01,2.24
2018-04-01,3.136
2018-07-01,4.096
2018-10-01,4.348
2019-01-01,2.5
2019-04-01,2.744
2019-07-01,3.144
2019-10-01,3.056
2020-01-01,1.892
2020-04-01,3.016
2020-07-01,2.408
2020-10-01,2.744
2021-01-01,3.016
2021-04-01,2.672
2021-07-01,5.624
2021-10-01,4.484
2022-01-01,2.64
2022-04-01,2.848
2022-07-01,5.54
2022-10-01,5.404
2023-01-01,4.024
2023-04-01,2.428
2023-07-01,4.98
2023-10-01,6.996
2024-01-01,3.376
2024-04-01,3.676
2024-07-01,4.348
