,BVISSMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,1.875
1990-04-01,1.337
1990-07-01,0.829
1990-10-01,1.058
1991-01-01,0.777
1991-04-01,1.202
1991-07-01,1.299
1991-10-01,1.261
1992-01-01,1.232
1992-04-01,1.144
1992-07-01,0.938
1992-10-01,1.056
1993-01-01,0.863
1993-04-01,0.791
1993-07-01,0.841
1993-10-01,0.753
1994-01-01,0.78
1994-04-01,0.733
1994-07-01,0.721
1994-10-01,0.602
1995-01-01,0.488
1995-04-01,0.456
1995-07-01,0.448
1995-10-01,0.405
1996-01-01,0.529
1996-04-01,0.589
1996-07-01,0.617
1996-10-01,0.595
1997-01-01,0.675
1997-04-01,0.635
1997-07-01,0.609
1997-10-01,0.643
1998-01-01,0.545
1998-04-01,0.518
1998-07-01,0.519
1998-10-01,0.498
1999-01-01,0.504
1999-04-01,0.589
1999-07-01,0.537
1999-10-01,0.474
2000-01-01,0.581
2000-04-01,0.468
2000-07-01,0.52
2000-10-01,0.572
2001-01-01,0.522
2001-04-01,0.481
2001-07-01,0.723
2001-10-01,0.788
2002-01-01,0.928
2002-04-01,0.932
2002-07-01,0.838
2002-10-01,0.823
2003-01-01,0.832
2003-04-01,0.91
2003-07-01,1.001
2003-10-01,1.116
2004-01-01,0.895
2004-04-01,1.243
2004-07-01,0.976
2004-10-01,1.004
2005-01-01,1.011
2005-04-01,0.974
2005-07-01,0.945
2005-10-01,0.963
2006-01-01,1.142
2006-04-01,0.975
2006-07-01,0.845
2006-10-01,0.782
2007-01-01,0.719
2007-04-01,0.791
2007-07-01,0.804
2007-10-01,0.848
2008-01-01,0.713
2008-04-01,0.703
2008-07-01,0.757
2008-10-01,0.511
2009-01-01,0.345
2009-04-01,0.475
2009-07-01,0.737
2009-10-01,0.988
2010-01-01,1.154
2010-04-01,0.989
2010-07-01,0.674
2010-10-01,0.561
2011-01-01,0.636
2011-04-01,0.594
2011-07-01,0.637
2011-10-01,0.571
2012-01-01,0.559
2012-04-01,0.58
2012-07-01,0.533
2012-10-01,0.535
2013-01-01,0.47
2013-04-01,0.496
2013-07-01,0.542
2013-10-01,0.537
2014-01-01,0.517
2014-04-01,0.556
2014-07-01,0.561
2014-10-01,0.568
2015-01-01,0.625
2015-04-01,0.614
2015-07-01,0.717
2015-10-01,0.803
2016-01-01,0.922
2016-04-01,0.893
2016-07-01,0.881
2016-10-01,0.964
2017-01-01,1.009
2017-04-01,0.891
2017-07-01,0.842
2017-10-01,0.946
2018-01-01,0.696
2018-04-01,0.961
2018-07-01,0.874
2018-10-01,0.691
2019-01-01,0.537
2019-04-01,0.641
2019-07-01,0.646
2019-10-01,0.723
2020-01-01,0.687
2020-04-01,0.659
2020-07-01,0.687
2020-10-01,0.751
2021-01-01,0.991
2021-04-01,0.86
2021-07-01,0.767
2021-10-01,0.836
2022-01-01,0.722
2022-04-01,0.647
2022-07-01,0.838
2022-10-01,0.504
2023-01-01,0.37
2023-04-01,0.428
2023-07-01,0.364
2023-10-01,0.368
2024-01-01,0.33
2024-04-01,0.27
2024-07-01,0.265
