,BVIUA31UR
1992-01-01,14054.0
1993-01-01,13952.0
1994-01-01,13947.0
1995-01-01,13826.0
1996-01-01,13790.0
1997-01-01,13750.0
1998-01-01,13577.0
1999-01-01,13439.0
2000-01-01,13423.0
2001-01-01,13408.0
2002-01-01,13400.0
2003-01-01,13349.0
2004-01-01,13304.0
2005-01-01,13251.0
2006-01-01,13242.0
2007-01-01,13165.0
2008-01-01,13155.0
2009-01-01,13168.0
2010-01-01,13147.0
2011-01-01,13195.0
2012-01-01,13293.0
2013-01-01,13270.0
2014-01-01,13404.0
2015-01-01,13501.0
2016-01-01,13565.0
2017-01-01,13890.0
2018-01-01,14214.0
2019-01-01,14361.0
2020-01-01,15126.0
2021-01-01,15355.0
2022-01-01,15942.0
2023-01-01,16464.0
2024-01-01,
