,ACAPRICNR_Q
1980-01-01,88573.0
1980-04-01,94050.0
1980-07-01,96884.0
1980-10-01,96039.0
1981-01-01,104432.0
1981-04-01,109237.0
1981-07-01,111158.0
1981-10-01,106242.0
1982-01-01,107564.0
1982-04-01,109423.0
1982-07-01,106495.0
1982-10-01,101874.0
1983-01-01,105271.0
1983-04-01,103212.0
1983-07-01,101517.0
1983-10-01,95981.0
1984-01-01,92124.0
1984-04-01,93636.0
1984-07-01,92122.0
1984-10-01,82897.0
1985-01-01,80543.0
1985-04-01,83257.0
1985-07-01,83439.0
1985-10-01,83315.0
1986-01-01,85159.0
1986-04-01,90852.0
1986-07-01,87787.0
1986-10-01,88286.0
1987-01-01,89563.0
1987-04-01,96667.0
1987-07-01,96704.0
1987-10-01,93372.0
1988-01-01,95173.0
1988-04-01,101076.0
1988-07-01,102902.0
1988-10-01,103889.0
1989-01-01,107297.0
1989-04-01,112562.0
1989-07-01,110527.0
1989-10-01,119183.0
1990-01-01,133278.0
1990-04-01,132031.0
1990-07-01,123176.0
1990-10-01,122608.0
1991-01-01,124967.0
1991-04-01,130557.0
1991-07-01,129660.0
1991-10-01,126511.0
1992-01-01,128756.0
1992-04-01,131819.0
1992-07-01,127871.0
1992-10-01,131267.0
1993-01-01,132253.0
1993-04-01,135772.0
1993-07-01,135339.0
1993-10-01,133004.0
1994-01-01,133593.0
1994-04-01,140375.0
1994-07-01,133173.0
1994-10-01,133636.0
1995-01-01,137795.0
1995-04-01,137772.0
1995-07-01,134208.0
1995-10-01,132812.0
1996-01-01,137679.0
1996-04-01,140561.0
1996-07-01,137353.0
1996-10-01,134045.0
1997-01-01,141873.0
1997-04-01,149021.0
1997-07-01,146309.0
1997-10-01,149933.0
1998-01-01,158248.0
1998-04-01,161401.0
1998-07-01,161836.0
1998-10-01,162444.0
1999-01-01,166502.0
1999-04-01,170002.0
1999-07-01,169196.0
1999-10-01,175089.0
2000-01-01,179220.0
2000-04-01,182530.0
2000-07-01,179008.0
2000-10-01,178995.0
2001-01-01,183135.0
2001-04-01,187673.0
2001-07-01,185919.0
2001-10-01,186599.0
2002-01-01,196080.0
2002-04-01,207143.0
2002-07-01,204848.0
2002-10-01,209446.0
2003-01-01,210786.0
2003-04-01,216536.0
2003-07-01,218969.0
2003-10-01,222155.0
2004-01-01,226690.0
2004-04-01,227996.0
2004-07-01,226679.0
2004-10-01,236433.0
2005-01-01,253023.0
2005-04-01,256644.0
2005-07-01,256132.0
2005-10-01,271350.0
2006-01-01,317345.0
2006-04-01,369923.0
2006-07-01,372473.0
2006-10-01,373930.0
2007-01-01,404341.0
2007-04-01,437238.0
2007-07-01,437398.0
2007-10-01,419225.0
2008-01-01,425147.0
2008-04-01,429518.0
2008-07-01,406581.0
2008-10-01,390297.0
2009-01-01,377662.0
2009-04-01,393228.0
2009-07-01,401106.0
2009-10-01,409749.0
2010-01-01,405910.0
2010-04-01,422448.0
2010-07-01,408550.0
2010-10-01,401816.0
2011-01-01,407908.0
2011-04-01,426245.0
2011-07-01,412865.0
2011-10-01,408576.0
2012-01-01,414067.0
2012-04-01,434394.0
2012-07-01,417759.0
2012-10-01,428284.0
2013-01-01,444928.0
2013-04-01,448219.0
2013-07-01,447547.0
2013-10-01,455328.0
2014-01-01,468602.0
2014-04-01,476453.0
2014-07-01,472123.0
2014-10-01,470942.0
2015-01-01,459902.0
2015-04-01,475180.0
2015-07-01,462936.0
2015-10-01,458431.0
2016-01-01,458938.0
2016-04-01,478667.0
2016-07-01,477370.0
2016-10-01,476406.0
2017-01-01,476474.0
2017-04-01,493632.0
2017-07-01,471503.0
2017-10-01,460453.0
2018-01-01,476750.0
2018-04-01,484193.0
2018-07-01,474832.0
2018-10-01,456128.0
2019-01-01,457243.0
2019-04-01,462150.0
2019-07-01,452949.0
2019-10-01,446131.0
2020-01-01,447695.0
2020-04-01,444628.0
2020-07-01,470265.0
2020-10-01,463176.0
2021-01-01,500070.0
2021-04-01,512466.0
2021-07-01,489021.0
2021-10-01,494368.0
2022-01-01,549431.0
2022-04-01,536808.0
2022-07-01,507444.0
2022-10-01,510548.0
2023-01-01,530616.0
2023-04-01,563232.0
2023-07-01,545841.0
2023-10-01,555124.0
2024-01-01,601311.0
2024-04-01,632968.0
2024-07-01,625362.0
2024-10-01,627228.0
