,ACARAT3BCR
1992-01-01,371.0
1993-01-01,358.0
1994-01-01,352.0
1995-01-01,355.0
1996-01-01,367.0
1997-01-01,387.0
1998-01-01,431.0
1999-01-01,453.0
2000-01-01,474.0
2001-01-01,492.0
2002-01-01,513.0
2003-01-01,508.0
2004-01-01,515.0
2005-01-01,524.0
2006-01-01,617.0
2007-01-01,688.0
2008-01-01,775.0
2009-01-01,705.0
2010-01-01,709.0
2011-01-01,705.0
2012-01-01,776.0
2013-01-01,871.0
2014-01-01,906.0
2015-01-01,900.0
2016-01-01,858.0
2017-01-01,825.0
2018-01-01,879.0
2019-01-01,899.0
2020-01-01,883.0
2021-01-01,920.0
2022-01-01,974.0
2023-01-01,1204.0
2024-01-01,1362.0
