,ACASALUNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,2957.0
1988-04-01,5068.0
1988-07-01,4302.0
1988-10-01,3601.0
1989-01-01,3993.0
1989-04-01,4311.0
1989-07-01,4910.0
1989-10-01,5918.0
1990-01-01,5359.0
1990-04-01,3030.0
1990-07-01,4131.0
1990-10-01,3803.0
1991-01-01,4070.0
1991-04-01,4645.0
1991-07-01,4046.0
1991-10-01,3519.0
1992-01-01,4899.0
1992-04-01,4500.0
1992-07-01,4669.0
1992-10-01,4653.0
1993-01-01,3528.0
1993-04-01,5104.0
1993-07-01,4872.0
1993-10-01,4561.0
1994-01-01,4434.0
1994-04-01,4158.0
1994-07-01,3442.0
1994-10-01,3428.0
1995-01-01,2945.0
1995-04-01,3319.0
1995-07-01,3629.0
1995-10-01,3110.0
1996-01-01,3983.0
1996-04-01,4200.0
1996-07-01,4287.0
1996-10-01,5296.0
1997-01-01,5436.0
1997-04-01,4976.0
1997-07-01,5534.0
1997-10-01,5613.0
1998-01-01,4820.0
1998-04-01,5607.0
1998-07-01,5056.0
1998-10-01,5070.0
1999-01-01,4923.0
1999-04-01,5127.0
1999-07-01,5132.0
1999-10-01,5014.0
2000-01-01,4862.0
2000-04-01,4844.0
2000-07-01,5009.0
2000-10-01,5049.0
2001-01-01,5067.0
2001-04-01,5480.0
2001-07-01,5730.0
2001-10-01,6258.0
2002-01-01,6912.0
2002-04-01,6196.0
2002-07-01,6205.0
2002-10-01,6037.0
2003-01-01,5866.0
2003-04-01,5958.0
2003-07-01,6468.0
2003-10-01,6266.0
2004-01-01,6231.0
2004-04-01,6488.0
2004-07-01,6894.0
2004-10-01,7078.0
2005-01-01,6932.0
2005-04-01,7787.0
2005-07-01,8267.0
2005-10-01,8831.0
2006-01-01,8892.0
2006-04-01,8458.0
2006-07-01,7433.0
2006-10-01,8265.0
2007-01-01,9924.0
2007-04-01,8356.0
2007-07-01,7171.0
2007-10-01,6826.0
2008-01-01,6631.0
2008-04-01,5969.0
2008-07-01,6505.0
2008-10-01,4283.0
2009-01-01,4177.0
2009-04-01,6560.0
2009-07-01,7426.0
2009-10-01,6939.0
2010-01-01,6010.0
2010-04-01,5233.0
2010-07-01,4752.0
2010-10-01,5269.0
2011-01-01,5817.0
2011-04-01,5466.0
2011-07-01,5600.0
2011-10-01,5981.0
2012-01-01,6492.0
2012-04-01,7057.0
2012-07-01,6762.0
2012-10-01,6875.0
2013-01-01,7191.0
2013-04-01,7393.0
2013-07-01,8045.0
2013-10-01,7925.0
2014-01-01,8482.0
2014-04-01,8709.0
2014-07-01,8752.0
2014-10-01,8351.0
2015-01-01,5864.0
2015-04-01,6497.0
2015-07-01,6318.0
2015-10-01,5910.0
2016-01-01,5272.0
2016-04-01,5808.0
2016-07-01,5890.0
2016-10-01,6180.0
2017-01-01,6153.0
2017-04-01,6155.0
2017-07-01,5797.0
2017-10-01,6372.0
2018-01-01,5372.0
2018-04-01,5097.0
2018-07-01,5383.0
2018-10-01,5276.0
2019-01-01,4809.0
2019-04-01,5410.0
2019-07-01,5759.0
2019-10-01,5535.0
2020-01-01,4812.0
2020-04-01,3493.0
2020-07-01,6606.0
2020-10-01,7355.0
2021-01-01,8678.0
2021-04-01,9791.0
2021-07-01,8674.0
2021-10-01,10215.0
2022-01-01,13400.0
2022-04-01,9643.0
2022-07-01,7932.0
2022-10-01,7719.0
2023-01-01,7369.0
2023-04-01,9032.0
2023-07-01,9796.0
2023-10-01,8603.0
2024-01-01,9052.0
2024-04-01,8643.0
2024-07-01,8363.0
2024-10-01,8517.0
