,ACASALUNR_Q
1980-01-01,2886.0
1980-04-01,2590.0
1980-07-01,3298.0
1980-10-01,2825.0
1981-01-01,3296.0
1981-04-01,3690.0
1981-07-01,2552.0
1981-10-01,2237.0
1982-01-01,2258.0
1982-04-01,1452.0
1982-07-01,1427.0
1982-10-01,1715.0
1983-01-01,1609.0
1983-04-01,1776.0
1983-07-01,1806.0
1983-10-01,1386.0
1984-01-01,2294.0
1984-04-01,2205.0
1984-07-01,2122.0
1984-10-01,2079.0
1985-01-01,3025.0
1985-04-01,3870.0
1985-07-01,3630.0
1985-10-01,3091.0
1986-01-01,2889.0
1986-04-01,2948.0
1986-07-01,2956.0
1986-10-01,2322.0
1987-01-01,3486.0
1987-04-01,4295.0
1987-07-01,3515.0
1987-10-01,2592.0
1988-01-01,3067.0
1988-04-01,4972.0
1988-07-01,4035.0
1988-10-01,3018.0
1989-01-01,4208.0
1989-04-01,4284.0
1989-07-01,4574.0
1989-10-01,4941.0
1990-01-01,5428.0
1990-04-01,3076.0
1990-07-01,3846.0
1990-10-01,3229.0
1991-01-01,4083.0
1991-04-01,4608.0
1991-07-01,3909.0
1991-10-01,3090.0
1992-01-01,5313.0
1992-04-01,4608.0
1992-07-01,4533.0
1992-10-01,3549.0
1993-01-01,3758.0
1993-04-01,5343.0
1993-07-01,4645.0
1993-10-01,3613.0
1994-01-01,4373.0
1994-04-01,3984.0
1994-07-01,3476.0
1994-10-01,2935.0
1995-01-01,2780.0
1995-04-01,3782.0
1995-07-01,3652.0
1995-10-01,2733.0
1996-01-01,3782.0
1996-04-01,4919.0
1996-07-01,4563.0
1996-10-01,4703.0
1997-01-01,4979.0
1997-04-01,6106.0
1997-07-01,5848.0
1997-10-01,4684.0
1998-01-01,4453.0
1998-04-01,6582.0
1998-07-01,5308.0
1998-10-01,4100.0
1999-01-01,4543.0
1999-04-01,6208.0
1999-07-01,5153.0
1999-10-01,4130.0
2000-01-01,4753.0
2000-04-01,5738.0
2000-07-01,5144.0
2000-10-01,4131.0
2001-01-01,4946.0
2001-04-01,6538.0
2001-07-01,5909.0
2001-10-01,5142.0
2002-01-01,6514.0
2002-04-01,7481.0
2002-07-01,6394.0
2002-10-01,4961.0
2003-01-01,5625.0
2003-04-01,7173.0
2003-07-01,6632.0
2003-10-01,5129.0
2004-01-01,6281.0
2004-04-01,7798.0
2004-07-01,6911.0
2004-10-01,5702.0
2005-01-01,6850.0
2005-04-01,9595.0
2005-07-01,8270.0
2005-10-01,7101.0
2006-01-01,8941.0
2006-04-01,10366.0
2006-07-01,7294.0
2006-10-01,6446.0
2007-01-01,9880.0
2007-04-01,10098.0
2007-07-01,6956.0
2007-10-01,5343.0
2008-01-01,6393.0
2008-04-01,7238.0
2008-07-01,6330.0
2008-10-01,3427.0
2009-01-01,4121.0
2009-04-01,7956.0
2009-07-01,7452.0
2009-10-01,5572.0
2010-01-01,5793.0
2010-04-01,6428.0
2010-07-01,4859.0
2010-10-01,4184.0
2011-01-01,5536.0
2011-04-01,6849.0
2011-07-01,5803.0
2011-10-01,4676.0
2012-01-01,6159.0
2012-04-01,8725.0
2012-07-01,6917.0
2012-10-01,5385.0
2013-01-01,6384.0
2013-04-01,9413.0
2013-07-01,8480.0
2013-10-01,6278.0
2014-01-01,7458.0
2014-04-01,10979.0
2014-07-01,9214.0
2014-10-01,6644.0
2015-01-01,5077.0
2015-04-01,8171.0
2015-07-01,6695.0
2015-10-01,4648.0
2016-01-01,4505.0
2016-04-01,7453.0
2016-07-01,6294.0
2016-10-01,4897.0
2017-01-01,5329.0
2017-04-01,7882.0
2017-07-01,6222.0
2017-10-01,5043.0
2018-01-01,4485.0
2018-04-01,6657.0
2018-07-01,5754.0
2018-10-01,4232.0
2019-01-01,4099.0
2019-04-01,6836.0
2019-07-01,6107.0
2019-10-01,4471.0
2020-01-01,4276.0
2020-04-01,4688.0
2020-07-01,7271.0
2020-10-01,6030.0
2021-01-01,8081.0
2021-04-01,12424.0
2021-07-01,8950.0
2021-10-01,7904.0
2022-01-01,12151.0
2022-04-01,12312.0
2022-07-01,8206.0
2022-10-01,6024.0
2023-01-01,6795.0
2023-04-01,11455.0
2023-07-01,9869.0
2023-10-01,6680.0
2024-01-01,8118.0
2024-04-01,11157.0
2024-07-01,8528.0
2024-10-01,6772.0
