,ACASNLRVA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,46.01
1988-04-01,76.64
1988-07-01,65.26
1988-10-01,55.91
1989-01-01,68.77
1989-04-01,61.27
1989-07-01,70.72
1989-10-01,79.31
1990-01-01,57.92
1990-04-01,35.53
1990-07-01,47.79
1990-10-01,39.0
1991-01-01,50.41
1991-04-01,54.28
1991-07-01,45.41
1991-10-01,40.6
1992-01-01,51.13
1992-04-01,52.41
1992-07-01,50.8
1992-10-01,51.18
1993-01-01,39.42
1993-04-01,55.99
1993-07-01,54.16
1993-10-01,49.49
1994-01-01,49.85
1994-04-01,55.35
1994-07-01,49.09
1994-10-01,48.71
1995-01-01,42.28
1995-04-01,48.36
1995-07-01,52.56
1995-10-01,48.1
1996-01-01,55.64
1996-04-01,60.83
1996-07-01,63.67
1996-10-01,74.47
1997-01-01,76.91
1997-04-01,74.04
1997-07-01,89.47
1997-10-01,85.9
1998-01-01,76.53
1998-04-01,75.98
1998-07-01,61.53
1998-10-01,63.91
1999-01-01,64.85
1999-04-01,66.89
1999-07-01,69.67
1999-10-01,67.41
2000-01-01,59.6
2000-04-01,58.66
2000-07-01,60.05
2000-10-01,56.85
2001-01-01,56.82
2001-04-01,64.73
2001-07-01,69.56
2001-10-01,70.81
2002-01-01,79.02
2002-04-01,72.48
2002-07-01,69.25
2002-10-01,62.15
2003-01-01,60.67
2003-04-01,57.75
2003-07-01,61.28
2003-10-01,60.23
2004-01-01,56.34
2004-04-01,61.39
2004-07-01,66.69
2004-10-01,66.28
2005-01-01,63.86
2005-04-01,75.3
2005-07-01,88.88
2005-10-01,89.02
2006-01-01,90.68
2006-04-01,82.25
2006-07-01,57.32
2006-10-01,67.42
2007-01-01,80.23
2007-04-01,56.47
2007-07-01,49.08
2007-10-01,51.0
2008-01-01,39.97
2008-04-01,39.19
2008-07-01,48.87
2008-10-01,34.52
2009-01-01,38.27
2009-04-01,67.13
2009-07-01,68.59
2009-10-01,60.38
2010-01-01,47.09
2010-04-01,39.82
2010-07-01,43.64
2010-10-01,47.65
2011-01-01,49.65
2011-04-01,49.55
2011-07-01,47.68
2011-10-01,53.68
2012-01-01,56.52
2012-04-01,62.19
2012-07-01,63.59
2012-10-01,64.72
2013-01-01,65.23
2013-04-01,65.4
2013-07-01,71.81
2013-10-01,70.85
2014-01-01,76.04
2014-04-01,63.53
2014-07-01,68.13
2014-10-01,67.68
2015-01-01,48.6
2015-04-01,66.39
2015-07-01,56.1
2015-10-01,49.36
2016-01-01,44.88
2016-04-01,58.07
2016-07-01,55.95
2016-10-01,57.38
2017-01-01,56.94
2017-04-01,53.02
2017-07-01,50.17
2017-10-01,54.36
2018-01-01,49.36
2018-04-01,40.42
2018-07-01,45.96
2018-10-01,47.95
2019-01-01,45.6
2019-04-01,56.02
2019-07-01,54.7
2019-10-01,50.42
2020-01-01,48.25
2020-04-01,57.88
2020-07-01,60.59
2020-10-01,67.22
2021-01-01,68.19
2021-04-01,70.3
2021-07-01,76.88
2021-10-01,90.82
2022-01-01,82.48
2022-04-01,72.05
2022-07-01,74.26
2022-10-01,75.11
2023-01-01,73.12
2023-04-01,88.51
2023-07-01,84.05
2023-10-01,71.63
2024-01-01,85.94
2024-04-01,76.02
2024-07-01,63.32
2024-10-01,66.71
