,ACAUA32UR
1992-01-01,21431.0
1993-01-01,20990.0
1994-01-01,22021.0
1995-01-01,20936.0
1996-01-01,20350.0
1997-01-01,20167.0
1998-01-01,19641.0
1999-01-01,19536.0
2000-01-01,19235.0
2001-01-01,19043.0
2002-01-01,18368.0
2003-01-01,18413.0
2004-01-01,17861.0
2005-01-01,17313.0
2006-01-01,16959.0
2007-01-01,15928.0
2008-01-01,15495.0
2009-01-01,15281.0
2010-01-01,15095.0
2011-01-01,14796.0
2012-01-01,14601.0
2013-01-01,14435.0
2014-01-01,14556.0
2015-01-01,15211.0
2016-01-01,15975.0
2017-01-01,16972.0
2018-01-01,17712.0
2019-01-01,18291.0
2020-01-01,19010.0
2021-01-01,20203.0
2022-01-01,22075.0
2023-01-01,23248.0
2024-01-01,26167.0
