,ACAUA3BUR
1992-01-01,2282.0
1993-01-01,2295.0
1994-01-01,2415.0
1995-01-01,2372.0
1996-01-01,2355.0
1997-01-01,2374.0
1998-01-01,2329.0
1999-01-01,2304.0
2000-01-01,2288.0
2001-01-01,2224.0
2002-01-01,2054.0
2003-01-01,2044.0
2004-01-01,1932.0
2005-01-01,1871.0
2006-01-01,1802.0
2007-01-01,1683.0
2008-01-01,1495.0
2009-01-01,1440.0
2010-01-01,1369.0
2011-01-01,1367.0
2012-01-01,1275.0
2013-01-01,1220.0
2014-01-01,1287.0
2015-01-01,1289.0
2016-01-01,1309.0
2017-01-01,1346.0
2018-01-01,1434.0
2019-01-01,1473.0
2020-01-01,1461.0
2021-01-01,1596.0
2022-01-01,1648.0
2023-01-01,1816.0
2024-01-01,1932.0
