,AEDNLIUNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,4439.0
1988-04-01,3692.0
1988-07-01,3876.0
1988-10-01,3842.0
1989-01-01,3878.0
1989-04-01,3853.0
1989-07-01,4073.0
1989-10-01,4060.0
1990-01-01,3903.0
1990-04-01,5774.0
1990-07-01,5080.0
1990-10-01,5768.0
1991-01-01,5273.0
1991-04-01,5192.0
1991-07-01,5178.0
1991-10-01,5329.0
1992-01-01,5942.0
1992-04-01,5250.0
1992-07-01,5483.0
1992-10-01,5556.0
1993-01-01,5843.0
1993-04-01,5496.0
1993-07-01,5764.0
1993-10-01,6143.0
1994-01-01,5456.0
1994-04-01,5276.0
1994-07-01,5199.0
1994-10-01,5181.0
1995-01-01,5333.0
1995-04-01,5313.0
1995-07-01,5421.0
1995-10-01,5637.0
1996-01-01,6038.0
1996-04-01,5896.0
1996-07-01,5615.0
1996-10-01,5585.0
1997-01-01,6039.0
1997-04-01,5690.0
1997-07-01,5354.0
1997-10-01,5391.0
1998-01-01,5153.0
1998-04-01,5183.0
1998-07-01,4960.0
1998-10-01,4889.0
1999-01-01,4994.0
1999-04-01,4981.0
1999-07-01,4947.0
1999-10-01,4796.0
2000-01-01,5246.0
2000-04-01,4930.0
2000-07-01,5160.0
2000-10-01,5191.0
2001-01-01,5612.0
2001-04-01,4734.0
2001-07-01,4353.0
2001-10-01,5140.0
2002-01-01,4596.0
2002-04-01,4726.0
2002-07-01,5155.0
2002-10-01,5812.0
2003-01-01,5563.0
2003-04-01,5857.0
2003-07-01,6749.0
2003-10-01,6531.0
2004-01-01,6972.0
2004-04-01,6575.0
2004-07-01,6285.0
2004-10-01,6436.0
2005-01-01,7201.0
2005-04-01,7174.0
2005-07-01,6532.0
2005-10-01,6819.0
2006-01-01,6061.0
2006-04-01,5821.0
2006-07-01,7270.0
2006-10-01,7895.0
2007-01-01,7720.0
2007-04-01,11798.0
2007-07-01,12999.0
2007-10-01,10594.0
2008-01-01,11809.0
2008-04-01,11413.0
2008-07-01,9837.0
2008-10-01,9461.0
2009-01-01,8508.0
2009-04-01,7686.0
2009-07-01,8419.0
2009-10-01,8379.0
2010-01-01,9105.0
2010-04-01,9505.0
2010-07-01,8493.0
2010-10-01,8543.0
2011-01-01,8475.0
2011-04-01,8650.0
2011-07-01,8905.0
2011-10-01,8582.0
2012-01-01,9122.0
2012-04-01,8424.0
2012-07-01,8176.0
2012-10-01,8349.0
2013-01-01,7885.0
2013-04-01,8059.0
2013-07-01,8107.0
2013-10-01,8222.0
2014-01-01,7948.0
2014-04-01,9077.0
2014-07-01,8383.0
2014-10-01,8745.0
2015-01-01,9720.0
2015-04-01,9357.0
2015-07-01,10154.0
2015-10-01,9868.0
2016-01-01,10082.0
2016-04-01,8860.0
2016-07-01,9461.0
2016-10-01,9549.0
2017-01-01,9380.0
2017-04-01,9726.0
2017-07-01,10169.0
2017-10-01,10107.0
2018-01-01,10185.0
2018-04-01,10968.0
2018-07-01,10161.0
2018-10-01,10147.0
2019-01-01,9678.0
2019-04-01,9106.0
2019-07-01,9552.0
2019-10-01,9853.0
2020-01-01,9005.0
2020-04-01,6433.0
2020-07-01,10074.0
2020-10-01,10118.0
2021-01-01,10846.0
2021-04-01,11529.0
2021-07-01,10326.0
2021-10-01,10263.0
2022-01-01,10951.0
2022-04-01,12520.0
2022-07-01,10603.0
2022-10-01,10071.0
2023-01-01,9518.0
2023-04-01,9032.0
2023-07-01,10188.0
2023-10-01,10576.0
2024-01-01,9937.0
2024-04-01,10090.0
2024-07-01,10755.0
2024-10-01,10540.0
