,AEDPA32RR
1992-01-01,3.2
1993-01-01,0.4
1994-01-01,-2.1
1995-01-01,-1.2
1996-01-01,-93.0
1997-01-01,2.1
1998-01-01,5.1
1999-01-01,4.3
2000-01-01,3.2
2001-01-01,9.7
2002-01-01,5.9
2003-01-01,2.0
2004-01-01,1.4
2005-01-01,0.5
2006-01-01,9.9
2007-01-01,18.8
2008-01-01,9.2
2009-01-01,-0.9
2010-01-01,-93.0
2011-01-01,0.9
2012-01-01,3.8
2013-01-01,5.6
2014-01-01,6.1
2015-01-01,2.2
2016-01-01,-3.5
2017-01-01,-1.3
2018-01-01,1.3
2019-01-01,0.9
2020-01-01,-93.0
2021-01-01,-0.5
2022-01-01,1.6
2023-01-01,6.4
2024-01-01,7.0
