,AEDPRICNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,77339.0
1988-04-01,80961.0
1988-07-01,83975.0
1988-10-01,86002.0
1989-01-01,83836.0
1989-04-01,86918.0
1989-07-01,89101.0
1989-10-01,94987.0
1990-01-01,97711.0
1990-04-01,100853.0
1990-07-01,101717.0
1990-10-01,104257.0
1991-01-01,102685.0
1991-04-01,107198.0
1991-07-01,108084.0
1991-10-01,110225.0
1992-01-01,106516.0
1992-04-01,107839.0
1992-07-01,111202.0
1992-10-01,113249.0
1993-01-01,109226.0
1993-04-01,112701.0
1993-07-01,112558.0
1993-10-01,112618.0
1994-01-01,115458.0
1994-04-01,112134.0
1994-07-01,109954.0
1994-10-01,114104.0
1995-01-01,107899.0
1995-04-01,110697.0
1995-07-01,113072.0
1995-10-01,109319.0
1996-01-01,109654.0
1996-04-01,109575.0
1996-07-01,108371.0
1996-10-01,108606.0
1997-01-01,110991.0
1997-04-01,111249.0
1997-07-01,111150.0
1997-10-01,112793.0
1998-01-01,112960.0
1998-04-01,114631.0
1998-07-01,114358.0
1998-10-01,116148.0
1999-01-01,117209.0
1999-04-01,118439.0
1999-07-01,118730.0
1999-10-01,121007.0
2000-01-01,122953.0
2000-04-01,122394.0
2000-07-01,124503.0
2000-10-01,126494.0
2001-01-01,127916.0
2001-04-01,130809.0
2001-07-01,134804.0
2001-10-01,139317.0
2002-01-01,144869.0
2002-04-01,147746.0
2002-07-01,151838.0
2002-10-01,155504.0
2003-01-01,158797.0
2003-04-01,163337.0
2003-07-01,166126.0
2003-10-01,172167.0
2004-01-01,176186.0
2004-04-01,176550.0
2004-07-01,180371.0
2004-10-01,183427.0
2005-01-01,191780.0
2005-04-01,196378.0
2005-07-01,197750.0
2005-10-01,210572.0
2006-01-01,218546.0
2006-04-01,243468.0
2006-07-01,275636.0
2006-10-01,299545.0
2007-01-01,329305.0
2007-04-01,356498.0
2007-07-01,358187.0
2007-10-01,349789.0
2008-01-01,353429.0
2008-04-01,342038.0
2008-07-01,335343.0
2008-10-01,330332.0
2009-01-01,324151.0
2009-04-01,321838.0
2009-07-01,331108.0
2009-10-01,336938.0
2010-01-01,337498.0
2010-04-01,339507.0
2010-07-01,331872.0
2010-10-01,330846.0
2011-01-01,329317.0
2011-04-01,329130.0
2011-07-01,335217.0
2011-10-01,334835.0
2012-01-01,342318.0
2012-04-01,343533.0
2012-07-01,339844.0
2012-10-01,345065.0
2013-01-01,351516.0
2013-04-01,351047.0
2013-07-01,355391.0
2013-10-01,355059.0
2014-01-01,365940.0
2014-04-01,368517.0
2014-07-01,371205.0
2014-10-01,380120.0
2015-01-01,376219.0
2015-04-01,375508.0
2015-07-01,375747.0
2015-10-01,380115.0
2016-01-01,367449.0
2016-04-01,375049.0
2016-07-01,379186.0
2016-10-01,376458.0
2017-01-01,374687.0
2017-04-01,380393.0
2017-07-01,378297.0
2017-10-01,373882.0
2018-01-01,374469.0
2018-04-01,373525.0
2018-07-01,370822.0
2018-10-01,370058.0
2019-01-01,356791.0
2019-04-01,361337.0
2019-07-01,363204.0
2019-10-01,365298.0
2020-01-01,356939.0
2020-04-01,350769.0
2020-07-01,376761.0
2020-10-01,387490.0
2021-01-01,390658.0
2021-04-01,393483.0
2021-07-01,387805.0
2021-10-01,395146.0
2022-01-01,413453.0
2022-04-01,406206.0
2022-07-01,388857.0
2022-10-01,382176.0
2023-01-01,370619.0
2023-04-01,392068.0
2023-07-01,389300.0
2023-10-01,388646.0
2024-01-01,407440.0
2024-04-01,415098.0
2024-07-01,428570.0
2024-10-01,440015.0
