,AEDRAT31CR
1992-01-01,442.0
1993-01-01,441.0
1994-01-01,432.0
1995-01-01,423.0
1996-01-01,421.0
1997-01-01,429.0
1998-01-01,450.0
1999-01-01,468.0
2000-01-01,489.0
2001-01-01,537.0
2002-01-01,575.0
2003-01-01,588.0
2004-01-01,597.0
2005-01-01,608.0
2006-01-01,666.0
2007-01-01,784.0
2008-01-01,847.0
2009-01-01,841.0
2010-01-01,843.0
2011-01-01,857.0
2012-01-01,882.0
2013-01-01,934.0
2014-01-01,1001.0
2015-01-01,1029.0
2016-01-01,1000.0
2017-01-01,989.0
2018-01-01,1017.0
2019-01-01,1028.0
2020-01-01,1031.0
2021-01-01,1038.0
2022-01-01,1071.0
2023-01-01,1134.0
2024-01-01,1237.0
