,AEDSALUNR_Q
1980-01-01,1861.0
1980-04-01,1860.0
1980-07-01,2504.0
1980-10-01,1961.0
1981-01-01,1781.0
1981-04-01,2412.0
1981-07-01,1873.0
1981-10-01,1510.0
1982-01-01,1276.0
1982-04-01,1123.0
1982-07-01,1221.0
1982-10-01,1379.0
1983-01-01,1260.0
1983-04-01,1600.0
1983-07-01,1633.0
1983-10-01,1239.0
1984-01-01,1498.0
1984-04-01,1641.0
1984-07-01,1441.0
1984-10-01,1490.0
1985-01-01,1995.0
1985-04-01,2524.0
1985-07-01,2493.0
1985-10-01,1927.0
1986-01-01,1811.0
1986-04-01,2213.0
1986-07-01,2439.0
1986-10-01,1565.0
1987-01-01,1941.0
1987-04-01,2605.0
1987-07-01,2453.0
1987-10-01,1700.0
1988-01-01,1988.0
1988-04-01,2686.0
1988-07-01,2621.0
1988-10-01,1943.0
1989-01-01,2266.0
1989-04-01,2990.0
1989-07-01,3137.0
1989-10-01,2764.0
1990-01-01,2846.0
1990-04-01,2159.0
1990-07-01,2658.0
1990-10-01,2506.0
1991-01-01,2585.0
1991-04-01,3493.0
1991-07-01,3047.0
1991-10-01,2510.0
1992-01-01,3196.0
1992-04-01,3528.0
1992-07-01,3444.0
1992-10-01,2603.0
1993-01-01,2458.0
1993-04-01,3511.0
1993-07-01,3252.0
1993-10-01,2265.0
1994-01-01,2203.0
1994-04-01,3146.0
1994-07-01,2489.0
1994-10-01,1928.0
1995-01-01,1818.0
1995-04-01,2660.0
1995-07-01,2626.0
1995-10-01,1800.0
1996-01-01,2320.0
1996-04-01,3637.0
1996-07-01,2957.0
1996-10-01,2652.0
1997-01-01,2802.0
1997-04-01,3804.0
1997-07-01,3597.0
1997-10-01,2814.0
1998-01-01,2991.0
1998-04-01,4347.0
1998-07-01,3781.0
1998-10-01,2608.0
1999-01-01,2798.0
1999-04-01,4372.0
1999-07-01,3800.0
1999-10-01,2624.0
2000-01-01,3215.0
2000-04-01,4325.0
2000-07-01,3806.0
2000-10-01,2843.0
2001-01-01,3378.0
2001-04-01,4947.0
2001-07-01,4268.0
2001-10-01,3486.0
2002-01-01,3645.0
2002-04-01,5029.0
2002-07-01,4178.0
2002-10-01,3071.0
2003-01-01,3428.0
2003-04-01,4928.0
2003-07-01,4605.0
2003-10-01,3316.0
2004-01-01,3830.0
2004-04-01,5740.0
2004-07-01,4679.0
2004-10-01,3403.0
2005-01-01,3866.0
2005-04-01,6378.0
2005-07-01,5428.0
2005-10-01,3883.0
2006-01-01,5013.0
2006-04-01,7195.0
2006-07-01,6194.0
2006-10-01,4701.0
2007-01-01,5954.0
2007-04-01,7609.0
2007-07-01,4059.0
2007-10-01,3601.0
2008-01-01,4195.0
2008-04-01,5757.0
2008-07-01,5335.0
2008-10-01,2874.0
2009-01-01,3289.0
2009-04-01,6877.0
2009-07-01,6019.0
2009-10-01,3919.0
2010-01-01,3992.0
2010-04-01,5559.0
2010-07-01,4200.0
2010-10-01,3327.0
2011-01-01,3659.0
2011-04-01,5775.0
2011-07-01,4946.0
2011-10-01,3540.0
2012-01-01,4057.0
2012-04-01,6426.0
2012-07-01,5011.0
2012-10-01,3649.0
2013-01-01,3995.0
2013-04-01,6456.0
2013-07-01,6038.0
2013-10-01,4076.0
2014-01-01,4357.0
2014-04-01,7634.0
2014-07-01,6561.0
2014-10-01,4325.0
2015-01-01,3855.0
2015-04-01,6949.0
2015-07-01,6182.0
2015-10-01,3859.0
2016-01-01,3542.0
2016-04-01,6495.0
2016-07-01,5541.0
2016-10-01,3765.0
2017-01-01,3949.0
2017-04-01,6135.0
2017-07-01,5396.0
2017-10-01,3977.0
2018-01-01,3739.0
2018-04-01,5909.0
2018-07-01,5299.0
2018-10-01,3465.0
2019-01-01,3289.0
2019-04-01,6074.0
2019-07-01,5494.0
2019-10-01,3586.0
2020-01-01,3322.0
2020-04-01,4483.0
2020-07-01,6785.0
2020-10-01,4764.0
2021-01-01,5930.0
2021-04-01,9495.0
2021-07-01,7003.0
2021-10-01,5654.0
2022-01-01,7458.0
2022-04-01,9318.0
2022-07-01,6110.0
2022-10-01,4119.0
2023-01-01,4454.0
2023-04-01,7981.0
2023-07-01,7245.0
2023-10-01,5046.0
2024-01-01,6283.0
2024-04-01,9870.0
2024-07-01,8441.0
2024-10-01,6260.0
