,AEDSTMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,8.039
1990-04-01,7.777
1990-07-01,4.918
1990-10-01,3.126
1991-01-01,2.854
1991-04-01,3.494
1991-07-01,5.026
1991-10-01,5.626
1992-01-01,5.079
1992-04-01,6.07
1992-07-01,6.997
1992-10-01,8.784
1993-01-01,6.774
1993-04-01,7.555
1993-07-01,7.668
1993-10-01,5.011
1994-01-01,5.533
1994-04-01,5.843
1994-07-01,4.827
1994-10-01,3.807
1995-01-01,4.018
1995-04-01,2.735
1995-07-01,2.726
1995-10-01,2.908
1996-01-01,2.708
1996-04-01,3.465
1996-07-01,4.051
1996-10-01,3.993
1997-01-01,4.436
1997-04-01,5.136
1997-07-01,4.882
1997-10-01,5.441
1998-01-01,5.554
1998-04-01,6.028
1998-07-01,6.259
1998-10-01,6.117
1999-01-01,5.828
1999-04-01,5.73
1999-07-01,7.686
1999-10-01,7.293
2000-01-01,4.947
2000-04-01,7.734
2000-07-01,6.575
2000-10-01,5.669
2001-01-01,6.083
2001-04-01,7.841
2001-07-01,8.071
2001-10-01,9.231
2002-01-01,11.881
2002-04-01,13.205
2002-07-01,10.108
2002-10-01,15.085
2003-01-01,10.126
2003-04-01,12.359
2003-07-01,15.675
2003-10-01,11.57
2004-01-01,10.276
2004-04-01,10.264
2004-07-01,11.282
2004-10-01,14.17
2005-01-01,10.522
2005-04-01,15.734
2005-07-01,12.824
2005-10-01,13.981
2006-01-01,15.486
2006-04-01,15.198
2006-07-01,14.988
2006-10-01,14.478
2007-01-01,15.599
2007-04-01,15.35
2007-07-01,16.972
2007-10-01,11.435
2008-01-01,10.272
2008-04-01,6.868
2008-07-01,4.705
2008-10-01,4.842
2009-01-01,3.651
2009-04-01,4.241
2009-07-01,6.223
2009-10-01,10.723
2010-01-01,10.345
2010-04-01,12.602
2010-07-01,9.161
2010-10-01,8.225
2011-01-01,7.48
2011-04-01,9.304
2011-07-01,9.728
2011-10-01,10.559
2012-01-01,10.39
2012-04-01,12.351
2012-07-01,13.581
2012-10-01,15.036
2013-01-01,12.876
2013-04-01,19.828
2013-07-01,11.236
2013-10-01,14.774
2014-01-01,10.897
2014-04-01,15.195
2014-07-01,13.938
2014-10-01,15.36
2015-01-01,23.675
2015-04-01,14.779
2015-07-01,15.868
2015-10-01,14.147
2016-01-01,9.537
2016-04-01,10.834
2016-07-01,8.33
2016-10-01,11.508
2017-01-01,12.104
2017-04-01,11.421
2017-07-01,13.273
2017-10-01,9.85
2018-01-01,10.202
2018-04-01,9.936
2018-07-01,11.594
2018-10-01,8.472
2019-01-01,8.498
2019-04-01,10.473
2019-07-01,13.657
2019-10-01,9.991
2020-01-01,11.422
2020-04-01,9.411
2020-07-01,10.103
2020-10-01,15.578
2021-01-01,11.894
2021-04-01,12.238
2021-07-01,12.03
2021-10-01,14.232
2022-01-01,12.447
2022-04-01,16.912
2022-07-01,14.807
2022-10-01,13.884
2023-01-01,10.407
2023-04-01,10.439
2023-07-01,15.276
2023-10-01,16.526
2024-01-01,16.043
2024-04-01,18.562
2024-07-01,18.444
2024-10-01,20.349
