,AEDUA33UR
1992-01-01,3362.0
1993-01-01,3338.0
1994-01-01,3288.0
1995-01-01,3259.0
1996-01-01,3225.0
1997-01-01,3277.0
1998-01-01,3319.0
1999-01-01,3288.0
2000-01-01,3306.0
2001-01-01,3281.0
2002-01-01,3241.0
2003-01-01,3226.0
2004-01-01,3075.0
2005-01-01,3093.0
2006-01-01,2991.0
2007-01-01,2788.0
2008-01-01,2743.0
2009-01-01,2700.0
2010-01-01,2664.0
2011-01-01,2624.0
2012-01-01,2656.0
2013-01-01,2668.0
2014-01-01,2615.0
2015-01-01,2677.0
2016-01-01,2822.0
2017-01-01,2939.0
2018-01-01,2934.0
2019-01-01,2990.0
2020-01-01,3052.0
2021-01-01,3311.0
2022-01-01,3609.0
2023-01-01,3683.0
2024-01-01,4217.0
