,AEDUA3TUR
1992-01-01,67869.0
1993-01-01,66706.0
1994-01-01,65374.0
1995-01-01,64748.0
1996-01-01,64547.0
1997-01-01,64255.0
1998-01-01,64181.0
1999-01-01,64354.0
2000-01-01,64501.0
2001-01-01,64217.0
2002-01-01,65122.0
2003-01-01,66332.0
2004-01-01,66033.0
2005-01-01,66057.0
2006-01-01,65524.0
2007-01-01,61824.0
2008-01-01,59373.0
2009-01-01,59040.0
2010-01-01,58557.0
2011-01-01,57941.0
2012-01-01,57588.0
2013-01-01,58503.0
2014-01-01,60032.0
2015-01-01,62356.0
2016-01-01,65033.0
2017-01-01,67432.0
2018-01-01,69070.0
2019-01-01,69883.0
2020-01-01,72061.0
2021-01-01,75771.0
2022-01-01,78791.0
2023-01-01,81705.0
2024-01-01,85795.0
