,AEDVA31RR
1992-01-01,4.1
1993-01-01,6.9
1994-01-01,8.9
1995-01-01,10.2
1996-01-01,7.5
1997-01-01,4.9
1998-01-01,1.9
1999-01-01,2.0
2000-01-01,1.2
2001-01-01,0.8
2002-01-01,1.7
2003-01-01,3.2
2004-01-01,5.2
2005-01-01,4.1
2006-01-01,1.2
2007-01-01,1.5
2008-01-01,2.2
2009-01-01,4.5
2010-01-01,4.1
2011-01-01,3.5
2012-01-01,2.0
2013-01-01,1.6
2014-01-01,1.8
2015-01-01,3.8
2016-01-01,6.8
2017-01-01,7.0
2018-01-01,5.3
2019-01-01,4.9
2020-01-01,6.9
2021-01-01,7.6
2022-01-01,5.2
2023-01-01,3.0
2024-01-01,3.4
