,AEDVA3TRR
1992-01-01,4.0
1993-01-01,6.5
1994-01-01,8.9
1995-01-01,10.2
1996-01-01,7.6
1997-01-01,4.6
1998-01-01,1.9
1999-01-01,2.2
2000-01-01,1.4
2001-01-01,0.9
2002-01-01,1.7
2003-01-01,3.4
2004-01-01,5.3
2005-01-01,4.5
2006-01-01,1.2
2007-01-01,1.5
2008-01-01,2.4
2009-01-01,4.5
2010-01-01,4.2
2011-01-01,3.3
2012-01-01,1.7
2013-01-01,1.4
2014-01-01,1.7
2015-01-01,4.2
2016-01-01,7.1
2017-01-01,7.0
2018-01-01,5.3
2019-01-01,4.9
2020-01-01,7.2
2021-01-01,7.3
2022-01-01,4.3
2023-01-01,2.4
2024-01-01,3.1
