,KRENLIUNR_Q
1980-01-01,1673.0
1980-04-01,1872.0
1980-07-01,1830.0
1980-10-01,1265.0
1981-01-01,1563.0
1981-04-01,1635.0
1981-07-01,1744.0
1981-10-01,1386.0
1982-01-01,1745.0
1982-04-01,2000.0
1982-07-01,1995.0
1982-10-01,1349.0
1983-01-01,1705.0
1983-04-01,1779.0
1983-07-01,1548.0
1983-10-01,1017.0
1984-01-01,1655.0
1984-04-01,1761.0
1984-07-01,1655.0
1984-10-01,1180.0
1985-01-01,1788.0
1985-04-01,2087.0
1985-07-01,1757.0
1985-10-01,1197.0
1986-01-01,1609.0
1986-04-01,1952.0
1986-07-01,1688.0
1986-10-01,1144.0
1987-01-01,1612.0
1987-04-01,1611.0
1987-07-01,1306.0
1987-10-01,916.0
1988-01-01,1463.0
1988-04-01,1849.0
1988-07-01,1469.0
1988-10-01,957.0
1989-01-01,1636.0
1989-04-01,1930.0
1989-07-01,1403.0
1989-10-01,1011.0
1990-01-01,1448.0
1990-04-01,1701.0
1990-07-01,1276.0
1990-10-01,894.0
1991-01-01,1276.0
1991-04-01,1511.0
1991-07-01,1246.0
1991-10-01,773.0
1992-01-01,1680.0
1992-04-01,1677.0
1992-07-01,1408.0
1992-10-01,884.0
1993-01-01,1361.0
1993-04-01,1531.0
1993-07-01,1327.0
1993-10-01,843.0
1994-01-01,1243.0
1994-04-01,1522.0
1994-07-01,1342.0
1994-10-01,794.0
1995-01-01,1263.0
1995-04-01,1405.0
1995-07-01,1177.0
1995-10-01,773.0
1996-01-01,1290.0
1996-04-01,1454.0
1996-07-01,1223.0
1996-10-01,778.0
1997-01-01,1038.0
1997-04-01,1537.0
1997-07-01,1278.0
1997-10-01,677.0
1998-01-01,973.0
1998-04-01,1295.0
1998-07-01,1107.0
1998-10-01,682.0
1999-01-01,941.0
1999-04-01,1303.0
1999-07-01,1094.0
1999-10-01,642.0
2000-01-01,1024.0
2000-04-01,1306.0
2000-07-01,1195.0
2000-10-01,754.0
2001-01-01,1151.0
2001-04-01,1482.0
2001-07-01,1241.0
2001-10-01,782.0
2002-01-01,1050.0
2002-04-01,1420.0
2002-07-01,1102.0
2002-10-01,698.0
2003-01-01,912.0
2003-04-01,1038.0
2003-07-01,902.0
2003-10-01,649.0
2004-01-01,827.0
2004-04-01,1261.0
2004-07-01,1072.0
2004-10-01,689.0
2005-01-01,828.0
2005-04-01,1234.0
2005-07-01,1154.0
2005-10-01,772.0
2006-01-01,987.0
2006-04-01,1325.0
2006-07-01,1081.0
2006-10-01,619.0
2007-01-01,964.0
2007-04-01,1408.0
2007-07-01,1349.0
2007-10-01,776.0
2008-01-01,1147.0
2008-04-01,2205.0
2008-07-01,1839.0
2008-10-01,1051.0
2009-01-01,1531.0
2009-04-01,1937.0
2009-07-01,1485.0
2009-10-01,932.0
2010-01-01,1410.0
2010-04-01,1975.0
2010-07-01,1487.0
2010-10-01,885.0
2011-01-01,1341.0
2011-04-01,1919.0
2011-07-01,1590.0
2011-10-01,923.0
2012-01-01,1408.0
2012-04-01,1832.0
2012-07-01,1619.0
2012-10-01,996.0
2013-01-01,1394.0
2013-04-01,2219.0
2013-07-01,1971.0
2013-10-01,1139.0
2014-01-01,1639.0
2014-04-01,2425.0
2014-07-01,2040.0
2014-10-01,1351.0
2015-01-01,1753.0
2015-04-01,2367.0
2015-07-01,1868.0
2015-10-01,1170.0
2016-01-01,1626.0
2016-04-01,2192.0
2016-07-01,1799.0
2016-10-01,1129.0
2017-01-01,1714.0
2017-04-01,2525.0
2017-07-01,1856.0
2017-10-01,1227.0
2018-01-01,1772.0
2018-04-01,2414.0
2018-07-01,1780.0
2018-10-01,1110.0
2019-01-01,1529.0
2019-04-01,2236.0
2019-07-01,1669.0
2019-10-01,1010.0
2020-01-01,1445.0
2020-04-01,1764.0
2020-07-01,1881.0
2020-10-01,1141.0
2021-01-01,1680.0
2021-04-01,2373.0
2021-07-01,1797.0
2021-10-01,1130.0
2022-01-01,1442.0
2022-04-01,2431.0
2022-07-01,1744.0
2022-10-01,993.0
2023-01-01,1283.0
2023-04-01,1988.0
2023-07-01,1723.0
2023-10-01,1059.0
2024-01-01,1279.0
2024-04-01,2010.0
2024-07-01,1748.0
2024-10-01,1003.0
