,KREPA31RR
1992-01-01,-93.0
1993-01-01,2.0
1994-01-01,-0.6
1995-01-01,0.7
1996-01-01,2.1
1997-01-01,3.7
1998-01-01,3.5
1999-01-01,4.0
2000-01-01,1.7
2001-01-01,3.6
2002-01-01,1.0
2003-01-01,1.5
2004-01-01,2.7
2005-01-01,1.0
2006-01-01,2.2
2007-01-01,6.5
2008-01-01,13.5
2009-01-01,10.0
2010-01-01,6.9
2011-01-01,6.7
2012-01-01,4.5
2013-01-01,5.0
2014-01-01,3.0
2015-01-01,1.1
2016-01-01,-93.0
2017-01-01,0.4
2018-01-01,-0.4
2019-01-01,-0.5
2020-01-01,0.5
2021-01-01,-93.0
2022-01-01,4.2
2023-01-01,8.3
2024-01-01,9.9
