,KREPRICNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,69586.0
1988-04-01,67677.0
1988-07-01,70359.0
1988-10-01,69982.0
1989-01-01,76112.0
1989-04-01,69838.0
1989-07-01,70497.0
1989-10-01,71950.0
1990-01-01,74407.0
1990-04-01,70044.0
1990-07-01,68287.0
1990-10-01,70989.0
1991-01-01,65130.0
1991-04-01,68657.0
1991-07-01,69787.0
1991-10-01,69850.0
1992-01-01,69786.0
1992-04-01,72331.0
1992-07-01,73649.0
1992-10-01,74121.0
1993-01-01,73651.0
1993-04-01,72544.0
1993-07-01,73024.0
1993-10-01,72468.0
1994-01-01,73039.0
1994-04-01,71863.0
1994-07-01,74297.0
1994-10-01,76040.0
1995-01-01,75922.0
1995-04-01,71253.0
1995-07-01,77794.0
1995-10-01,81457.0
1996-01-01,73890.0
1996-04-01,75438.0
1996-07-01,77251.0
1996-10-01,80406.0
1997-01-01,81935.0
1997-04-01,84890.0
1997-07-01,81292.0
1997-10-01,82402.0
1998-01-01,81850.0
1998-04-01,87464.0
1998-07-01,85452.0
1998-10-01,86798.0
1999-01-01,84341.0
1999-04-01,90801.0
1999-07-01,92638.0
1999-10-01,92769.0
2000-01-01,92727.0
2000-04-01,92081.0
2000-07-01,95903.0
2000-10-01,96093.0
2001-01-01,96453.0
2001-04-01,96831.0
2001-07-01,93934.0
2001-10-01,100277.0
2002-01-01,99731.0
2002-04-01,100830.0
2002-07-01,98967.0
2002-10-01,102419.0
2003-01-01,102993.0
2003-04-01,103863.0
2003-07-01,105731.0
2003-10-01,104767.0
2004-01-01,109948.0
2004-04-01,110149.0
2004-07-01,112360.0
2004-10-01,114117.0
2005-01-01,121265.0
2005-04-01,124423.0
2005-07-01,123986.0
2005-10-01,125453.0
2006-01-01,131872.0
2006-04-01,131587.0
2006-07-01,133060.0
2006-10-01,133421.0
2007-01-01,140167.0
2007-04-01,166574.0
2007-07-01,186573.0
2007-10-01,203328.0
2008-01-01,225853.0
2008-04-01,242787.0
2008-07-01,239623.0
2008-10-01,239653.0
2009-01-01,240360.0
2009-04-01,243537.0
2009-07-01,248839.0
2009-10-01,254852.0
2010-01-01,262319.0
2010-04-01,255780.0
2010-07-01,265685.0
2010-10-01,272865.0
2011-01-01,279237.0
2011-04-01,278917.0
2011-07-01,282854.0
2011-10-01,294737.0
2012-01-01,297720.0
2012-04-01,310682.0
2012-07-01,313547.0
2012-10-01,314420.0
2013-01-01,315815.0
2013-04-01,314437.0
2013-07-01,315851.0
2013-10-01,317911.0
2014-01-01,322706.0
2014-04-01,314180.0
2014-07-01,319909.0
2014-10-01,325311.0
2015-01-01,314725.0
2015-04-01,320337.0
2015-07-01,313801.0
2015-10-01,316708.0
2016-01-01,324945.0
2016-04-01,323008.0
2016-07-01,315193.0
2016-10-01,313772.0
2017-01-01,314621.0
2017-04-01,320877.0
2017-07-01,318531.0
2017-10-01,310433.0
2018-01-01,306559.0
2018-04-01,308536.0
2018-07-01,300134.0
2018-10-01,307021.0
2019-01-01,300053.0
2019-04-01,296921.0
2019-07-01,301214.0
2019-10-01,298520.0
2020-01-01,307865.0
2020-04-01,296806.0
2020-07-01,307743.0
2020-10-01,306701.0
2021-01-01,306792.0
2021-04-01,330955.0
2021-07-01,326553.0
2021-10-01,332807.0
2022-01-01,328184.0
2022-04-01,324059.0
2022-07-01,315413.0
2022-10-01,301122.0
2023-01-01,305028.0
2023-04-01,313052.0
2023-07-01,306911.0
2023-10-01,310204.0
2024-01-01,312499.0
2024-04-01,327082.0
2024-07-01,336429.0
2024-10-01,338046.0
