,KREPRICNR_Q
1980-01-01,47317.0
1980-04-01,49002.0
1980-07-01,49016.0
1980-10-01,48932.0
1981-01-01,51940.0
1981-04-01,54404.0
1981-07-01,58029.0
1981-10-01,58654.0
1982-01-01,54562.0
1982-04-01,57880.0
1982-07-01,55853.0
1982-10-01,53886.0
1983-01-01,57257.0
1983-04-01,59830.0
1983-07-01,60455.0
1983-10-01,57820.0
1984-01-01,59914.0
1984-04-01,58092.0
1984-07-01,58991.0
1984-10-01,58593.0
1985-01-01,60818.0
1985-04-01,62228.0
1985-07-01,61453.0
1985-10-01,60694.0
1986-01-01,63031.0
1986-04-01,62858.0
1986-07-01,65857.0
1986-10-01,63816.0
1987-01-01,63030.0
1987-04-01,66519.0
1987-07-01,65972.0
1987-10-01,64059.0
1988-01-01,69018.0
1988-04-01,69510.0
1988-07-01,70641.0
1988-10-01,67687.0
1989-01-01,74418.0
1989-04-01,71680.0
1989-07-01,72038.0
1989-10-01,70161.0
1990-01-01,72279.0
1990-04-01,73375.0
1990-07-01,69808.0
1990-10-01,68468.0
1991-01-01,63881.0
1991-04-01,70984.0
1991-07-01,69882.0
1991-10-01,67599.0
1992-01-01,68998.0
1992-04-01,76608.0
1992-07-01,75275.0
1992-10-01,71535.0
1993-01-01,73297.0
1993-04-01,75794.0
1993-07-01,77434.0
1993-10-01,69127.0
1994-01-01,75356.0
1994-04-01,77653.0
1994-07-01,73585.0
1994-10-01,71796.0
1995-01-01,75916.0
1995-04-01,77857.0
1995-07-01,78307.0
1995-10-01,76072.0
1996-01-01,76009.0
1996-04-01,79232.0
1996-07-01,76357.0
1996-10-01,78544.0
1997-01-01,82484.0
1997-04-01,88136.0
1997-07-01,79891.0
1997-10-01,80000.0
1998-01-01,81893.0
1998-04-01,88454.0
1998-07-01,86562.0
1998-10-01,85488.0
1999-01-01,86063.0
1999-04-01,93797.0
1999-07-01,92429.0
1999-10-01,87830.0
2000-01-01,91310.0
2000-04-01,95613.0
2000-07-01,96997.0
2000-10-01,92380.0
2001-01-01,95027.0
2001-04-01,100568.0
2001-07-01,94600.0
2001-10-01,97191.0
2002-01-01,98216.0
2002-04-01,104836.0
2002-07-01,100082.0
2002-10-01,99169.0
2003-01-01,100729.0
2003-04-01,108133.0
2003-07-01,107131.0
2003-10-01,102122.0
2004-01-01,107671.0
2004-04-01,115094.0
2004-07-01,113702.0
2004-10-01,110681.0
2005-01-01,118720.0
2005-04-01,130383.0
2005-07-01,125222.0
2005-10-01,121876.0
2006-01-01,128899.0
2006-04-01,137995.0
2006-07-01,134472.0
2006-10-01,130183.0
2007-01-01,138705.0
2007-04-01,174785.0
2007-07-01,187268.0
2007-10-01,196129.0
2008-01-01,221834.0
2008-04-01,253686.0
2008-07-01,239679.0
2008-10-01,234541.0
2009-01-01,237478.0
2009-04-01,254857.0
2009-07-01,248136.0
2009-10-01,249065.0
2010-01-01,259232.0
2010-04-01,266187.0
2010-07-01,264748.0
2010-10-01,268181.0
2011-01-01,277187.0
2011-04-01,289099.0
2011-07-01,281374.0
2011-10-01,289452.0
2012-01-01,295880.0
2012-04-01,319555.0
2012-07-01,312413.0
2012-10-01,307130.0
2013-01-01,314782.0
2013-04-01,322554.0
2013-07-01,315425.0
2013-10-01,314240.0
2014-01-01,322109.0
2014-04-01,321447.0
2014-07-01,321287.0
2014-10-01,321241.0
2015-01-01,312928.0
2015-04-01,326652.0
2015-07-01,316239.0
2015-10-01,312129.0
2016-01-01,324478.0
2016-04-01,330593.0
2016-07-01,318717.0
2016-10-01,303992.0
2017-01-01,313202.0
2017-04-01,327635.0
2017-07-01,323450.0
2017-10-01,302480.0
2018-01-01,303459.0
2018-04-01,316547.0
2018-07-01,305670.0
2018-10-01,298384.0
2019-01-01,296321.0
2019-04-01,304544.0
2019-07-01,306689.0
2019-10-01,290664.0
2020-01-01,305690.0
2020-04-01,306592.0
2020-07-01,313996.0
2020-10-01,297305.0
2021-01-01,308791.0
2021-04-01,341026.0
2021-07-01,333556.0
2021-10-01,319291.0
2022-01-01,322159.0
2022-04-01,336307.0
2022-07-01,322823.0
2022-10-01,293498.0
2023-01-01,301701.0
2023-04-01,327546.0
2023-07-01,313608.0
2023-10-01,296509.0
2024-01-01,308132.0
2024-04-01,342530.0
2024-07-01,342863.0
2024-10-01,324721.0
