,KRERAT31CR
1992-01-01,392.0
1993-01-01,402.0
1994-01-01,394.0
1995-01-01,398.0
1996-01-01,406.0
1997-01-01,426.0
1998-01-01,436.0
1999-01-01,458.0
2000-01-01,461.0
2001-01-01,476.0
2002-01-01,480.0
2003-01-01,490.0
2004-01-01,503.0
2005-01-01,505.0
2006-01-01,515.0
2007-01-01,554.0
2008-01-01,634.0
2009-01-01,692.0
2010-01-01,742.0
2011-01-01,790.0
2012-01-01,831.0
2013-01-01,875.0
2014-01-01,904.0
2015-01-01,918.0
2016-01-01,926.0
2017-01-01,935.0
2018-01-01,935.0
2019-01-01,928.0
2020-01-01,949.0
2021-01-01,951.0
2022-01-01,986.0
2023-01-01,1081.0
2024-01-01,1185.0
