,KRESALUNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,679.0
1988-04-01,732.0
1988-07-01,744.0
1988-10-01,672.0
1989-01-01,646.0
1989-04-01,632.0
1989-07-01,700.0
1989-10-01,645.0
1990-01-01,651.0
1990-04-01,560.0
1990-07-01,568.0
1990-10-01,690.0
1991-01-01,558.0
1991-04-01,574.0
1991-07-01,618.0
1991-10-01,694.0
1992-01-01,777.0
1992-04-01,784.0
1992-07-01,675.0
1992-10-01,674.0
1993-01-01,591.0
1993-04-01,702.0
1993-07-01,719.0
1993-10-01,674.0
1994-01-01,729.0
1994-04-01,727.0
1994-07-01,674.0
1994-10-01,661.0
1995-01-01,629.0
1995-04-01,642.0
1995-07-01,672.0
1995-10-01,645.0
1996-01-01,820.0
1996-04-01,706.0
1996-07-01,755.0
1996-10-01,818.0
1997-01-01,654.0
1997-04-01,732.0
1997-07-01,805.0
1997-10-01,736.0
1998-01-01,691.0
1998-04-01,752.0
1998-07-01,711.0
1998-10-01,731.0
1999-01-01,668.0
1999-04-01,702.0
1999-07-01,704.0
1999-10-01,706.0
2000-01-01,710.0
2000-04-01,677.0
2000-07-01,669.0
2000-10-01,649.0
2001-01-01,688.0
2001-04-01,704.0
2001-07-01,719.0
2001-10-01,774.0
2002-01-01,779.0
2002-04-01,705.0
2002-07-01,688.0
2002-10-01,681.0
2003-01-01,649.0
2003-04-01,632.0
2003-07-01,652.0
2003-10-01,679.0
2004-01-01,688.0
2004-04-01,741.0
2004-07-01,708.0
2004-10-01,644.0
2005-01-01,672.0
2005-04-01,665.0
2005-07-01,701.0
2005-10-01,710.0
2006-01-01,660.0
2006-04-01,737.0
2006-07-01,789.0
2006-10-01,732.0
2007-01-01,914.0
2007-04-01,999.0
2007-07-01,914.0
2007-10-01,972.0
2008-01-01,987.0
2008-04-01,800.0
2008-07-01,714.0
2008-10-01,714.0
2009-01-01,731.0
2009-04-01,888.0
2009-07-01,1023.0
2009-10-01,962.0
2010-01-01,908.0
2010-04-01,861.0
2010-07-01,857.0
2010-10-01,862.0
2011-01-01,875.0
2011-04-01,916.0
2011-07-01,947.0
2011-10-01,1029.0
2012-01-01,1025.0
2012-04-01,1008.0
2012-07-01,853.0
2012-10-01,870.0
2013-01-01,859.0
2013-04-01,874.0
2013-07-01,959.0
2013-10-01,891.0
2014-01-01,841.0
2014-04-01,896.0
2014-07-01,918.0
2014-10-01,875.0
2015-01-01,803.0
2015-04-01,823.0
2015-07-01,821.0
2015-10-01,814.0
2016-01-01,815.0
2016-04-01,845.0
2016-07-01,851.0
2016-10-01,819.0
2017-01-01,791.0
2017-04-01,795.0
2017-07-01,821.0
2017-10-01,816.0
2018-01-01,747.0
2018-04-01,763.0
2018-07-01,734.0
2018-10-01,749.0
2019-01-01,793.0
2019-04-01,756.0
2019-07-01,780.0
2019-10-01,756.0
2020-01-01,720.0
2020-04-01,717.0
2020-07-01,1181.0
2020-10-01,1131.0
2021-01-01,1173.0
2021-04-01,1162.0
2021-07-01,1015.0
2021-10-01,1184.0
2022-01-01,1132.0
2022-04-01,1155.0
2022-07-01,1046.0
2022-10-01,933.0
2023-01-01,938.0
2023-04-01,973.0
2023-07-01,1066.0
2023-10-01,1093.0
2024-01-01,1117.0
2024-04-01,1159.0
2024-07-01,1128.0
2024-10-01,1201.0
