,KRESALUNR_A
1992-01-01,2876.0
1993-01-01,2696.0
1994-01-01,2795.0
1995-01-01,2613.0
1996-01-01,3107.0
1997-01-01,2934.0
1998-01-01,2908.0
1999-01-01,2792.0
2000-01-01,2705.0
2001-01-01,2885.0
2002-01-01,2853.0
2003-01-01,2613.0
2004-01-01,2781.0
2005-01-01,2747.0
2006-01-01,2918.0
2007-01-01,3801.0
2008-01-01,3215.0
2009-01-01,3604.0
2010-01-01,3489.0
2011-01-01,3767.0
2012-01-01,3756.0
2013-01-01,3585.0
2014-01-01,3531.0
2015-01-01,3260.0
2016-01-01,3332.0
2017-01-01,3223.0
2018-01-01,2992.0
2019-01-01,3084.0
2020-01-01,3750.0
2021-01-01,4533.0
2022-01-01,4266.0
2023-01-01,4069.0
2024-01-01,4607.0
