,KRESRMURR_A
1992-01-01,15.0
1993-01-01,12.0
1994-01-01,49.0
1995-01-01,3.0
1996-01-01,3.0
1997-01-01,96.0
1998-01-01,24.0
1999-01-01,5.0
2000-01-01,32.0
2001-01-01,21.0
2002-01-01,34.0
2003-01-01,144.0
2004-01-01,307.0
2005-01-01,173.0
2006-01-01,211.0
2007-01-01,200.0
2008-01-01,73.0
2009-01-01,91.0
2010-01-01,127.0
2011-01-01,152.0
2012-01-01,205.0
2013-01-01,395.0
2014-01-01,276.0
2015-01-01,149.0
2016-01-01,221.0
2017-01-01,252.0
2018-01-01,193.0
2019-01-01,116.0
2020-01-01,156.0
2021-01-01,121.0
2022-01-01,166.0
2023-01-01,103.0
2024-01-01,166.0
