,KRESSMURR_A
1992-01-01,546.0
1993-01-01,423.0
1994-01-01,393.0
1995-01-01,323.0
1996-01-01,362.0
1997-01-01,370.0
1998-01-01,468.0
1999-01-01,403.0
2000-01-01,459.0
2001-01-01,401.0
2002-01-01,504.0
2003-01-01,521.0
2004-01-01,605.0
2005-01-01,572.0
2006-01-01,749.0
2007-01-01,864.0
2008-01-01,979.0
2009-01-01,569.0
2010-01-01,708.0
2011-01-01,958.0
2012-01-01,1289.0
2013-01-01,1246.0
2014-01-01,707.0
2015-01-01,513.0
2016-01-01,667.0
2017-01-01,665.0
2018-01-01,352.0
2019-01-01,248.0
2020-01-01,288.0
2021-01-01,405.0
2022-01-01,321.0
2023-01-01,214.0
2024-01-01,288.0
