,KRESTMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,0.527
1990-04-01,0.854
1990-07-01,0.314
1990-10-01,0.222
1991-01-01,0.14
1991-04-01,0.205
1991-07-01,0.193
1991-10-01,0.213
1992-01-01,0.615
1992-04-01,0.736
1992-07-01,0.736
1992-10-01,0.595
1993-01-01,0.546
1993-04-01,0.61
1993-07-01,0.445
1993-10-01,0.701
1994-01-01,0.402
1994-04-01,0.42
1994-07-01,0.461
1994-10-01,0.575
1995-01-01,0.304
1995-04-01,0.421
1995-07-01,0.432
1995-10-01,0.32
1996-01-01,0.303
1996-04-01,0.386
1996-07-01,0.666
1996-10-01,0.33
1997-01-01,0.394
1997-04-01,0.379
1997-07-01,0.902
1997-10-01,0.407
1998-01-01,0.456
1998-04-01,0.678
1998-07-01,0.581
1998-10-01,0.404
1999-01-01,0.489
1999-04-01,0.642
1999-07-01,0.466
1999-10-01,0.691
2000-01-01,0.681
2000-04-01,0.803
2000-07-01,0.574
2000-10-01,0.417
2001-01-01,0.415
2001-04-01,0.465
2001-07-01,0.427
2001-10-01,1.207
2002-01-01,0.573
2002-04-01,0.605
2002-07-01,0.655
2002-10-01,0.731
2003-01-01,1.083
2003-04-01,0.731
2003-07-01,0.714
2003-10-01,1.047
2004-01-01,0.844
2004-04-01,1.139
2004-07-01,1.688
2004-10-01,1.226
2005-01-01,0.5
2005-04-01,0.942
2005-07-01,1.144
2005-10-01,0.922
2006-01-01,0.84
2006-04-01,1.089
2006-07-01,0.994
2006-10-01,1.061
2007-01-01,1.222
2007-04-01,1.491
2007-07-01,1.607
2007-10-01,1.248
2008-01-01,1.44
2008-04-01,1.451
2008-07-01,1.542
2008-10-01,1.09
2009-01-01,0.609
2009-04-01,0.927
2009-07-01,1.144
2009-10-01,1.055
2010-01-01,1.132
2010-04-01,1.004
2010-07-01,1.552
2010-10-01,1.714
2011-01-01,1.445
2011-04-01,1.424
2011-07-01,1.651
2011-10-01,2.269
2012-01-01,3.239
2012-04-01,2.599
2012-07-01,2.992
2012-10-01,3.494
2013-01-01,2.772
2013-04-01,3.318
2013-07-01,3.454
2013-10-01,2.925
2014-01-01,1.669
2014-04-01,2.297
2014-07-01,2.893
2014-10-01,2.074
2015-01-01,1.183
2015-04-01,2.124
2015-07-01,1.61
2015-10-01,1.448
2016-01-01,1.155
2016-04-01,1.294
2016-07-01,2.237
2016-10-01,1.571
2017-01-01,1.733
2017-04-01,2.287
2017-07-01,2.014
2017-10-01,1.391
2018-01-01,2.054
2018-04-01,0.938
2018-07-01,0.747
2018-10-01,0.856
2019-01-01,0.57
2019-04-01,0.538
2019-07-01,0.495
2019-10-01,0.534
2020-01-01,0.671
2020-04-01,0.592
2020-07-01,0.811
2020-10-01,0.988
2021-01-01,1.107
2021-04-01,0.761
2021-07-01,0.72
2021-10-01,1.31
2022-01-01,0.795
2022-04-01,1.157
2022-07-01,0.855
2022-10-01,0.999
2023-01-01,1.21
2023-04-01,1.025
2023-07-01,0.706
2023-10-01,1.725
2024-01-01,1.216
2024-04-01,1.502
2024-07-01,1.011
2024-10-01,1.133
