,KRESTMURR_A
1992-01-01,666.0
1993-01-01,563.0
1994-01-01,462.0
1995-01-01,371.0
1996-01-01,434.0
1997-01-01,516.0
1998-01-01,537.0
1999-01-01,573.0
2000-01-01,615.0
2001-01-01,626.0
2002-01-01,651.0
2003-01-01,889.0
2004-01-01,1242.0
2005-01-01,888.0
2006-01-01,986.0
2007-01-01,1398.0
2008-01-01,1375.0
2009-01-01,930.0
2010-01-01,1347.0
2011-01-01,1694.0
2012-01-01,3093.0
2013-01-01,3122.0
2014-01-01,2223.0
2015-01-01,1597.0
2016-01-01,1563.0
2017-01-01,1923.0
2018-01-01,1139.0
2019-01-01,537.0
2020-01-01,766.0
2021-01-01,983.0
2022-01-01,937.0
2023-01-01,1177.0
2024-01-01,1223.0
