,KREVA32RR
1992-01-01,3.3
1993-01-01,3.4
1994-01-01,3.2
1995-01-01,1.7
1996-01-01,1.1
1997-01-01,1.4
1998-01-01,1.3
1999-01-01,1.0
2000-01-01,1.5
2001-01-01,2.0
2002-01-01,1.6
2003-01-01,1.7
2004-01-01,2.2
2005-01-01,2.7
2006-01-01,2.8
2007-01-01,1.2
2008-01-01,0.4
2009-01-01,0.6
2010-01-01,1.0
2011-01-01,0.6
2012-01-01,0.7
2013-01-01,1.5
2014-01-01,3.4
2015-01-01,5.5
2016-01-01,5.1
2017-01-01,6.1
2018-01-01,6.7
2019-01-01,6.3
2020-01-01,7.0
2021-01-01,6.3
2022-01-01,2.9
2023-01-01,1.1
2024-01-01,2.1
