,KREVA3BRR
1992-01-01,5.1
1993-01-01,3.1
1994-01-01,2.8
1995-01-01,4.1
1996-01-01,3.4
1997-01-01,3.0
1998-01-01,3.5
1999-01-01,2.9
2000-01-01,0.9
2001-01-01,2.2
2002-01-01,1.9
2003-01-01,3.1
2004-01-01,3.7
2005-01-01,4.4
2006-01-01,4.6
2007-01-01,3.9
2008-01-01,1.2
2009-01-01,0.6
2010-01-01,0.5
2011-01-01,0.4
2012-01-01,1.4
2013-01-01,2.2
2014-01-01,2.7
2015-01-01,5.5
2016-01-01,6.0
2017-01-01,7.8
2018-01-01,11.5
2019-01-01,11.8
2020-01-01,9.8
2021-01-01,8.6
2022-01-01,6.2
2023-01-01,3.9
2024-01-01,2.4
