,KSKPA33RR
1992-01-01,-93.0
1993-01-01,-93.0
1994-01-01,-93.0
1995-01-01,3.1
1996-01-01,4.6
1997-01-01,2.1
1998-01-01,3.3
1999-01-01,4.2
2000-01-01,2.1
2001-01-01,3.4
2002-01-01,2.5
2003-01-01,1.1
2004-01-01,1.0
2005-01-01,0.2
2006-01-01,2.4
2007-01-01,16.1
2008-01-01,17.6
2009-01-01,7.2
2010-01-01,4.3
2011-01-01,2.8
2012-01-01,2.7
2013-01-01,5.1
2014-01-01,2.8
2015-01-01,-93.0
2016-01-01,-93.0
2017-01-01,-3.1
2018-01-01,0.9
2019-01-01,4.1
2020-01-01,0.6
2021-01-01,2.0
2022-01-01,2.9
2023-01-01,7.9
2024-01-01,8.3
