,KSKPRICNR_Q
1980-01-01,58911.0
1980-04-01,61155.0
1980-07-01,60883.0
1980-10-01,60692.0
1981-01-01,61261.0
1981-04-01,65527.0
1981-07-01,68893.0
1981-10-01,63568.0
1982-01-01,64389.0
1982-04-01,63918.0
1982-07-01,62337.0
1982-10-01,62211.0
1983-01-01,64090.0
1983-04-01,64195.0
1983-07-01,66997.0
1983-10-01,64243.0
1984-01-01,65529.0
1984-04-01,67968.0
1984-07-01,67144.0
1984-10-01,67839.0
1985-01-01,68723.0
1985-04-01,69006.0
1985-07-01,67383.0
1985-10-01,68917.0
1986-01-01,67956.0
1986-04-01,70545.0
1986-07-01,71418.0
1986-10-01,72701.0
1987-01-01,72568.0
1987-04-01,75846.0
1987-07-01,72727.0
1987-10-01,69371.0
1988-01-01,68359.0
1988-04-01,75971.0
1988-07-01,77121.0
1988-10-01,77139.0
1989-01-01,68484.0
1989-04-01,76852.0
1989-07-01,78416.0
1989-10-01,78377.0
1990-01-01,76538.0
1990-04-01,76951.0
1990-07-01,77699.0
1990-10-01,71613.0
1991-01-01,76698.0
1991-04-01,76901.0
1991-07-01,72220.0
1991-10-01,74773.0
1992-01-01,71723.0
1992-04-01,77048.0
1992-07-01,74928.0
1992-10-01,76036.0
1993-01-01,77027.0
1993-04-01,78118.0
1993-07-01,78671.0
1993-10-01,75755.0
1994-01-01,79206.0
1994-04-01,83680.0
1994-07-01,78769.0
1994-10-01,80185.0
1995-01-01,78538.0
1995-04-01,85101.0
1995-07-01,82455.0
1995-10-01,79013.0
1996-01-01,83553.0
1996-04-01,90157.0
1996-07-01,85374.0
1996-10-01,90538.0
1997-01-01,94708.0
1997-04-01,97837.0
1997-07-01,96391.0
1997-10-01,96927.0
1998-01-01,98769.0
1998-04-01,102213.0
1998-07-01,100202.0
1998-10-01,100606.0
1999-01-01,98820.0
1999-04-01,105700.0
1999-07-01,101847.0
1999-10-01,104505.0
2000-01-01,110050.0
2000-04-01,112188.0
2000-07-01,109388.0
2000-10-01,114986.0
2001-01-01,113196.0
2001-04-01,118764.0
2001-07-01,115167.0
2001-10-01,110965.0
2002-01-01,112655.0
2002-04-01,117728.0
2002-07-01,119154.0
2002-10-01,116382.0
2003-01-01,120938.0
2003-04-01,124030.0
2003-07-01,123157.0
2003-10-01,121666.0
2004-01-01,125066.0
2004-04-01,132631.0
2004-07-01,128902.0
2004-10-01,137079.0
2005-01-01,136019.0
2005-04-01,143620.0
2005-07-01,145753.0
2005-10-01,147922.0
2006-01-01,156306.0
2006-04-01,155612.0
2006-07-01,157956.0
2006-10-01,168392.0
2007-01-01,187255.0
2007-04-01,234198.0
2007-07-01,242036.0
2007-10-01,247820.0
2008-01-01,272464.0
2008-04-01,286479.0
2008-07-01,266866.0
2008-10-01,258111.0
2009-01-01,255435.0
2009-04-01,263990.0
2009-07-01,264118.0
2009-10-01,266774.0
2010-01-01,269029.0
2010-04-01,279917.0
2010-07-01,283458.0
2010-10-01,282456.0
2011-01-01,279774.0
2011-04-01,296267.0
2011-07-01,292838.0
2011-10-01,301423.0
2012-01-01,302442.0
2012-04-01,316125.0
2012-07-01,311348.0
2012-10-01,313987.0
2013-01-01,315933.0
2013-04-01,333658.0
2013-07-01,317510.0
2013-10-01,318972.0
2014-01-01,333600.0
2014-04-01,336597.0
2014-07-01,329549.0
2014-10-01,339252.0
2015-01-01,336995.0
2015-04-01,340673.0
2015-07-01,332959.0
2015-10-01,333372.0
2016-01-01,330455.0
2016-04-01,331883.0
2016-07-01,341817.0
2016-10-01,325074.0
2017-01-01,328420.0
2017-04-01,332675.0
2017-07-01,314793.0
2017-10-01,314834.0
2018-01-01,316197.0
2018-04-01,321930.0
2018-07-01,310033.0
2018-10-01,319730.0
2019-01-01,308450.0
2019-04-01,322227.0
2019-07-01,315838.0
2019-10-01,315875.0
2020-01-01,313409.0
2020-04-01,324795.0
2020-07-01,338285.0
2020-10-01,329836.0
2021-01-01,342471.0
2021-04-01,356802.0
2021-07-01,341873.0
2021-10-01,360600.0
2022-01-01,356901.0
2022-04-01,362034.0
2022-07-01,358115.0
2022-10-01,341248.0
2023-01-01,351420.0
2023-04-01,367494.0
2023-07-01,353784.0
2023-10-01,363137.0
2024-01-01,365801.0
2024-04-01,384413.0
2024-07-01,389547.0
2024-10-01,394264.0
