,KSKRAT32CR
1992-01-01,444.0
1993-01-01,449.0
1994-01-01,452.0
1995-01-01,460.0
1996-01-01,479.0
1997-01-01,500.0
1998-01-01,516.0
1999-01-01,529.0
2000-01-01,541.0
2001-01-01,558.0
2002-01-01,567.0
2003-01-01,576.0
2004-01-01,580.0
2005-01-01,584.0
2006-01-01,608.0
2007-01-01,693.0
2008-01-01,841.0
2009-01-01,905.0
2010-01-01,934.0
2011-01-01,966.0
2012-01-01,1002.0
2013-01-01,1041.0
2014-01-01,1091.0
2015-01-01,1087.0
2016-01-01,1100.0
2017-01-01,1082.0
2018-01-01,1110.0
2019-01-01,1129.0
2020-01-01,1166.0
2021-01-01,1183.0
2022-01-01,1243.0
2023-01-01,1360.0
2024-01-01,1471.0
